"Actb" "Ahnak" "Cd34" "Cd38" "Ddit4" "Edn1" "Fas" "Ier3" "Ier5" "Irf2bp2" "Lmna" "Nos3" "Plat" "Serpine1" "Synpo" "Timp3" "Dusp6" "Mcl1" "Myh9" "Plaur" "Sparc" "Hif1a" "Ntrk2" "Col4a1" "Ctnnb1" "Itgb1" "Ldha" "Eef1a1" "Fkbp5" "Sgms1" "Rpl27" "Tpm4" "Cxcl12" "Mlec" "Xbp1" "Rps2" "Anxa2" "Tfpi" "Upp1" "Pim3" "Pfkfb3" "Gadd45g" "Csrp1" "Emp1" "Flnb" "Lrrfip1"
"Tnfsf13b" 0.00118100036603681 0.00131670772846163 0 0 0.00138164471193754 0.0012423116053371 0.00227973621320945 0.00151866047246203 0.00109793122244044 0.00120822507635186 0.00133827636679014 0.00119086461978766 0 0.00136500910715811 0.00128232290913111 0 0.000962362921747488 0.00111310586304653 0.00110440920299505 0 0 0.000970733788729735 0 0 0.00104537408967915 0 0 0.000928536639093333 0.00102640658673709 0.000916068583219541 0 0 0 0 0 0 0.000959615836566029 0 0 0 0 0.000929687810032632 0.000981593440841111 0.000950473408317554 0 0
"Plxnb2" 0 0.000916763151630326 0 0 0.000975973995692092 0.000971329303995431 0 0.000954585277935469 0 0 0.000934227750594175 0 0 0.000949485734982681 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efna1" 0.00102265707669694 0.00099098851961548 0 0 0.00111338267770668 0.000955288670440703 0 0.00108892135936537 0 0.00101924117454675 0.00116501560782698 0.000933194715803944 0 0.00105710259027395 0 0 0 0.000939261271982816 0 0 0 0 0 0 0.00102365268012946 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Reln" 0.00101953058282166 0.00108244614666117 0 0 0.00114557382920775 0.000978381071589915 0 0.00112598867068756 0 0.00105488861364488 0.00113357712659527 0.00106407894575868 0 0.00109160974110238 0.000917512201619936 0 0.000915903196206208 0.000976981765738837 0.000926145890308126 0 0 0.000931149915886638 0 0 0.000953091619258206 0 0 0 0.00093269605083082 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pvr" 0.00101243792127391 0.00110828455286279 0 0 0.00113911127885835 0.00100174961272985 0 0.00115021267595475 0.000915118369376597 0.00110757962073401 0.00110380665110116 0.00107151625598406 0 0.0010269903093873 0 0 0.000936437069765318 0.00098501688790464 0.000969795573241324 0 0 0 0 0 0.000916394952280579 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0.00116983347447202 0.00114884256069435 0 0 0.00137031756694388 0.00104881632296822 0 0.00124322014947712 0.00097191072068736 0.00114660926282558 0.00117739123508836 0.00119741344223596 0 0.00118680581375888 0.00100913110098426 0 0.0011053770338204 0.00117725986449675 0.000990885461608484 0 0 0 0 0 0.00103594536069504 0 0 0 0.000954667615591923 0 0 0.000970739584406617 0 0 0 0 0.00093359223201115 0 0 0 0 0.00104605892674857 0.00100888440481802 0.00102034567401766 0.000983312634463214 0.00101907248463147
"Clec11a" 0.00123706477991163 0.00131225206737284 0 0 0.00123722695327729 0.00117507839763414 0.00103492593033498 0.00147781930784152 0.00118147037383315 0.00135969874769258 0.00138681300680774 0.0013190600622457 0 0.00125820312686682 0.00122429386716024 0 0.00101672858148737 0.00122482502198787 0.00114010167127207 0 0 0.00106967431570786 0 0 0.000988682610326741 0.00104203820142447 0.00107805476991397 0.0010066851426563 0.00126815608354181 0.000919259326227391 0 0.000922086231723797 0 0 0 0.00105374748698206 0 0 0 0 0.000954648502087255 0.000952361574599845 0.0010254007609274 0 0 0.000958383796530676
"Efnb2" 0 0 0 0 0.000942353228787594 0 0 0.000957075983192659 0 0 0.000937242147365439 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Copa" 0 0.000944507603741891 0 0 0 0 0 0.000949178423003988 0 0 0.000916143079784097 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Wnt4" 0.00147917445796823 0.00157708310694703 0 0 0.00188546961557161 0.00137099109968493 0.00100081000467852 0.00174788098222967 0.0014130623664571 0.00162277964990877 0.00177882722230449 0.0011621824486376 0 0.0016414663877789 0.00123238668692183 0 0.00123728276887381 0.00130893799275423 0.00119482182413759 0 0 0.00113164822840234 0 0 0.00129911000164507 0.00101426863020725 0 0.00115701731960116 0.00125179426759569 0.00101645572660263 0 0.0011098693520291 0 0 0.00102526939646594 0.00106832409401989 0.0013155093364863 0 0 0.00144257471481377 0.000964813427415616 0.00113623881393065 0.00115795883234318 0.000939630855464112 0.00107195423158736 0.000981040202510204
