"Actb" "Aldoa" "Flot1" "Icam1" "Ier3" "Pdgfb" "Slc3a2" "Stat3" "Tnfrsf1a" "Vegfa" "Bax" "Mlec" "Vwf" "Xbp1" "Cd38" "Col4a1" "Ntrk2" "Dusp6" "Sparc" "Cd34" "Ier5" "Cd164" "Irf9" "Rela" "P4hb" "Gadd45g" "Emp1" "Flnb" "Ackr3" "Clu" "Ldha" "Pim3" "Card10" "Ddah1"
"Selplg" 0 0 0 0.00115588863880911 0.0011329053881389 0 0 0 0 0.0012110959742142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf18" 0 0 0 0.00126192246432492 0.00131563866872482 0 0 0.00118933129772575 0 0.00205714835056457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sell" 0 0 0 0.00117869471004637 0.00115262108038711 0 0 0.00114540815095336 0 0.00130274130397074 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C3" 0 0 0 0 0.00110182053095711 0 0 0 0 0.0012411729426554 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Calm1" 0.0012041471253463 0 0 0 0.0013051154779708 0 0 0.00112923367979436 0 0.00129900380507847 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efna1" 0 0 0 0 0.00108892135936537 0 0 0.00116021490104944 0 0.00116405423021072 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Reln" 0 0 0 0 0.00112598867068756 0 0 0.00109879194078461 0 0.00119076046614675 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Celsr1" 0.00116897170075957 0.00107587971331663 0.00123074854504376 0 0.0016512166756348 0 0 0.00122411919474162 0 0.00147192222626808 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00117597416064842 0
"Itgam" 0.00115234982413562 0 0 0.00124723211845029 0.00128710215959032 0 0 0.00115110869620677 0 0.00146694737172499 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col1a1" 0.00150260770807709 0.00135785385354049 0.00153440582588834 0.00115814715297627 0.00154697020220672 0.00130439707063547 0.00131246869707894 0.00143435569017924 0.00126096958723495 0.00173486610832592 0 0 0 0 0 0 0 0.00126359266532628 0 0 0.00128308054787748 0 0.00118193328625355 0 0 0.00120490897322715 0 0.00124593578244914 0 0 0 0.00132754963775339 0.00109254279444499 0.00121429038915583
"Psen1" 0.00130739908867514 0 0.00109235448136537 0 0.00135856487155973 0 0 0.0011440205969543 0 0.00146489281682576 0.00364218740992385 0 0 0 0 0 0 0 0 0 0.00109408671376351 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fn1" 0 0 0 0 0.00107644335611784 0 0 0 0 0.00107646990542404 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00365473609515762 0 0 0 0 0 0 0 0 0 0
"Vegfd" 0.00122379582036767 0.00110039059966099 0.00114761218649177 0 0.00158322425384147 0.00133314020793532 0 0.00135789115175684 0 0.00162511473762227 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ccl5" 0 0 0 0.00121425766743734 0.00121686663386638 0 0 0.00399474385449417 0 0.00146727246676876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nectin1" 0.0011018438391654 0 0.00118377479603172 0.00121411407376731 0.00142345166114901 0 0 0.00121743329406105 0 0.00148187893367509 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plxnb2" 0 0 0 0 0 0 0 0 0 0.00114940431200135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfa" 0.00136483375622213 0.00122503156799166 0.00135138172487628 0.002338318134906 0.00160320559239241 0.00262849740063192 0.00109187683850735 0.00150215565723096 0.0012150415176645 0.00178682373246822 0.00378673150218 0 0.00251029795733475 0 0 0 0 0.00112697675508823 0.00237301976242974 0.00258382754283819 0.00113306838607829 0 0 0.00114744704874279 0.0019843370875547 0.0010924350923482 0 0 0.00223136204419753 0.00217643341410883 0.0024203298334835 0 0 0
"Tnfsf13b" 0.00118100036603681 0 0.00114725578863451 0.00140725078539295 0.00151866047246203 0 0 0.00132311070002571 0 0.00139692631819452 0 0 0 0 0 0 0 0 0 0 0.00109793122244044 0 0 0.00109566716429243 0 0 0 0 0 0 0 0 0 0
"Bdnf" 0.001433808953727 0.00115469653591547 0.0014414076832837 0.00136090264917081 0.00166672939054489 0.00129705162848095 0.00117301261167958 0.00144007863171766 0.00125011083073089 0.00253342430504514 0.00111708608961142 0 0 0 0 0 0.00598031173618679 0.00118318051693701 0 0 0.00123473730448715 0 0 0.00120658385752374 0 0.00114669727855052 0.00108305474756924 0.00110245535165393 0 0 0 0 0 0.00115112828533245
"Icam1" 0.00118513435505379 0 0.00114480765485801 0.00140576466739308 0.00141859594051234 0 0 0.00129022766795055 0 0.00128029192092373 0 0 0 0 0 0 0 0 0 0 0.00109600325737871 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0.00116983347447202 0 0.00109577682059016 0 0.00124322014947712 0 0 0.00110660201188118 0 0.00127682484881402 0 0 0 0 0 0 0 0.0011053770338204 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hc" 0.00197842523846087 0 0 0 0 0 0 0 0 0.001994648367245 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col4a1" 0.00115017429167651 0 0 0 0.00118216257804888 0 0 0 0 0.00132318975763333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00108993255240146 0 0 0 0 0 0 0 0
"Col18a1" 0 0 0 0 0.00119585618620649 0 0 0.00118019680847609 0 0.00331406073320932 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pgf" 0.00158456810076445 0.00134512398909773 0.00140476456738035 0.00179753890769374 0.0017075441764861 0.00144188630865936 0.00120836607605814 0.00165746310983866 0.0012991136998359 0.00296626976596113 0.00145697604379791 0 0 0 0 0 0 0.00130474945614967 0 0 0.00126269796731184 0 0.00116756157886911 0.00137012868703521 0 0.00124232936810067 0 0.00113423842811798 0 0 0.00126471674064846 0 0 0.00110223671939261
"Fgf2" 0.0014694956705675 0.00123526067489422 0.00140039492187465 0.00248838117738215 0.00175304959895765 0.00126328034201917 0.00118022834151838 0.00155513619687575 0.0012808240111231 0.0046608282131596 0.00378760245227831 0 0.00254171414286582 0 0 0 0.00439570412645583 0.00132063105351558 0 0 0.00134645097729705 0 0.00108348435900648 0.00125851003071189 0.00201522497073303 0.00123140884550477 0 0 0 0 0.00110235189829532 0 0 0.00116461250745627
"Tgfb1" 0.00296597953804268 0.00131030416960445 0.00167447646451182 0.00403017469022695 0.00188015714086075 0.00625816836978506 0.00141667766262817 0.00273917272899772 0.00140055611775063 0.00485364706094005 0.00501298582846888 0 0 0 0.00496507649457889 0.00485394028475774 0 0.00144204728212127 0.002517570023229 0 0.00145440274252408 0 0.00123834167437694 0.00136803675562456 0 0.0014453525000544 0.00114955222618011 0.00132532191429512 0 0.00239610071735005 0.00116525920248271 0.00121493041974544 0 0.00130361869695136
"Ntn1" 0 0 0 0 0.00108915639692191 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00367086365896805 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0.00136532258067635 0 0.00123968510073616 0.00117875673257323 0.00133525797695098 0 0 0.00125381424028079 0.00107824706931961 0.0023646425721241 0.00364748249297431 0 0 0 0 0 0 0.00116527818703566 0 0 0.00114880748160296 0 0 0.00111478675298278 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0 0.00109040988550145 0.00122619544728706 0.00137982727773468 0 0 0.00123961910305868 0 0.00430544677916095 0 0 0 0 0 0 0 0 0 0 0 0.00195817923627071 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0.00152012849124405 0.00114981150815589 0.00137746827114527 0.00152664699934757 0.00172829346361237 0.00260104276847286 0.00131174750016102 0.00143404551837469 0.00124626000143875 0.00250313799333803 0.00115993367388151 0 0 0 0.00246667142085579 0 0 0.00138575848216572 0 0.0025782194792716 0.0014235664566575 0 0 0.00130764997510721 0 0.00109938512602467 0 0 0 0 0 0 0 0
"Fgf1" 0.00126282497199686 0 0.00113540887855102 0.00127275023603779 0.00146725544984714 0 0 0.00124490633779163 0 0.00143211986828032 0.00361100199031988 0 0 0 0 0 0 0.00109495261025366 0.00224052357432998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hgf" 0.00134835715116902 0.0012275773965861 0.00130354576450227 0.00239676903278776 0.00152173838182139 0.0012239308557573 0.00111508841627624 0.00255696455612878 0.00112516707921352 0.00256101201486144 0.00118097719521049 0 0 0 0 0.00466413216211115 0.002114527158599 0.00116275496431329 0 0 0.00112380750822326 0 0 0.00117133243166408 0 0.00115056805644858 0 0 0 0 0 0 0 0
"Tnf" 0.00138049361423276 0.00114724386265574 0.00127924744092222 0.00832031083479247 0.00560899439762451 0.00257328031286778 0.00113972953548186 0.00518510543171692 0.00577536301303989 0.004448988174404 0.00469445581613238 0 0.00246773660560348 0 0.00629404267623597 0.00470788756774182 0 0.00113171561281575 0 0.00242643617294129 0.00115840396532014 0 0 0.0040846033211156 0.00195380226741641 0.00117890950334997 0 0 0.002342482672961 0 0 0 0 0
