"Actb" "Ahnak" "Chd2" "Clic1" "Eln" "Jund" "Tsc22d3" "Myh9" "Ncl" "Ppp1r9b" "Fli1" "Rplp2" "Cavin1" "Col4a1" "Ntrk2" "Lrrfip1" "Col4a2" "Sgms1" "Lipe" "Msn" "Csrp1" "Flnb" "Cald1"
"Itgam" 0.00115234982413562 0.00129404308203525 0 0.00108973802830415 0 0.00104442875129448 0 0.00107240406286459 0 0 0.0010536168172409 0 0 0 0 0 0 0 0 0 0 0 0
"Clstn1" 0.00126964086548004 0.00139604423568996 0.00111976455962354 0.00112903530630886 0 0.00105576144868392 0 0 0 0 0 0.00107226418163455 0 0 0 0 0 0 0 0 0 0 0.001202274021017
"Hspg2" 0.00116983347447202 0.00114884256069435 0 0.00116728230749624 0 0.00123991487003135 0 0 0 0 0 0 0 0 0 0.00101907248463147 0 0 0 0 0 0 0
"Thbs1" 0.0016671909302604 0.00179047344254569 0.00152523168904788 0.00182345396889502 0 0.00161100046549037 0.00102980848357198 0.00154235022685268 0.00106137836699028 0.00149756263132365 0.00159751134287985 0.00117911394518456 0 0 0 0.00137391304797263 0.00103930562774337 0.0013214135713512 0 0 0.0013043515282923 0.00123200415146437 0.00126850246148942
"Hsp90b1" 0.00120707175795362 0.00132738074208751 0 0.00119698989679865 0 0.00114514069868005 0 0.00111637484351452 0 0 0.00107760581110682 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfc" 0.00138739237908813 0.00135335614719117 0.00112218950754748 0.00118427352499106 0 0.00123189346098633 0 0.00119533008351952 0 0.00105599449664472 0.00102177677795024 0 0 0 0 0 0 0.00109202347183995 0 0.00220931165320014 0.00107000978840669 0 0.00112417595822454
"Adam15" 0.00110761468427532 0.00111633898910217 0 0.00122838449995943 0 0.00102462443028298 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema3a" 0.00134774374240879 0.00147428690923631 0.00122051805430561 0.00136669305558481 0 0.00117401469931038 0 0.0012148091945638 0 0.00109650686395924 0.00127150263265479 0 0 0 0 0.00104332520684073 0 0 0 0 0.00102443370881377 0 0.0010829254514108
"Calm1" 0.0012041471253463 0.00117043152499261 0 0.00108041731568858 0 0.00103203562130737 0 0.0010309690297833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mapt" 0.00123212111036657 0.00132562713576934 0 0.00114066273851525 0 0.00115025927227916 0 0.00107983501165635 0 0.00105700212538136 0.00118507329066201 0 0 0 0 0 0 0 0 0 0 0 0
"Fbn1" 0.00119660850923217 0.00120489792018261 0 0.00118618362425712 0 0.00129186551753111 0 0 0 0 0 0 0 0 0 0.00102695476561264 0 0 0 0 0 0 0
"Calr" 0 0.0010791986551411 0 0.00474621761376163 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00525698100903084 0 0 0 0
"Jam2" 0.00145178719016429 0.00145047309325571 0.00121263850397842 0.00154304011486572 0 0.00117949721670922 0.00111188737961366 0.00141365980870676 0.00112124999493462 0.00123685652741231 0.00167031792204538 0.00119972817629117 0 0.00103067561559442 0 0.00138516872023574 0.00107089726338348 0.00118674696402135 0.00103767390513357 0 0.00111478684619734 0.0010869678704653 0.00107972823408533
"Aimp1" 0 0.00106132617919555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamb1" 0.00107683527885814 0.00118242712874221 0 0.00119537386418107 0 0.00118504534972238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nid1" 0.00123564708620085 0.00117729944235634 0 0.00110809665820219 0 0.00124129876116599 0 0.00106012399382008 0 0.0010632267450969 0 0 0 0 0 0 0.00124289887545935 0 0 0 0 0 0
"Dll4" 0.00185625641413516 0.00192428854303728 0.00171277054782765 0.00155279467161122 0.00120201100803563 0.00172302334041125 0.0013500241197559 0.00158627144142742 0.00124732263249002 0.00141786458081748 0.00132529872120021 0.00169020450764127 0 0.00105158767963183 0 0.00161737448288009 0.00102875998261959 0.00127074977154011 0 0 0.0012408464159742 0.00165590287978707 0.00125903411156172
"Grem1" 0.00115716355890302 0.00121330088862673 0 0.00125767498701645 0.00111117550230422 0.00111077869497869 0 0.00115414041247358 0.00102929492550664 0.00119920428021569 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col1a1" 0.00150260770807709 0.00162707381338442 0.00125334137593862 0.00134421200209492 0.00106423227277598 0.00162724394629439 0.00104508473267974 0.00127585516052212 0 0.00131433672574726 0.00139856263107501 0.00105422061954342 0 0 0 0.00131625400256107 0 0.0012861625825685 0 0 0.00130045582727101 0.00124593578244914 0.00108526230898887
"Pros1" 0.00169455534887847 0.00164073810206497 0.00150781785872065 0.00166519308200162 0 0.00148145631618674 0 0.0015607816818557 0.00105716032613874 0.00129324513525151 0.00166897067991997 0.0011934025871411 0 0 0 0.00119310947520241 0 0.00120418307124133 0 0 0.0013253848286283 0.00113860596028966 0.00133912961273131
"Rps19" 0 0.0010961330719689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ntn1" 0 0.00102995310966236 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hgf" 0.00134835715116902 0.00139070664011293 0.00125030094268752 0.00140439520914955 0 0.00251520957684058 0 0.00121069804375481 0 0.00120510671395915 0.00115635981963199 0 0 0.00466413216211115 0.002114527158599 0 0 0.00103016515707818 0 0 0.00109605045726646 0 0.00106976559704198
"Icam2" 0.00117546207396725 0.0011779264302795 0 0.0011356867960131 0 0 0 0 0 0 0.00122424145255418 0.00104085914231538 0 0 0 0 0 0 0 0 0 0 0
"Itgal" 0.00127765894622337 0.00137981814255523 0 0.00123249763383793 0 0.00118620660067922 0 0.00114853764024119 0 0.00108081944954205 0.00459603643453952 0 0.0167264044993116 0 0 0 0 0 0 0 0 0 0
"Hmgb1" 0.00224754285905749 0.00229718206526458 0.00221874783138468 0.00244227739533442 0.00125569858199799 0.00215517700165225 0.00477568538107306 0.00199640735340816 0.00148116152763584 0.00195948817849761 0.00202844749551711 0.00164672543649882 0 0.0013546673719414 0.00114334995446103 0.00184897806762105 0.00143155244986096 0.00153549082034507 0.00112836022669408 0.00125881169821278 0.00182239591424452 0.00145566327617004 0.00176744537593925
