"Acta2" "Basp1" "Ccnd1" "Cdkn1a" "Col1a1" "Col1a2" "Col3a1" "Col4a1" "Col5a1" "Des" "Eln" "Fbn1" "Fkbp1a" "Fn1" "Grem1" "Hif1a" "Igf1" "Lox" "Loxl2" "Mdm2" "Mmp2" "Nme1" "Pdgfa" "Pdgfrb" "Postn" "Serpine1" "Serpine2" "Snai1" "Sod2" "Tagln" "Thbs1" "Thbs2" "Timp1" "Tpm4" "Adamts4" "Anxa2" "Ccnd2" "Cd44" "Ecscr" "Fmod" "Gapdh" "Id3" "P4hb" "Ptn" "Runx1" "Spp1" "Tnc" "Actb" "Fam129b" "Ier5" "Nrcam" "Pfn1" "Sept9" "Tubb5" "Vasp" "Isyna1" "Myh9" "Tgfb2" "Enc1" "Lama5" "Ncam1" "Fst" "Hbegf" "Sparc" "Odc1" "Ranbp1" "Tm4sf1" "Pkm" "Col8a1" "Il13ra1" "Il1r1" "Inhba" "Mmp14" "Gnas" "Eno1" "Tagln2" "Angptl4" "Ctsk" "Ldha" "Tnfrsf12a" "Tpm1" "Adamts12" "Calm1" "Sfrp1" "Dclk1" "Ier5l" "Ppp1r14b" "Prdx5"
"Efnb1" 0 0 0.00129525828828361 0.00136241977901401 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00102406367506184 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam9" 0 0 0.0012481863291085 0.00139974446987429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00102257582441805 0 0 0 0 0.00118594171338682 0 0 0.00102607094632616 0 0 0.00104802276845768 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb2" 0 0 0.00114419677583603 0.00119974845135982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ltb" 0 0 0.00198167801473836 0.00197876231105226 0.00147580991085005 0.00131465587349838 0.00121763834466782 0.00121197718650406 0 0 0 0 0.00109330767282017 0.00128885537712403 0 0.00113224593109208 0.00125510632341231 0 0.0011036554037853 0.00113182366308294 0.00120241365851828 0.00120444566371989 0 0.00125634581966334 0.00118173484514058 0.00136859065053669 0 0 0.00126291260368123 0 0 0.00130684742449003 0 0 0 0 0.00132037609583645 0.00112007671378112 0.001218737137036 0.00122229393411661 0.00168526350729594 0.00143941041757547 0 0.00122247638891145 0.00129262687409045 0 0.00126563825816297 0.0014927927701708 0.00176600727677031 0.00122427269848006 0.00117828116451048 0.00121837481859104 0.00134151004207116 0.00132812022344578 0.00131018988181842 0.00101775781438379 0.00114753741559277 0 0 0.00120096612096948 0.00136013661076867 0.00136192108696075 0 0 0.00107406273699779 0.00123161613348447 0.00115629496006568 0.00139142654946109 0 0 0.00136821120145897 0 0 0 0.00112152877353512 0.00102657715494841 0.00105228696851331 0 0 0.00106424296276874 0 0 0 0 0.00144410627788329 0.00146039331428765 0.00143670626820358 0.00148132681159841
"Pcdh1" 0 0 0.00153756139085828 0.00171059303509075 0 0 0 0 0 0 0 0 0 0.00103965134935404 0 0 0 0 0 0.00104387358690154 0 0 0 0 0 0.00146443774054937 0 0 0 0 0 0 0 0 0 0 0.00110606876606754 0.0010685380836137 0 0 0.00102257405557049 0.0012965677340796 0 0 0.00117635266729357 0 0.00107349084818532 0.00130990616096732 0.00109442602441407 0.00113335967884579 0 0.00104015187847841 0.00119712505988381 0.00113651063837519 0.00102255171118882 0 0.00101428260710888 0.00108876398327872 0.00101998989312619 0.00111960137498037 0 0 0 0 0.00107188517144924 0 0.00120911185686436 0 0 0 0 0 0 0.00106603707303831 0 0.0011033243366148 0 0 0 0.00108977746843222 0.00102546917641193 0 0 0.0011140695316235 0 0 0 0
"Fn1" 0 0 0.00113878306186211 0.0014180315088664 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00104757895443256 0 0 0 0 0 0 0.00355817317440741 0 0 0 0 0 0 0 0 0.00113495017629566 0 0 0 0 0 0.00105451467772412 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Calm1" 0 0 0.00143589454710299 0.00160268744489109 0 0 0 0 0 0 0 0 0 0.00110436595243795 0 0 0 0 0 0 0 0 0 0 0 0.0011979820152568 0 0 0 0 0 0 0 0 0 0 0.00105030753539939 0 0 0 0.00102623554491737 0.00139032272264926 0 0 0.00111438583067327 0 0 0.0012041471253463 0.00103010268337135 0.00102705329917812 0 0.00104838710845031 0.00109932982859305 0.00103779527525118 0 0 0.0010309690297833 0 0 0.00112557143270181 0 0 0 0 0.00108420676171275 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00110077236343652 0 0 0 0 0
"Hebp1" 0 0 0.00122323537859884 0.00109830591430202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb2" 0.00426472021027771 0 0.00190805271786732 0.00242732066735023 0.00576007370235692 0.00577280511684245 0 0.00119178659875394 0 0 0.00116495667700662 0.00500298343691173 0 0.0048917055913293 0.00268969783792137 0.00127602743835237 0.00143979714863163 0 0 0.00147020575357572 0.00222230211950226 0.0010961864018516 0 0.00125990790145213 0 0.00604055454509207 0 0.00111894400410458 0.00108365794336552 0 0.00135638336781128 0 0.0021985662674196 0.00141125997817519 0 0.00459734569206122 0.00170565816448646 0.00151409785873996 0.00660110650680246 0 0.00142447777506072 0.00229373581544947 0.00210587522167556 0 0.00183805797545813 0.00424300511753034 0.00273951091521325 0.00183006461202542 0.00152045450412193 0.00161802556105402 0 0.00160496966216414 0.0017420769136518 0.00159702134242239 0.00164419239163483 0 0.0017211211321104 0.00481347776799212 0.00133378902592852 0.00135316385988649 0.0026149651301924 0.00145119148767289 0.00102357968032111 0.00246844269781697 0.00142424032945431 0.00152969545739733 0.00142883319974461 0.00130841337916431 0 0 0 0 0 0.00116652860960587 0.00151025745887755 0.0014083566203029 0.00118800585049223 0 0.00117231517273391 0.00129475943414214 0.00133878558905958 0.00594686423756322 0.0011306943910618 0.00132432671418004 0.00127700450189237 0.00111646755575958 0.00117482977695061 0.00145825053132446
"Hc" 0 0 0.00128801837798495 0.00121904808611797 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00104383446238057 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00197842523846087 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0 0 0.00158421183865339 0.00171852712084425 0 0 0 0 0 0 0 0 0 0.00109533833164278 0 0 0 0 0 0.00111529853584931 0 0 0 0 0 0.00136500910715811 0 0 0 0 0 0 0 0 0 0 0.00115164477599072 0 0 0 0.00108957201095851 0.00133349852281733 0 0 0.00112718423064142 0 0 0.00118100036603681 0.00109948046523274 0.00109793122244044 0 0.00117966156174943 0.00122801591880543 0.00116128244547727 0.00105072431696286 0 0.00110440920299505 0 0 0.00101754385494799 0 0 0 0 0.00102102677502975 0.00116330358440472 0.00101497937423155 0 0 0 0 0 0 0 0.00102778981513166 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pgf" 0 0 0.00206311573471318 0.00218818771600824 0.00124554231609147 0 0 0 0 0 0 0 0 0.00162008829024104 0 0.00268630549914874 0.00112828058342489 0 0 0.00138323208470499 0.0010863169778285 0.00102314103277396 0 0 0 0.00298476130021424 0 0 0.0012695184622155 0 0.00118249421152667 0 0 0.00108865766122381 0 0.0011951632580276 0.00158261528462413 0.00141373883130841 0 0 0.00169384392973226 0.00157292839406298 0 0 0.00142494469253823 0 0 0.00158456810076445 0.00132586828551885 0.00126269796731184 0 0.00126203699620948 0.00149788077948466 0.00147997949280216 0.00131265453326236 0 0.00137792234125744 0.00123442754740235 0.00111612898604106 0.00128375732887628 0.00105252112474296 0.00110347601932854 0 0 0.00123604900799273 0.00132606360345978 0.00119368958575058 0.0011349566432881 0 0 0 0 0 0.00108043125274648 0.00139563408352056 0.00112047586762639 0.00131367798619356 0 0.00126471674064846 0.00121742381247097 0.00104362371908881 0 0.00105200644092734 0 0 0.00105203833123394 0.00119159449395154 0.00110695455722531
"C3" 0 0 0.00130640296869222 0.00139342762829878 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00111300782215802 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pdgfb" 0.00401243838224681 0 0.00397971566562292 0.00419351935735484 0.00417536407881862 0 0 0 0 0 0 0 0 0.00132765694970675 0 0.00382549008940774 0.00106574523931879 0 0 0.0011476893123666 0 0 0 0 0 0.00156817640621023 0 0 0.00384315562232967 0 0.00108799530040516 0 0 0.00113746807586935 0 0.00105436861818193 0.00429672473558718 0.0011635867863639 0 0 0.00126895285760113 0.00159394092011876 0 0 0.00147464683283873 0 0 0.00134724812981761 0.00118194491140881 0.00119230462118915 0 0.00118626414954706 0.00142416720260589 0.00135624863183566 0.0012903746990906 0 0.00123530278212532 0 0.00101649105164662 0.00118737509160926 0 0.00102534703398873 0 0 0.00127333888746206 0.00130261490045116 0.00111597513948511 0.00104480783019093 0 0 0 0 0 0.00104280472467621 0.00112726451370872 0.00117211390773972 0.00114363905678107 0 0 0.00104917703515875 0.00102559215565563 0 0 0 0 0 0 0
"Plat" 0 0 0.00187139313165828 0.00199289280426787 0.00108487625927281 0 0 0 0 0 0 0 0 0.00135938890027968 0 0.00121173673433455 0 0 0 0.00122629304835977 0.00402226159441221 0 0 0 0 0.0016873298328899 0 0 0.00220045032754589 0 0.00101369215935221 0 0.00376305192776554 0.00111567178449562 0 0.00102265494860081 0.00137187945835533 0.00107030861742904 0 0 0.00126865777935597 0.00148462046055328 0 0 0.00130674012362785 0 0 0.00133851398311272 0.00118321810716416 0.00110337173872012 0 0.00130243540425315 0.00132800761722797 0.00117253535851988 0.00121357849896867 0 0.00124665355266552 0.0010840746003078 0.00103690286690994 0.00121623691549038 0 0 0 0 0.00133651435688351 0.0010831758416878 0.00107645388017378 0 0 0 0 0 0 0.00104484009730756 0.0011226646268057 0.00119455385018028 0.00114226988083267 0 0.00106698463415765 0.0011258649822431 0.00107226211671829 0 0 0 0 0 0 0.00102392159418446
