"Acta2" "Basp1" "Ccnd1" "Cdkn1a" "Col1a1" "Col1a2" "Col3a1" "Col4a1" "Col5a1" "Eln" "Fbn1" "Fn1" "Grem1" "Igf1" "Lox" "Loxl2" "Lpl" "Nme1" "Pdgfa" "Pdgfrb" "Postn" "Serpine1" "Serpine2" "Socs3" "Thbs1" "Thbs2" "Timp1" "Actb" "Cebpb" "Enc1" "Fbn2" "Myh9" "Ncam1" "Pfn1" "Runx1" "Sept9" "Spp1" "Tnc" "Tubb5" "Cd44" "Clic1" "Nrcam" "Adamts4" "Anxa2" "Bdnf" "Bgn" "Fmod" "Ptn" "Sdc1" "Sparc" "Col8a1" "Il13ra1" "Inhba" "Mmp14" "Fst" "Ranbp1" "Angptl4" "Fhl2" "Tpm1" "Eno1" "Tm4sf1" "Sfrp1" "Tnfrsf12a" "Lgals1" "Hbegf" "Adamts12" "Dkk2" "Pkm" "Rcan1" "Calm1" "Slc20a1"
"Adam12" 0 0 0.00127689131218441 0.00146900484079388 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00118899289831799 0 0 0 0 0 0.00107407810074245 0.00117035453893123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Calm1" 0 0 0.00143589454710299 0.00160268744489109 0 0 0 0 0 0 0 0.00110436595243795 0 0 0 0 0 0 0 0 0 0.0011979820152568 0 0 0 0 0 0.0012041471253463 0.00115411524937487 0 0 0 0 0 0.00111438583067327 0.00109932982859305 0 0 0 0 0.00108041731568858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00110077236343652 0
"Tfpi" 0 0 0.00156866116757603 0.00180542265932171 0 0 0 0 0 0 0 0.00124170609696535 0 0.00112901699086326 0 0 0 0 0 0.00107951502067193 0 0.0017577801539414 0 0.00141173910657566 0 0 0 0.00117336021905381 0.00123647589347846 0 0 0.00113797597937171 0 0.00124833822055593 0.00139052398926779 0.00132707590588713 0 0 0.00117184889209247 0.00107873773951988 0.00142668374788102 0 0 0 0.00124611219625122 0 0 0 0 0 0 0 0 0 0 0.00119474495407239 0 0 0 0 0.00109586458384915 0 0.00106865957997869 0 0 0 0 0 0.00114968026997159 0 0
"Cxcl16" 0 0 0.00112031842130571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rps19" 0 0 0.00126701179914019 0.00135389490823109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Serping1" 0 0 0.00143077702624639 0.00146632850772889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00117847990326443 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam9" 0 0 0.0012481863291085 0.00139974446987429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpi1" 0 0 0 0.0017677010676815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema3a" 0 0 0.00170722220684351 0.00191662355910725 0 0 0 0 0 0 0 0.00116723223747363 0 0 0 0 0 0 0 0 0 0.00147584366585852 0 0.00114100840032303 0 0 0 0.00134774374240879 0.00133776854709642 0 0 0.0012148091945638 0 0.00109600872706478 0.00128682450635095 0.00132954149592478 0 0 0.00124072333390752 0 0.00136669305558481 0 0 0 0.0011596165921759 0 0 0 0 0 0 0 0 0 0 0.00110527376914726 0 0 0 0 0.00107515164478687 0 0 0 0 0 0 0 0 0 0
"Fgf7" 0 0 0.00243961924686273 0.00162696765585824 0 0 0 0 0 0.00228038570568765 0 0 0 0 0 0 0 0 0 0 0 0.00114885337188146 0 0.00112568485193921 0 0 0 0.00109533849537324 0.00116512375226457 0 0 0 0 0 0.00106817876457728 0.00107154454395854 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
