"Basp1" "Ccnd1" "Col1a1" "Col3a1" "Col4a1" "Col5a1" "Eln" "Fn1" "Grem1" "Igf1" "Lpl" "Mmp2" "Pdgfa" "Pdgfrb" "Postn" "Serpine1" "Serpine2" "Thbs1" "Thbs2" "Timp1" "Actb" "Cd44" "Ier3" "Nrcam" "Runx1" "Sept9" "Tnc" "Adamts4" "Bgn" "Fmod" "Sdc1" "Spp1" "Col8a1" "Ereg" "Inhba" "Myh9" "Sparc" "Enc1" "Lama5" "Chst11" "Fst" "Hbegf" "Pcdh7" "Sema3a" "Tpm1" "Adamts12" "Cyp26b1" "Dkk2" "Nwd2" "Tmem178" "Crlf1" "Cyp7b1" "S100a4" "Sfrp1" "Angptl4" "Chl1" "Rcan1"
"C3" 0 0.00130640296869222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam9" 0 0.0012481863291085 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itga4" 0 0.00117521952264516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dll4" 0 0.00223973996547248 0.00151651609004675 0.00124343351068 0 0.0013819197902385 0.00120201100803563 0.00269630698677478 0 0 0 0 0 0.00124020061613721 0 0.00192998991652903 0 0.00159146843268634 0 0 0.00185625641413516 0.00146886984715631 0.00195067239704965 0 0.00162236827633666 0.0019189909469028 0.00126860578117885 0 0 0.00167450123923628 0.00158089306824404 0 0 0.00116040462301045 0 0.00158627144142742 0 0.00176882487402128 0.00165436143900435 0 0.00124523442823916 0 0.00125198924676116 0 0.00155417871893061 0 0 0 0 0 0 0 0 0.0014105076412637 0.0012026207484359 0.00150888084515939 0
"Tfpi" 0 0.00156866116757603 0 0 0 0 0 0.00124170609696535 0 0 0 0 0 0 0 0.0017577801539414 0 0 0 0 0.00117336021905381 0 0.00139429377415847 0 0.00139052398926779 0.00132707590588713 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Serping1" 0 0.00143077702624639 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00117847990326443 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp5" 0 0.00181748975500293 0.00130880900456383 0.00128247069133391 0.00136662232336151 0.00128993716490977 0 0.00173927493694213 0 0 0.00118495932950721 0 0 0 0 0.0021444234285971 0 0.00132469264528377 0.00131077052655089 0 0.00185652795516258 0.00150708390001506 0.00192664670296883 0.00120595969554761 0.00193849045457438 0.00153997590500088 0.00168013882351154 0 0 0.00116127830558028 0 0 0 0 0 0.00158714214340449 0 0.00169288991956378 0.00187001436163829 0 0.00154024760140283 0.00121864579128404 0.00137649475029827 0.00118625190261023 0.00149960659734898 0 0 0 0 0 0.00119705093282491 0 0 0.00155379841419703 0.00123569492243231 0.00115688794834979 0.00139040818500106
"Pcdh1" 0 0.00153756139085828 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00146443774054937 0 0 0 0 0.00130990616096732 0 0.00127197955683965 0 0.00117635266729357 0.00119712505988381 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dll1" 0 0.00194543834345954 0.00125414594076283 0 0 0 0 0.00162161267721719 0 0.00124504292999566 0 0 0 0 0 0.0016836767215375 0 0.00127283421556171 0 0 0.00179543481333771 0.00137593477857519 0.0016324055789768 0 0.00145253689352195 0.00163797080061872 0 0 0 0 0.00116022257565556 0 0 0 0 0.00148122290325066 0 0.00140917773709175 0.00137380446035943 0 0.0011941354825135 0 0.00127678026021424 0.0012174791139386 0.00136230237800432 0 0 0 0 0 0 0 0 0.00122288166335228 0 0.00168354284324097 0
"Vtn" 0 0.00158623196583323 0 0 0 0 0 0 0 0 0 0.00213544206843871 0 0 0 0.00143023449826011 0 0 0 0 0.00123665863031292 0 0.00133963474455936 0 0.00127458862926799 0.00135350613046126 0 0 0 0 0 0 0 0 0 0 0 0 0.00120604704129986 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
