"Bax" "Bgn" "Cd44" "Cdkn1a" "Col1a1" "Csf1" "Cxcl12" "Gsta3" "Id3" "Igf1" "Junb" "Mmp2" "P4hb" "Pgf" "Runx1" "Sdc4" "Thbs1" "Timp1" "Tnc" "Col3a1" "Fn1" "Gbp2" "Ptges" "Socs3" "Sod2" "Tgfbr2" "Vcan" "Acta2" "Des" "Hic1" "Hspb1" "Ifit3" "Serpine2" "Snai1" "Actb" "Tubb5" "Ier5" "Psen1" "Isyna1" "Cp" "Fth1" "Irf7" "Tnfrsf1a" "Xaf1" "Lpp" "Nnmt" "B2m" "Cyp7b1" "Hmgcs1" "Xbp1" "Rcan1" "Cfb" "Col18a1" "Ldha" "Eif2ak2" "Actn1"
"Vegfc" 0 0 0 0.00175765021772766 0 0 0 0 0.0014696170602583 0 0.00151473600820196 0 0 0.00124164989571397 0 0.00132452636502321 0 0 0 0 0.00121493178321917 0 0 0.00135497115349177 0 0 0 0 0 0 0 0 0 0 0.00138739237908813 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122920169099925 0 0 0
"Ptprc" 0 0 0 0.00171937967299817 0 0 0 0 0.00150984174518911 0 0.00157472331208885 0 0 0 0.00134326528647838 0 0 0 0 0 0 0 0 0.001605852961689 0 0 0 0 0 0 0 0 0 0 0.00133314863635044 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ghrl" 0.00363487748446742 0 0 0.00181502530273677 0 0 0 0 0.00129659715703991 0 0.00139382080516959 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00376959631959112 0 0 0 0 0 0 0 0 0 0.0012186132653669 0.00122510166080333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plxnb2" 0 0 0 0.0012145878433982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0 0 0 0.00162758304250463 0 0 0 0 0.0014333956263109 0 0.00130467250691669 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pgf" 0.00145697604379791 0 0.00141373883130841 0.00218818771600824 0.00124554231609147 0 0 0 0.00157292839406298 0 0.00181391731920439 0 0 0 0.00142494469253823 0.00128692593152622 0 0 0 0 0.00162008829024104 0 0 0.00143833709680886 0.0012695184622155 0.00130077363997776 0.00128868400585088 0 0 0.00125505706667096 0 0 0 0 0.00158456810076445 0.00147997949280216 0.00126269796731184 0 0 0 0.00121452343647606 0 0.0012991136998359 0 0.00122051999817778 0 0 0 0 0 0 0 0.0012653313147253 0.00126471674064846 0 0
"Il33" 0 0 0 0.00144356568724919 0 0 0 0 0.00129373928315927 0 0.00123018435426831 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00204156086914286 0
"Vegfa" 0.00378673150218 0 0.00228858019931171 0.00201992273566579 0 0 0 0 0.00267276204037855 0 0.00263407615762913 0.00528090813001964 0.0019843370875547 0.00272397102983252 0.00133651101578848 0 0 0 0 0 0.00138374225895684 0 0 0.00135991631917548 0.00380124637861206 0.00122117606220801 0 0 0 0 0 0 0 0 0.00136483375622213 0.0012936202448339 0 0 0 0 0 0 0.0012150415176645 0 0.00120768508675322 0 0 0 0 0 0 0 0 0.0024203298334835 0 0
"Serping1" 0 0 0 0.00146632850772889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nectin1" 0 0 0 0.00150300544457211 0 0 0 0 0.0012707348263701 0 0.0013030556613697 0 0 0 0 0 0 0 0 0 0.00123036381555818 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
