"Actb" "Bhlhe40" "Fn1" "Ier3" "Myh9" "Pmepa1" "Ptma" "Spp1" "Tnc" "Clic1" "Col1a1" "Prmt1" "Tsc22d3" "Fst" "Grem1" "Timp1" "Eln" "Dkk2" "Pdgfa" "Tpm1" "Hdac7" "Msn" "Lpl" "Actn1" "Csrp1" "Des" "Dzip1l" "Cald1" "Ddx5" "Col4a1"
"Efnb1" 0 0 0 0 0 0 0.00103946233538315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C3" 0 0.00105562083355485 0 0.00110182053095711 0 0 0.00105356691912431 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ntn1" 0.0010058150558532 0.00104074302332063 0 0.00108915639692191 0 0 0.00114639639276936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hgf" 0.00134835715116902 0.00156689064027861 0.00133088127579871 0.00152173838182139 0.00121069804375481 0.00106368395145923 0.00163909352884856 0 0 0.00140439520914955 0.00108112285435082 0.00123170530981545 0 0 0 0 0 0 0.00229382017097465 0 0 0 0 0 0.00109605045726646 0 0 0.00106976559704198 0 0.00466413216211115
"Inhba" 0.00186551860441827 0.0018126301114425 0.00162679185350827 0.00184805020512057 0.00161932758605975 0.00171244088834248 0.00196273167192042 0 0.00175388027239287 0.00126409211580623 0.00123346019800764 0.00117582870115122 0 0.00136930441535858 0 0 0.0011940241331696 0 0 0.0013624107183133 0 0 0 0.00131304843305723 0.00114454587802355 0 0 0.00156400473746921 0.0015389580375567 0.0011315820055384
"Sema3a" 0.00134774374240879 0.00141729300231907 0.00116723223747363 0.00148046659562569 0.0012148091945638 0 0.00143920287297547 0 0 0.00136669305558481 0.00103349184753335 0.00117801058046046 0 0 0 0 0 0 0 0 0 0 0 0 0.00102443370881377 0 0 0.0010829254514108 0 0
"Ltf" 0.00143453493772279 0.00217754658361381 0.00134578290956992 0.00692590913497138 0.00134135349639848 0.00114251305090252 0.00174208055845557 0 0.00101189479314041 0.00147434531050258 0.00109391780498651 0.00132976094967083 0 0.00104553281762212 0 0 0 0 0 0.00775823841227932 0.00104543898081108 0 0 0 0.00119622307816807 0.00881393082801488 0.00895899273729102 0.0010484760053179 0 0
"Itgb2" 0.00110373204318215 0.0011766662342716 0.00107112524446552 0.00122445352357404 0.00102078443225073 0 0.00130165278979397 0 0 0.00104441253231619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0.00116983347447202 0.00137597068690354 0 0.00124322014947712 0 0 0.00141789577318265 0 0 0.00116728230749624 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00106136280391356 0.00100888440481802 0 0 0 0 0
"Col1a1" 0.00150260770807709 0.00165395834842459 0.00126103812414002 0.00154697020220672 0.00127585516052212 0.00117642116568082 0.00185954793602832 0 0.00106672277741401 0.00134421200209492 0.00121792438641781 0.00111325960016454 0.00104508473267974 0.00116810245287955 0 0 0.00106423227277598 0 0 0 0.00123073271132476 0 0 0.00108265168226433 0.00130045582727101 0 0 0.00108526230898887 0.00117862509122881 0
"Adam17" 0.00152012849124405 0.00154248234840864 0.00144290224621979 0.00172829346361237 0.00133758499639306 0.00115905958653764 0.00168750786821563 0 0.00241628545664076 0.00134863235874304 0.00111095351882025 0.00125135762357861 0.00113895303798818 0.00113229807507256 0 0 0 0 0 0.00106013843321876 0.0011515339580642 0 0.00231280472344531 0 0.00116570085237486 0 0 0.00115500549497355 0 0
"Pcdh1" 0.00130990616096732 0.00124473003500201 0.00103965134935404 0.00127197955683965 0.00101428260710888 0.00106675278143454 0.00137541403096578 0 0.00107349084818532 0.0011633258894132 0 0.00101426994389485 0 0 0 0 0 0 0 0.00102546917641193 0 0 0 0 0 0 0 0 0 0
"Rps19" 0 0.00102367989052771 0 0.00105870505522464 0 0 0.00108582072200858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Calm1" 0.0012041471253463 0.0012305206841489 0.00110436595243795 0.0013051154779708 0.0010309690297833 0 0.00130047237369597 0 0 0.00108041731568858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfc" 0.00138739237908813 0.00128437372672471 0.00121493178321917 0.00156565053306996 0.00119533008351952 0.00106672743852603 0.00144842647897812 0 0 0.00118427352499106 0 0.00114804125575676 0 0 0 0 0 0 0 0 0 0.00220931165320014 0 0 0.00107000978840669 0 0 0.00112417595822454 0 0
"Gas6" 0.00118582420122749 0.00116689233913159 0.00104929271815995 0.00124932580041872 0.00102391887770156 0 0.00127695255172798 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fbn1" 0.00119660850923217 0.00145854018029071 0.00103755226852039 0.00117788353573013 0 0 0.00149321214965977 0 0 0.00118618362425712 0 0 0 0 0 0 0 0 0 0 0.00108250029385293 0 0 0 0 0 0 0 0 0
"Col4a1" 0.00115017429167651 0.00128868388073533 0.00106112244878979 0.00118216257804888 0.00106085628965234 0 0.00129264568940487 0 0 0 0 0 0 0.00104663601668057 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vwf" 0.00105613922150055 0.00116307946765692 0.00109901751747858 0.00120945062995606 0.00101929878944556 0 0.00127393712777647 0 0 0.00106712646970571 0.00384617150905376 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf7" 0.00109533849537324 0.00116715706423476 0.00105609512220478 0.00130741887800563 0.00101204289915805 0 0.00140224021907017 0 0 0.00103216356546811 0 0 0 0 0 0 0.00228038570568765 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb7" 0.00100823625689274 0.00111956870826202 0 0.00111638879194851 0 0 0.00110451053152764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fn1" 0.00105451467772412 0.00107007383425102 0 0.00107644335611784 0 0 0.00112946048134842 0 0 0 0 0 0 0 0 0.00355817317440741 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0.00126282497199686 0.00129132259165542 0.0011457713304802 0.00146725544984714 0.00110625333023813 0 0.00138021989232682 0.00405193709315663 0 0.00121390140459223 0 0 0 0 0 0.00185060820883847 0 0 0.00203974471976682 0 0 0 0 0 0 0 0 0 0 0
"Edn1" 0.00119186886368411 0.00141489533512308 0.00127971483878582 0.00144341020441212 0.00112539673770424 0 0.00136186376870311 0 0 0.00124945330731138 0.00406632226576029 0.00109193415641433 0.00392076301972738 0.00242602597592015 0 0.00195713366293793 0 0 0 0 0 0 0 0 0.00104262033386023 0 0 0.00107489898220155 0 0
"Trf" 0.00140718378024421 0.00143417866455302 0.00123741515913932 0.00153028712903923 0.00125016956577398 0.0010284057787683 0.00169030413126523 0 0 0.00141466846141701 0.00102171678309716 0.001320688609128 0.00389664162149841 0.00102504002962583 0 0 0 0 0 0.0011722957817323 0 0 0 0 0.00102358023769255 0 0 0.00109514123603015 0.00106505369061098 0
"Plat" 0.00133851398311272 0.0014573615752464 0.00135938890027968 0.0013966920440855 0.00124665355266552 0.00109517954821766 0.00146822762389687 0 0 0.00132723406769894 0.00108487625927281 0.00113914206518198 0.00388044491150923 0 0 0.00376305192776554 0 0 0 0.00107226211671829 0 0 0 0 0.00101069911022835 0 0 0.00112184298948677 0.00101610037119648 0
"Tgfb2" 0.00183006461202542 0.00207097973282112 0.0048917055913293 0.00185892402942727 0.0017211211321104 0.00134580080960641 0.0018499032289045 0.00424300511753034 0.00273951091521325 0.0016894575952021 0.00576007370235692 0.00157977414528556 0 0.00145119148767289 0.00268969783792137 0.0021985662674196 0.00116495667700662 0.00549724010344597 0 0.00133878558905958 0.00106525422556979 0 0 0.00128892338819873 0.00492137821976941 0 0 0.0013934642693562 0.00135644277298121 0.00119178659875394
"Spp1" 0.0014557991705183 0.00153738968692015 0.00125375186388455 0.00153292593991244 0.00117497150695883 0 0.00162520374487465 0 0.00447159030759513 0.00129706631785776 0.00111379146622818 0.00118124028507941 0 0 0 0.00377514477134519 0.0049989028848838 0 0 0.00102033286831262 0 0 0 0 0.00104289831914904 0 0 0.00105167293366704 0 0
"Mmp9" 0.00136532258067635 0.0014344049434757 0.00121538013297602 0.00133525797695098 0.00114688291389529 0 0.00142654651157777 0 0 0.00143850333762942 0.00111111005972621 0.00111227528479881 0 0.00101158609159735 0 0.00379242755032811 0 0 0 0.00101363988611103 0 0 0 0 0.00106733952689913 0 0 0.0010495349261384 0 0
"Bmp4" 0.00167989700560281 0.00195992741794646 0.00163746098150271 0.00185626855263888 0.00152267215616941 0.00141816531264207 0.00198675235358929 0 0.00116055854158314 0.0015725296573374 0.00121880167980661 0.00148982754261048 0.00107865735175437 0.00265253295966565 0.00690799655342899 0 0 0 0.00103688409381032 0.00132923683457015 0.00116926901113276 0 0.00116472789278228 0.00114081406378305 0.00131787411241254 0 0 0.00137669194123599 0.00126617767844629 0.00106492606322081
"Hc" 0.00197842523846087 0 0 0 0 0 0 0 0 0 0 0 0.00355269481186808 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb3" 0.00171215492557961 0.00174604769304927 0.00446920500700439 0.00164521209644254 0.00145915110208982 0.00144443019006582 0.0018121909338725 0.00219667614821806 0.00642598074252033 0.00124604185718866 0.00123585671162163 0.00114660880807729 0 0.00119830485356036 0 0 0.00107851761243098 0 0 0.00117458558665939 0 0 0 0 0.00106776558672567 0 0 0.00130886393347766 0.00132925461081813 0.00106760603302712
