"Brd2" "Ccl3" "Cxcr4" "Gadd45b" "Per1" "Ubc" "Egr1" "Rela" "Csf1" "B2m" "Mapk14"
"Pecam1" 0.00120620073161776 0 0.00122790533893931 0.00130393379050722 0.00130265067725675 0.00143843750617272 0.00120213249789917 0.00114978978761386 0 0 0
"Il33" 0 0.00234027646532908 0 0.0011994900606376 0 0.00119320887389132 0.00113746550120653 0 0 0 0
"C3" 0 0 0 0.00112343341157497 0 0.00115852699578707 0 0 0 0 0
"Jam3" 0 0 0.00111037296010859 0.00136137617213746 0.00117293796413657 0.00128060825621201 0 0 0 0 0
"Ptprc" 0.0013715313921729 0 0.00114779513794023 0.00153818652184744 0.00134962233529835 0.00161763400171668 0.001302766630398 0 0 0 0
"Calm1" 0.00114469515886742 0 0 0.00128660101705327 0.00121437165741149 0.0014134261333845 0 0 0 0 0
"Hbegf" 0.00127285003333071 0 0.00113375997455251 0.00136802792326024 0.00126217176265295 0.00149707275928332 0.00121447644370586 0 0 0 0
"Fgf2" 0.00154870021027209 0 0.00238044816521948 0.00173736354169787 0.00164398867955811 0.00190696137685153 0.00251698926957603 0.00125851003071189 0.00251245742144926 0 0.00113871440903354
"Yars" 0.00113871456347081 0 0 0.00129126032055829 0 0.00134268522608456 0 0 0 0 0
"Calm2" 0.00119438600065949 0 0 0.00129425509179228 0.00121666253037186 0.00148294681600267 0 0 0 0 0
"Ptprm" 0.00118565218469379 0 0 0 0 0.00133237381868073 0 0 0 0 0
"Ptn" 0.00114280278844578 0 0 0.00125023270583947 0.00118364042232924 0.0014552067594616 0 0 0 0 0
"Cd34" 0.00183723293457141 0 0.00262891901916778 0.001753574236738 0.00220752878129176 0.00204747134129302 0.00163209242125417 0.00138029377475431 0.00135937752478155 0 0.00143776831200033
"Col18a1" 0.00117102550254029 0 0 0.00118150661567839 0.00127328400117038 0.00139609851422515 0 0 0 0 0
"Rps19" 0 0 0 0 0 0.00112611321241043 0 0 0 0 0
"Clstn1" 0.00112362251270193 0 0 0.00148575410730232 0.00119579539803739 0.00152674206932381 0 0 0 0 0
"Pros1" 0.00155797177574329 0 0.00122395411529046 0.00168226934658771 0.00167228618986096 0.00184751510728591 0.00160382518913497 0.00135435043311859 0.00119512563523906 0 0.00130951119780709
"Lrpap1" 0 0 0 0.00130179882185781 0.00121965638071019 0.00149484761016432 0.00112882470348237 0 0 0 0
"Itgb2" 0 0 0 0.00127059140788063 0.00111616225819892 0.00128002965240362 0 0 0 0 0
"F11r" 0.00113680019703122 0 0 0.0012830983719153 0.00122252985443803 0.00129029395871118 0 0 0 0 0
"Aimp1" 0 0 0 0.00112738374761748 0 0.00127460217063012 0 0 0 0 0
"Dusp18" 0.00124810845208862 0 0 0.00159229363563867 0.00137296464751021 0.00151833958549796 0.00148179952913895 0.00112957306882457 0 0 0.0011466777994983
"Apoe" 0.00116049767772136 0.00472482355411273 0.00386829659248802 0.00132063824668414 0.00116435146761913 0.00140505674577875 0 0 0.00434100032728227 0 0
"Pglyrp1" 0 0 0 0.00112532669718787 0.00112277337715047 0.0013419695676467 0 0 0 0 0
"Thbs2" 0.00156697224020113 0 0 0 0.00162937676193113 0.00113262045598704 0 0 0 0 0
"Il1rn" 0.00134439511994084 0 0 0.00201554850169958 0.00163553629527948 0.00172121613271287 0.00140016147187896 0.00127368276999173 0.0013821864268414 0.00135244863767953 0.00126015041456809
"Ptprf" 0.00130945504095098 0 0 0.00149465815199922 0.00118540456891783 0.00152321292666569 0 0.00113987130370299 0 0 0
"Icam2" 0 0 0 0.00112148456087869 0 0 0.00111954597102608 0 0 0 0
"Il1b" 0.00184543625583995 0.0053013438962451 0.00262247953204967 0.00511662323764435 0.00198126491894363 0.00231371300527286 0.00264964819888627 0.00561051695497022 0.00632249819196331 0.00136111692370163 0.00269296446954167
"Sell" 0 0 0 0.00117697668944554 0 0.00122184414463581 0 0 0.00226996099897093 0 0
"Fn1" 0 0 0 0 0 0.00115129399477257 0 0.00365473609515762 0 0 0
"Cxcl12" 0 0 0.00514400728896603 0.00129663054851378 0.00113142892160148 0.00139512043561346 0.00213442618913513 0 0 0 0
"Hc" 0 0.00452566835221951 0.00189264097626837 0 0 0 0 0 0 0 0
"Hebp1" 0 0.00199894790042514 0 0 0 0 0 0 0 0 0
"Spp1" 0.00145537092378718 0.00495411471165783 0.00222652946994726 0.00160524095493544 0.00139580930350346 0.00172691978695937 0.00119982980761619 0 0 0 0
