"Cebpb" "Fkbp5" "Jun" "Per1" "Csf1" "Atf4" "Il1r2" "Cntrl" "Fth1" "Calm1"
"Thbs1" 0.00169910528349293 0.00133730517422962 0.00155942069896994 0.00182251986231837 0.00120196679939497 0.00143289872599856 0 0 0.0012450781145007 0.00129679672598832
"Nampt" 0.00197957165197222 0.00156883478380891 0.00181766323554742 0.00217292285892825 0.00121293425632258 0.00142355678233565 0.00110842938210178 0 0.00143302419248472 0.00123221247804616
"Selp" 0.00123447107508157 0 0.0011507416686648 0.00126131295751303 0 0 0 0 0 0
"Pecam1" 0.00131751122802977 0.00112952496875523 0.00137329280597652 0.00130265067725675 0 0 0 0 0 0
"Hbegf" 0.00128053910428899 0.00110623076209099 0.00133017534110929 0.00126217176265295 0 0 0 0 0 0
"Cfh" 0.00134722754763401 0 0.00136109784306505 0.00133691001496426 0 0 0 0 0.00113527987170788 0
"Spp1" 0.00147532636381718 0 0.00229066043707863 0.00139580930350346 0 0 0 0 0 0
"Apoe" 0.00121982094786889 0 0.00124562254295902 0.00116435146761913 0.00434100032728227 0.00408947682338347 0 0 0 0
"Cxcl12" 0.00411863755831926 0 0.00120067128464237 0.00113142892160148 0 0 0 0 0 0
"Mapt" 0.00130979639713352 0.00115103995070454 0.00131717667469896 0.00129804806908888 0 0 0 0 0 0
"Itgam" 0.00129516823131914 0 0.00128349196174578 0.00110355040588419 0 0 0 0 0 0
"Col1a1" 0.00154254740081433 0.00114071815932327 0.00134407785653066 0.00150898131397024 0 0.00109927364050066 0 0 0.00123930822960594 0.00124529279028093
"Mmp9" 0.00136394278263057 0.00109612075075737 0.00282803752496483 0.00132068161649907 0 0 0 0 0 0
"Col18a1" 0.00113032575278989 0 0 0.00127328400117038 0 0 0 0 0 0
"Jam3" 0.00129840116030541 0 0.00123276508072386 0.00117293796413657 0 0 0 0 0 0
"Icam2" 0.00114981696009919 0 0.00112160088096369 0 0 0 0 0 0 0
"Cd2" 0.00140358213563062 0 0.00143746966080675 0.00132880024159081 0 0 0 0 0 0
"Il1rn" 0.00151520159064419 0.00147121974325394 0.001563731519214 0.00163553629527948 0.0013821864268414 0 0 0 0.00125520435880016 0
"Plau" 0.00197535742190575 0.00148362520829518 0.00282254182158485 0.0025135792349357 0.00117938676547779 0.00150240069305397 0 0 0.00129121082692901 0.00122305469748439
"Igf1" 0.00163311797324409 0.00131762217363399 0.00492577803717049 0.00160562045528667 0.0024236460947797 0.00115592350487948 0 0.00847884360270655 0.00112646941552197 0
"Itgb2" 0.00122574096649539 0 0.00119165782454072 0.00111616225819892 0 0 0 0 0 0
"Clstn1" 0.00140735794687182 0 0.00117903702462746 0.00119579539803739 0 0.00118553539537826 0 0 0 0
"Edn1" 0.00139931153213885 0.00117034149532683 0.00472435857514229 0.00142703670705039 0 0 0 0 0 0
"Aimp1" 0 0 0 0.00110640479923312 0 0 0 0 0 0
"F11r" 0.00120413003175493 0 0.00118748018371731 0.00122252985443803 0 0 0 0 0 0
"Il1b" 0.00196843198131674 0.00147210059049608 0.00516705254098456 0.00198126491894363 0.00632249819196331 0.0013466748045543 0.00566054274896508 0 0.00142926429055526 0.00252160299925607
"Serpine1" 0.00167750799477882 0.00139439863595126 0.00152035504570537 0.00192083044487833 0 0.00133897664614901 0 0 0.00133483401289362 0
"Cd34" 0.00211042236181749 0.00167106352085511 0.00172690340742675 0.00220752878129176 0.00135937752478155 0.00157804270790484 0 0 0.0014737371914481 0.00143953991694617
"Sell" 0.00117794905226794 0 0 0.0011046106927732 0.00226996099897093 0 0 0 0 0
"Itgb1" 0.00412477620277136 0 0 0.00112333865586986 0 0 0 0 0 0
