"Ccl3" "Ccl4" "Gadd45b" "Ier3" "Jun" "Ubc" "Cd14" "Csf1" "Cxcl2" "Il1rn" "Egr1" "Fkbp5" "Gab2" "Slc7a11" "Ppp1r15a" "Gadd45g" "Il18r1" "Xbp1" "Eef1a1" "Hspa5" "Fth1"
"Itgb2" 0 0 0.00127059140788063 0.00122445352357404 0.00119165782454072 0.00128002965240362 0 0 0 0 0.00105052244608249 0.00100371974762851 0 0 0 0 0 0 0 0 0
"Lrpap1" 0 0 0.00130179882185781 0.00128301998550352 0.00120934838782043 0.00149484761016432 0 0 0 0 0.00112882470348237 0 0 0 0 0 0 0 0 0 0
"Itgam" 0 0 0.00142862833365383 0.00128710215959032 0.00128349196174578 0.00136526632307033 0 0 0 0 0.00109001064416201 0.00101583288835441 0 0 0 0.00100430731014693 0 0 0 0 0
"Csf1" 0 0 0.00165123073323341 0.00144038892532413 0.00238758642813804 0.00173599165307119 0.0043400854220546 0.00110165023516008 0 0 0.00130821129235476 0.00120001639944626 0 0 0 0.00120763868954473 0 0 0.00107808357985864 0 0.00104540844630275
"Nid1" 0 0 0.00128674096362206 0.00114554780772238 0.00121317935648824 0.00167557584036646 0 0 0 0 0 0.00104001201535856 0 0 0.00108038028741735 0.00107729017775421 0 0 0 0 0
"Cxcl2" 0 0 0.0010977360982848 0.00105675375354495 0.00100739100637284 0.00113594286346925 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hbegf" 0 0 0.00136802792326024 0.0013808020063658 0.00133017534110929 0.00149707275928332 0 0 0 0 0.00121447644370586 0.00110623076209099 0 0 0 0.00105964686167943 0 0 0.00101231759435316 0 0.00104482005405841
"Calm1" 0 0 0.00128660101705327 0.0013051154779708 0.00117469824270935 0.0014134261333845 0 0 0 0 0.00102065072984167 0 0 0 0 0 0 0 0 0 0
"Vtn" 0 0 0.00137587621021646 0.00133963474455936 0.00131357943943056 0.00151502066398912 0 0 0 0 0.00110407191643186 0.00109088314956498 0 0 0.00101413973055334 0 0 0 0 0 0.00105978507238989
"Icam1" 0 0 0.00150718312484074 0.00141859594051234 0.00122076278387272 0.00141778095757061 0 0.0010045074612367 0.00214983299892907 0 0.00110159632316085 0.0010358136467394 0 0 0 0.000996357294552037 0 0 0 0 0
"Serpine1" 0 0 0.00166494633809506 0.00156432034361443 0.00152035504570537 0.00189647641581874 0.00100029749641968 0.00102246014160068 0 0.00110611215683062 0.0014590129337398 0.00139439863595126 0 0 0.00129123373526549 0.00113977333745464 0 0.00102542746350574 0.0011879558080272 0.00104263101717274 0.00133483401289362
"Pglyrp1" 0 0 0.00112532669718787 0.00116107625938614 0.00121276980935265 0.0013419695676467 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hc" 0.00452566835221951 0 0 0 0 0.00100364862160634 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C3" 0 0 0.00112343341157497 0.00110182053095711 0.00102893185205319 0.00115852699578707 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pik3cb" 0 0 0.00120316400955051 0.00123277734646345 0.00203810738742789 0.00114471602038339 0 0 0 0 0.00112682880897893 0 0 0 0 0 0 0 0 0 0
"Aimp1" 0 0 0.00112738374761748 0.00107699228901053 0.0010743789413916 0.00127460217063012 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ntn1" 0 0 0.00107140745509705 0.00108915639692191 0 0.00110934691766726 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il33" 0.00234027646532908 0 0.0011994900606376 0.00123141347069247 0.00111656172969091 0.00119320887389132 0.00217707923593691 0 0 0 0.00113746550120653 0 0 0 0 0 0 0 0 0 0
"Apoe" 0.00472482355411273 0.00450174604687997 0.00132063824668414 0.00128461570807211 0.00124562254295902 0.00140505674577875 0 0.00434100032728227 0 0 0 0 0 0 0 0 0 0.00396342881260557 0 0 0
"Sell" 0 0 0.00117697668944554 0.00115262108038711 0.00109270675765244 0.00122184414463581 0 0.00226996099897093 0 0 0.000991966109881808 0 0 0 0 0 0 0 0 0 0
"Clstn1" 0 0 0.00148575410730232 0.00117507818316726 0.00117903702462746 0.00152674206932381 0 0 0 0 0.00100869459078787 0.00107081734820287 0 0 0.00108364217187769 0 0 0 0 0 0
"F11r" 0 0 0.0012830983719153 0.00118333255094663 0.00118748018371731 0.00129029395871118 0 0 0 0 0.00105891848287946 0.00101868622754185 0 0 0 0 0 0 0 0 0
"Il18" 0.00163001254359862 0.00126609328577335 0.0064440537273039 0.00256105204642575 0.00231196425445506 0.00250880881513251 0.00130884407747389 0.00195247593787459 0.00114433178026888 0.0016944759881775 0.00213530104414521 0.00175043637797267 0.00119341331632723 0 0.00164361184955438 0.00535090920847995 0.00362897345485876 0.001172088135576 0.00138118445605869 0.0010501667297486 0.00197306727479522
"Rps19" 0 0 0.00108223249040059 0.00105870505522464 0.000992312196025279 0.00112611321241043 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arf1" 0 0 0 0 0 0.00103114312260696 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pf4" 0 0 0 0 0 0 0.00192963413564868 0 0 0 0 0 0 0 0 0 0 0 0 0 0
