"Cflar" "Csf1" "Il1rn" "Atf4" "Jun" "Irf9" "Ptk2b" "Csf2ra" "Ltf" "Clec5a" "B2m" "Tapbp" "Ftl1"
"Dll4" 0.00167547875734574 0.00143728373970307 0 0.00164203631762884 0.00207502175511706 0 0.00129958989647397 0 0 0 0 0 0.00180078111657682
"Grn" 0 0 0 0 0.00127321528584168 0 0 0 0 0 0 0 0
"Itgam" 0 0 0 0 0.00128349196174578 0 0 0 0 0 0 0 0
"Jag2" 0 0 0 0 0.00121906262348405 0 0 0 0 0 0 0 0
"Pecam1" 0 0 0 0 0.00137329280597652 0 0 0 0 0 0 0 0
"F11r" 0 0 0 0 0.00118748018371731 0 0 0 0 0 0 0 0
"Itgb2" 0 0 0 0 0.00119165782454072 0 0 0 0 0 0 0 0
"Pglyrp1" 0 0 0 0 0.00121276980935265 0 0 0 0 0 0 0 0
"Il18" 0.00230510910677219 0.00195247593787459 0.0016944759881775 0.00118590479592394 0.00231196425445506 0.00215836061704913 0.00177633205076813 0 0 0 0.00225024375691026 0.00200700978870625 0.00143471242524333
"Icam1" 0 0 0 0 0.00122076278387272 0 0 0 0 0 0 0 0
"Vegfa" 0.0024258205179394 0 0 0 0.00158232342609054 0 0.00233193652009327 0 0 0 0 0 0
"Fgf2" 0.0012758710499738 0.00251245742144926 0 0 0.00260048996840632 0 0.0012170597806173 0 0 0 0 0 0
"Ccl2" 0.00152034014699571 0.00126365544100039 0 0.00122062597777832 0.00154418212184227 0 0 0 0 0 0 0 0
"Hbegf" 0 0 0 0 0.00133017534110929 0 0 0 0 0 0 0 0
"Ptprc" 0.00125835430509483 0 0 0 0.00134707241191535 0.00125457246721014 0.00117566232409997 0 0 0 0 0 0
"Nid1" 0 0 0 0 0.00121317935648824 0 0 0 0 0 0 0 0
"Mmp9" 0 0 0 0 0.00282803752496483 0 0 0 0 0 0 0 0
"Il1rn" 0.00148274121979122 0.0013821864268414 0.00129331841441837 0 0.001563731519214 0 0.00121191183586693 0 0 0 0.00135244863767953 0 0
"Hgf" 0 0 0.00244096273743064 0 0.00250812896658659 0 0 0 0 0 0 0 0
"Ltb" 0.00149360255057025 0 0 0 0.00128877386937159 0 0 0 0 0 0 0.00169080175735594 0
"Edn1" 0 0 0 0 0.00472435857514229 0 0 0 0 0 0 0 0
"Igf1" 0.00128492367434047 0.0024236460947797 0 0 0.00492577803717049 0 0 0 0 0.0066238994409892 0 0 0
"Adam17" 0.00136939894207561 0 0 0.00116927363024105 0.00168826346147108 0 0 0 0.00259341144660778 0 0 0 0.00122041553539074
"Sell" 0 0.00226996099897093 0 0 0 0 0 0 0 0 0 0 0
"Csf1" 0.00123856394372145 0 0 0 0.00238758642813804 0 0 0.00229921525232859 0 0 0 0 0
"Il1b" 0.00165683028484013 0.00632249819196331 0.00516222769070909 0.0013466748045543 0.00516705254098456 0.00145874428623768 0.00140014366811421 0 0 0 0.00136111692370163 0.0013382509987605 0.00137401900376764
"Cxcl12" 0 0 0 0 0.00120067128464237 0 0.00423379613003044 0 0 0 0 0 0
"Apoe" 0 0.00434100032728227 0 0.00408947682338347 0.00124562254295902 0 0 0 0 0 0 0 0
"Tnf" 0.00552093546127668 0.00591703211339007 0.00631803130649181 0 0.00468638939252046 0 0 0 0 0.00280619183988701 0.00228237884853954 0 0
