"Mdm2" "Rplp2" "Sla"
"Cd2" 0.00118140944784151 0.000863578366723738 0
"Hbegf" 0.00116144189648196 0 0
"C3" 0.000907684190837589 0 0
"Sell" 0.000948275413653952 0 0
"Lrpap1" 0.00108045959085792 0.000889518955686176 0
"Ltb" 0.00113182366308294 0.00144991015248966 0
"Col18a1" 0.00101440701913307 0 0
"Lgals3" 0.000994776101169841 0 0
"Fn1" 0.000851600959421108 0 0
"Itgb2" 0.00103383818167679 0 0
"Mapt" 0.00120209595818827 0.000895361920165604 0
"F11r" 0.00102668352289582 0 0
"Jam2" 0.00140425366630801 0.00119972817629117 0.00151018611169199
"Rps19" 0.000959352988187597 0 0
"Ntn1" 0.000872204921526239 0 0
"Icam2" 0.000981387054459713 0.00104085914231538 0
