"Actb" "Anln" "Birc5" "Ccnb2" "Cenpe" "Cenpf" "Lmna" "Mcm7" "Mki67" "Prc1" "Racgap1" "Top2a" "Tpx2" "Tyms" "Fn1" "Pfn1" "Serpine1" "Tnc" "Tubb5" "Eln" "Vasp" "Gnas" "Ldha" "Nme1" "Rps2" "Fabp4" "Loxl2" "Vim" "Tm4sf1" "Gap43" "Sept10" "Tmem176b" "Cda" "Col4a2" "Col18a1" "Arpc2" "Eef1a1" "Srsf2" "Cdh5" "Txn1"
"F11r" 0.00112993044629864 0 0 0 0 0 0.00123115153757467 0 0 0 0 0 0 0 0.00114430077265774 0.0010345896140857 0.00127654533485569 0 0.00104991477401341 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hc" 0.00197842523846087 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00104383446238057 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pcdh1" 0.00130990616096732 0 0 0 0 0 0.00134707534433992 0 0 0 0 0 0 0 0.00103965134935404 0.00104015187847841 0.00146443774054937 0.00107349084818532 0.00113651063837519 0 0.00102255171118882 0.00106603707303831 0 0 0 0 0 0.00104771033667529 0.00120911185686436 0 0 0 0 0 0.00104704148537932 0 0 0 0 0
"Ntn1" 0.0010058150558532 0 0 0 0 0 0.00108073691212051 0 0 0 0 0 0 0 0 0 0.00103028566136554 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0.00115234982413562 0 0 0 0 0 0.00125403050002514 0 0 0 0 0 0 0 0.001128916647372 0.00105569737502626 0.00129361657925824 0 0.00104286075015005 0 0.00103944425349614 0 0 0 0 0 0 0.00107999660187595 0.000976467988596695 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0.00152012849124405 0 0.00100850704017858 0 0 0 0.0015406909372773 0.00122399280122366 0 0 0 0 0 0 0.00144290224621979 0.0013662293519631 0.00158197397882198 0.00241628545664076 0.00141663374064695 0 0.00133463353805551 0.00117360891094602 0 0 0.000988773461684712 0 0 0.00126344713866316 0.00121571011822464 0 0 0 0 0 0.00107690827139091 0 0.0011028960080495 0 0 0
"Nampt" 0.00177084597269327 0 0.00127501054944637 0 0 0 0.00195344764718289 0.00144211981807589 0 0 0.000984811184644457 0.00123087864166384 0 0 0.0015836944212677 0.00167048448810788 0.0020831221604234 0.00101776178672184 0.00168264419669985 0.00103976023014584 0.0016277442214018 0.00135903825589917 0.00120609063936024 0.00123102366497073 0.00119289107438039 0.00492993552203335 0 0.00147060409463266 0.00141327619169525 0 0 0 0 0.00119273038010564 0.00136886036534574 0 0.00140399024422354 0.00134515394965291 0.000995091419698985 0.00107037439370747
"Mapt" 0.00123212111036657 0 0 0 0 0 0.0013110676850688 0.000978306398058415 0 0 0 0 0 0 0.001047798201413 0.00115317136762415 0.00127572642835293 0 0.00111676570869437 0 0.00105489492447506 0.00102265071953133 0 0 0 0 0 0.00102588018919457 0 0 0 0 0 0 0.00101997722685597 0 0 0 0 0.00431627938629702
"Hmgb1" 0.00224754285905749 0.0011556540597331 0.00152586925348553 0 0 0.00100724033744793 0.00225278350968699 0.00185463390609917 0 0 0.00108595560783858 0.00135136890929912 0.00102768686661935 0.00101199703251945 0.00195162346494514 0.00202998881384803 0.00224497051032758 0.0013653832452144 0.00210352799194836 0.00125569858199799 0.00197795419363264 0.00170276955605402 0.00134937039522869 0.00160599741967842 0.00152232225943723 0.00102833766518658 0 0.00180066031488312 0.00177955211285578 0.00122022331928123 0 0 0 0.00143155244986096 0.0016833063062463 0 0.00172126792539754 0.00145971488110999 0.00569040942754688 0.00116654675093612
"Flrt2" 0.000974732826240313 0 0.000983998024542859 0 0 0 0.0011051511077424 0.00114310319106345 0 0 0 0 0 0 0 0 0 0 0.00113703684616184 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00116129487236957 0.00099923281648848 0 0
