"Col4a1" "Eln" "Fabp4" "Fn1" "Hif1a" "Loxl2" "Nme1" "Socs3" "Thbs1" "Vim" "Actb" "Bhlhe40" "Cebpb" "Clic1" "Id3" "Pfn1" "Tnc" "Tubb5" "Vasp" "Adamts5" "Tnfrsf1a" "Angptl4" "Gabarap" "Selp" "Mmp14" "Sema7a" "Pkm" "Txn1" "Fosl2" "Col18a1" "Calm1" "Pip5k1c" "Col4a2"
"Sema3f" 0 0 0 0 0 0 0 0 0 0 0 0.000986396165116234 0.000984980519484893 0 0.00105895811669342 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Agrn" 0 0 0 0 0 0 0 0.00100415363854368 0 0.00120126973433229 0.000985447885549024 0.00141521852043047 0.0011642988549326 0.00117719221576371 0.00133005617809613 0 0 0 0 0 0 0.00100007890446994 0 0 0 0 0 0 0.00104673266113555 0 0.000981008125430335 0.00112754347405526 0
"Aimp1" 0 0 0 0 0 0 0 0 0 0 0 0.00107793672463104 0.00108431292935155 0.00101309634879989 0.00109712323343289 0 0 0.000994972561572203 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ptprf" 0 0 0 0.00134453857210543 0.00104683960479203 0 0 0.00106147883327957 0 0.00102466550237222 0.00126970680747263 0.00137864103066021 0.00127465654332511 0.00116091215762288 0.00130679880186445 0.00111253696041319 0 0.00111232546847081 0.000983139824935452 0 0 0 0 0 0 0 0 0 0 0.000998373193749292 0 0 0
"Nid1" 0 0 0 0.00128306260991774 0 0 0 0.00104340070676619 0.00106199485135442 0.00103202861531701 0.00123564708620085 0.0013136383492254 0.00126332099715911 0.00110809665820219 0.00131648773695306 0.00112635505900483 0 0.00128907977510797 0.00107240504471443 0 0 0 0.00109505768479997 0 0 0 0 0 0 0 0 0 0.00124289887545935
"Efnb1" 0 0 0 0 0 0 0 0 0 0 0 0.000982105672626734 0 0 0.00102406367506184 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itga4" 0 0 0 0 0 0 0 0 0 0 0 0 0.000997773666581036 0 0.00100014524640969 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamb1" 0 0 0 0 0 0 0 0.00105229548019358 0 0.00110664599315094 0.00107683527885814 0.00135403749472132 0.00134461548551368 0.00119537386418107 0.00133981530395671 0 0 0.00110893909376765 0.000999986162413329 0 0 0.00104380740869363 0 0 0 0 0 0 0.00106648501153628 0 0.00103848885270798 0.0010393702365477 0
"Col18a1" 0 0 0 0 0 0 0 0.00108748854787891 0 0 0.00104233703740744 0.00118559886801616 0.00113032575278989 0.00106646000503155 0.00129967176804586 0.00105641920965281 0 0.000988382944043088 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gmfb" 0 0 0 0.00130616209103307 0.001152522595317 0 0.00100444221131406 0.00131696037980448 0.0011375497307543 0.00128875988543163 0.00146436565661762 0.00155615812843139 0.00158981289595062 0.00142324624452076 0.00149349716164946 0.00132626750936323 0.000999534339465711 0.00142819368202294 0.00134438463674558 0 0.00123567207808202 0.00107793570719328 0.00113235160296462 0 0 0 0.00104933331459789 0 0.00128242755384225 0.00118815372716528 0.000991478896743246 0 0
"Fbn1" 0 0 0 0.00103755226852039 0 0 0 0.00100325905754983 0.00105624395417816 0.00101762408391851 0.00119660850923217 0.00145854018029071 0.00127055759300585 0.00118618362425712 0.00136671930560248 0.00104988321790144 0 0.00105557051549597 0.00111737192643341 0 0 0 0 0 0 0 0 0 0.00104038542948169 0.00104687187235565 0 0 0
