"Txnrd1" "Ackr3" "Hif1a" "Pdpn" "Plvap" "Thbs1" "Cdh5" "Adamts5" "Gata2" "Dusp2" "Angptl4" "Sema3a"
"Wnt4" 0 0 0 0 0 0 0 0 0 0 0 0.00242182062934645
"Angpt1" 0 0 0 0 0 0 0.00264700110214037 0 0 0 0 0
"Pdgfb" 0 0 0.00382549008940774 0 0 0 0 0 0 0 0 0
"Pgf" 0 0 0.00268630549914874 0 0 0 0 0 0 0 0 0
"Ghrl" 0 0 0 0 0 0 0 0 0 0 0.00241104831689305 0
"Trf" 0 0 0.00379232108141822 0 0 0 0 0 0 0 0 0
"Bmp6" 0 0 0 0 0 0 0 0 0 0.00472500417493031 0 0
"Bmp4" 0 0 0 0 0 0 0.00264826155497124 0 0.0026979302578229 0 0 0
"Fgf2" 0 0 0.00495312976158389 0 0 0.00246573601933631 0 0.00236489126123782 0 0 0 0
"Spp1" 0 0 0 0 0 0.00424683178350971 0 0 0 0 0 0
"Hmgb1" 0 0 0 0 0 0 0.00569040942754688 0 0 0 0 0
"Tgfb1" 0 0 0.00512547950130937 0 0 0.00592596870735485 0.00265996731625495 0 0 0 0.00266262670309782 0.00268441222036767
"Vegfa" 0 0.00223136204419753 0.00387769051653293 0.00233932018021433 0.00235132891888908 0 0 0 0 0 0 0
"Mapt" 0.00421868748310091 0 0 0 0 0 0 0 0 0 0 0
