"Actb" "Gja1" "Icam2" "Synpo" "Tubb5" "Socs3" "Tor4a" "Fkbp1a" "Nme1" "Exoc3l4" "Pdia3" "Cda" "P4hb" "Steap4" "Adamts5" "Ackr3" "Pdpn" "Apex1" "Rcan1" "Ifitm3" "Dusp2" "Cdh5" "H2.T23" "Gata2" "Pcbp1" "Adgrg3" "Ctsb" "Hspa8" "Irf7"
"Tnf" 0.00138049361423276 0.00585054561233598 0 0 0.00129797982557706 0.00540665823199831 0 0 0 0 0 0 0.00195380226741641 0.0027348313207174 0 0.002342482672961 0 0 0 0 0 0.00242521334550208 0 0 0 0 0 0 0.00564060864787526
"Ccl2" 0.00146164934114864 0 0 0.00139659578642868 0.00145233032526761 0.00153366509518096 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Jam2" 0.00145178719016429 0.00126493142777411 0.00128949535826873 0.00129058894018018 0 0.00152800481097305 0.00120592074587335 0 0 0 0 0 0 0 0 0 0 0 0 0.00124434265851746 0 0.00123100501806675 0 0.00128690090525622 0 0 0 0 0
"Gmfb" 0.00146436565661762 0 0 0.00138157783068757 0.00142819368202294 0.00131696037980448 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ptprc" 0.00133314863635044 0 0 0.0012576133327863 0 0.001605852961689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dusp18" 0.00130772291678558 0.00157112179899676 0 0 0 0.0013380680088355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mapt" 0.00123212111036657 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0 0 0 0.00121011541602748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apoe" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00364764645923699 0
"Angpt2" 0.00149273164062777 0 0 0.00140160619952122 0.00148615819329907 0.00178349189911576 0 0 0 0 0 0 0 0 0 0 0 0 0.00129951596964302 0 0 0 0 0 0 0 0.00259491672564111 0 0
