"Cavin1" "Sept10" "Ddit4" "Jup" "Zmym2" "Rere" "Ackr3" "Sema3f"
"Nampt" 0 0 0.00202023735327022 0.00140482692862559 0 0 0 0.00138488888342776
"Mapt" 0 0 0.00148729344097453 0 0 0 0 0
"Mmp9" 0 0 0.00141412881462259 0 0 0 0 0
"Calm2" 0 0 0.00133759837752373 0 0 0 0 0
"Col1a1" 0 0 0.00174718468208684 0.00140607521701331 0 0 0 0.00134117650452493
"Hspg2" 0 0 0.00137031756694388 0 0 0 0 0
"Dll4" 0 0 0.00211709920737251 0.00137262145745284 0.00146587171782884 0 0 0
"Gmfb" 0 0 0.00167501260302955 0 0 0 0 0
"Pkd1" 0 0 0.0013731736139846 0 0 0 0 0
"Bmp6" 0 0 0.00208669317468215 0 0 0 0 0.00132286242674927
"Vegfa" 0 0 0.00165546803371112 0 0 0 0.00223136204419753 0
"Col4a1" 0 0 0.00133940338705448 0 0 0 0 0
"Pgf" 0 0 0.00186095098900815 0 0 0 0 0
"Calm1" 0 0 0.00133083826204739 0 0 0 0 0
"Bmp3" 0 0 0.0015532583901285 0 0 0 0 0
"Fgf2" 0 0 0.00171402362206595 0 0 0.00243027610043337 0 0
"Bmp4" 0 0 0.00198482445169276 0 0 0 0 0
"Tgfb3" 0 0 0.00176072408712966 0 0 0 0 0
"Nid1" 0 0 0.0013821268457376 0 0 0 0 0
"Tnc" 0 0 0.00134730181547385 0 0 0 0 0
"Inhbb" 0 0 0.00199316266829949 0.00135593568713863 0.00138387451263234 0 0 0
"Inhba" 0 0 0.00191473095871967 0 0.00134737117707903 0 0 0
"Lamb2" 0 0 0.00138420109951235 0 0 0 0 0
"Bmp5" 0.00138120663290221 0 0.00200162481544074 0 0.00141151085340957 0 0 0
"Cadm1" 0 0.00509513431535997 0 0 0 0 0 0
"Itgal" 0.0167264044993116 0 0.00134607842325956 0 0 0 0 0
