"Cd4" "Ddit4" "Ier2" "Junb" "Stat3" "Vasp" "Tubb5" "Maf" "Rora" "Vim" "Pkm"
"Kitl" 0 0.00179869560020492 0.00153405099714008 0.00167140613270612 0.00171133215462439 0.00129096557563968 0.00144087087533524 0.0012305444080923 0 0.0012397719401126 0
"Nampt" 0 0.00202023735327022 0.00183595118259476 0.00198936231878792 0.00181004001265978 0.0016277442214018 0.00168264419669985 0.00149245664668842 0.00141260096002752 0.00147060409463266 0.00124237714304512
"Aimp1" 0 0 0 0.00113809719881212 0 0 0 0 0 0 0
"Ptn" 0 0.00144210099062737 0.0011921847638135 0.00137205820115056 0.00118939955072891 0 0 0 0 0 0
"Cdh1" 0 0.00134238306792985 0.00121386496460574 0.00143176891475673 0.00120478837018398 0 0.00115160485648725 0 0 0 0
"Wnt5a" 0 0.00130864618364539 0 0.00132916088206482 0.00113992300787562 0 0 0 0 0 0
"Lgals3" 0 0.0012137764609276 0 0.00122068873169205 0.00113017913840644 0 0 0 0 0 0
"Il16" 0 0.00133817431456367 0.00129641726258662 0.00144998388124802 0.00142721314068182 0.0014107103013716 0 0 0 0 0
"Spp1" 0 0.00147567261882673 0.00138819096765263 0.00156926232615062 0.0013077419881286 0.00127119297061563 0.00133668505344441 0 0 0.00118931505083177 0
"Selp" 0 0.00131550093330802 0 0.00125913838456323 0.0011362860509745 0 0 0 0 0 0
"Jam3" 0 0.00138584169606931 0 0.00128937536342836 0 0 0 0 0 0 0
"Pecam1" 0 0.00137274723727055 0.00121685222208917 0.0014938737255012 0.00136907262708369 0 0 0 0 0 0
"Itgb2" 0 0.00124317799633827 0 0.00128521572584269 0.00114253965829365 0 0 0 0 0 0
"Ghrl" 0 0.00141935410350909 0.00119544564796361 0.00139382080516959 0.00125373209948541 0 0.00122510166080333 0 0 0 0
"Itgb1" 0 0.00116214155369887 0 0.00122855595140877 0 0 0 0 0 0 0
"Lamb2" 0 0.00138420109951235 0.00120983191478306 0.00138548954284502 0.00127675091034285 0 0.00115939602038432 0 0 0 0
"Icam1" 0 0.001325194891996 0.00111666375748199 0.00141247481108491 0.00129022766795055 0 0.00110481861262787 0 0 0 0
"Dusp18" 0 0.0013415177122274 0.00152242137544252 0.00172192891008373 0.00142128884420372 0.00122922874839264 0.00112442306928093 0 0 0 0
"Cfh" 0 0.00164912362807774 0.00139975074997997 0.00183229876319033 0.00132511378680534 0.00143637733123364 0.00116969582807171 0 0 0 0
"Thbs2" 0 0.00125262946770813 0 0.00144230878704922 0.00136710219201914 0 0 0 0.00130440657595334 0 0
"Jam2" 0 0.0016991798408572 0.00152498912505404 0.00164589071172552 0.00137699347213644 0.00148711759605764 0.00118072764983444 0.0012787001678704 0.0011252347195936 0.00138702970008691 0
"Edn1" 0 0.00145564013824416 0.00120272232117263 0.00143524740158983 0.00128419389958732 0 0.00125963308360365 0 0 0.00214614830596564 0
"Lrpap1" 0 0.00124639258333103 0.00115451718142104 0.00153244358838593 0 0 0.00112400444702359 0 0 0 0
"C3" 0 0.0011054895450197 0 0.00110605580282985 0 0 0 0 0 0 0
"Ptprc" 0 0.0014780671240678 0.00130262914589013 0.00157472331208885 0.00150068011439806 0.00121625978575137 0.00117092611650389 0 0 0 0
"Yars" 0 0.00123224826936406 0.00114624926431142 0.0013383410557954 0.00114468171548667 0 0.00112218224299495 0 0 0 0
"Pros1" 0 0.00178736475212614 0.00176511544018939 0.00196200935733886 0.00166488873026935 0.00145002056265428 0.00154819401092723 0.00122923221548057 0 0.00134853246228343 0
"Gmfb" 0 0.00167501260302955 0.00149082766135391 0.00167296646533148 0.0014204297335978 0.00134438463674558 0.00142819368202294 0.00116298002488768 0 0.00128875988543163 0
"Thbs1" 0 0.00169503814517847 0.00183332489281655 0.00202210434250155 0.00145840022729251 0.00168428534901342 0.00154900137828481 0.0012303998847665 0 0.00141690885774176 0.00114753997024002
"Il7" 0.00294895676821638 0.0022987559164811 0.00215873867570856 0.00228953869096603 0.00281345857123592 0.00170319001112777 0.00199383075282086 0.00160215756511246 0.00131892088515731 0.00161910007147328 0.0016150886831114
"Col18a1" 0 0.0013208549733134 0.00112314591547111 0.00135058914702569 0.00118019680847609 0 0 0 0 0 0
"Ceacam1" 0 0.00135256848814919 0 0.00138415355214555 0.00130496693775776 0 0 0.0011276421131906 0 0 0
"Sell" 0 0.00129086311065181 0 0.00125339681634094 0.00114540815095336 0 0 0 0 0 0
"Ccl5" 0 0.00128109638040793 0 0.00127540248597192 0.00399474385449417 0 0 0 0 0 0
"Cd2" 0.0022670781903981 0.0014331073065263 0.00131382425020315 0.00142456048241149 0.00134935340767033 0.00128944292264018 0.00113779868758171 0 0 0.00113647418217426 0
