"Ddit4" "Pdia3" "Maf" "Rora" "Skil"
"Kitl" 0.00179869560020492 0 0.0012305444080923 0.00101374357368121 0.00118074887084432
"Lgals3" 0.0012137764609276 0 0 0 0
"Cfh" 0.00164912362807774 0 0.00108959403649452 0 0.00137112597847459
"Il18" 0.00217151070707895 0 0.0017407848014836 0.00142652551383135 0.00172267332974369
"Hc" 0.000961175085631553 0 0 0 0
"Cxcl2" 0.00104252021259637 0 0 0 0
"F11r" 0.00122506471618906 0 0 0 0
"Pkd1" 0.0013731736139846 0 0.000968352495531221 0 0.000971708253405092
"Itgb1" 0.00116214155369887 0 0 0 0
"Col18a1" 0.0013208549733134 0 0 0 0
"Cdh1" 0.00134238306792985 0 0.000992783682060328 0 0.00096070101656446
"Edn1" 0.00145564013824416 0 0.0010738991041402 0 0.00108035970421602
"Nampt" 0.00202023735327022 0 0.00149245664668842 0.00141260096002752 0.00140175660798552
"Pik3cb" 0.00120123085530808 0 0 0 0
"Fn1" 0.00108230775018498 0 0 0 0
"Gmfb" 0.00167501260302955 0 0.00116298002488768 0 0.00116496072490562
"Calm1" 0.00133083826204739 0 0 0 0.000973329651760227
"Wnt5a" 0.00130864618364539 0 0.00097887801324597 0 0
"Jam3" 0.00138584169606931 0 0 0 0
"C3" 0.0011054895450197 0 0 0 0
"Pecam1" 0.00137274723727055 0 0.000970998382402429 0 0
"Sell" 0.00129086311065181 0 0 0 0
"Lamb2" 0.00138420109951235 0 0 0 0.00103038383657497
"Ptprm" 0.00128993965698263 0 0 0 0
"Ghrl" 0.00141935410350909 0 0.00106319618835253 0 0.00106632911379647
"Jam2" 0.0016991798408572 0 0.0012787001678704 0.0011252347195936 0.00122019155300726
"Ceacam1" 0.00135256848814919 0 0.0011276421131906 0.00110300465554233 0
"Thbs2" 0.00125262946770813 0 0.00110075661372409 0.00130440657595334 0
"Ptn" 0.00144210099062737 0.00415674791277312 0.000985792177857806 0 0
