"Ahnak" "Cxcr4" "Ncl" "Ltb"
"Trf" 0.00150449191624229 0.00106088582869701 0 0
"Jam2" 0.00145047309325571 0.00137008724465144 0.00112124999493462 0
"Cxcl14" 0.00123511802117421 0 0 0.00178477988116921
"Manf" 0.00119490125338881 0 0.00114228969622703 0
"Edn1" 0.00128845498465575 0 0 0
"Kitl" 0.00157455070016127 0.0013388812119757 0.00112901455365952 0
"Pros1" 0.00164073810206497 0.00122395411529046 0.00105716032613874 0.00116770732492403
"Itgb1" 0.00110700085316185 0 0 0
"Ptprf" 0.00124649171749055 0.00104815310990948 0 0
"Pecam1" 0.00136738750926704 0.00122790533893931 0 0
"Calm1" 0.00117043152499261 0 0 0
"Ptprm" 0.00129755977488344 0 0 0
"Ceacam1" 0.00121537253109903 0 0 0
"Mapt" 0.00132562713576934 0 0 0
"Wnt5a" 0.00124531696914446 0 0 0
"Icam1" 0.00122120465653586 0 0 0
"Cdh1" 0.00134665491122934 0.00107367687902159 0 0
"Aimp1" 0.00106132617919555 0 0 0
"Col18a1" 0.00115772775710992 0 0 0
"Cfh" 0.00154224850028074 0.0012094874931624 0 0
"Cd34" 0.00176196056371665 0.00262891901916778 0.00145965150127602 0.00122327797596082
"Lgals3" 0.00116641818947899 0 0 0
"Rps19" 0.0010961330719689 0 0 0
"Hc" 0 0.00189264097626837 0 0
"Spp1" 0.00142865745316068 0.00222652946994726 0 0
"Cxcl12" 0.00110652417012041 0.00514400728896603 0 0
