"Abca1" "Atf3" "C1qb" "C1qc" "C3ar1" "Cd86" "Cdkn1a" "Gadd45b" "Ier3" "Igf1" "Ly86" "Nek6" "Spp1" "Timp2" "Basp1" "Cd14" "Fkbp1a" "Fn1" "Itgax" "Itgb5" "Lpcat2" "Socs3" "Acp5" "Adam9" "Cd68" "Csf2ra" "Id2" "Msr1" "Tubb5" "B4galt1" "Ccr5" "Fam129b" "Gsn" "Lyz2" "Slc3a2" "Tbxas1" "Apoe" "Pmepa1" "Mmp14" "Ctsb" "Dnmt3a" "Gnas" "Rnf128" "Arg1" "Cd200r1" "Trem2" "Nrp2" "B2m" "Lat2" "Fth1" "Pip5k1c" "Il21r" "Lasp1" "Snx5" "Tgfbi"
"Cxcl2" 0 0 0 0 0 0 0.00132452488563961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb2" 0 0.00191799150170913 0 0 0 0.00117591087032321 0.00242732066735023 0.00200059839568798 0.00185892402942727 0.00143979714863163 0.00142597875207587 0.00179611079256067 0.00424300511753034 0 0 0.00121878653952357 0 0.0048917055913293 0.00116267545229057 0 0 0.00158329931217404 0 0 0.00121822082984352 0 0.00171179805019713 0 0.00159702134242239 0.00130377694480264 0 0.00152045450412193 0.00166927348933181 0.00562631549406497 0.00148816614891592 0.00151144606717349 0.00111988114487582 0.00134580080960641 0 0.00132999121532327 0 0.00116652860960587 0 0 0 0 0.00129287721465366 0.00143517574865977 0 0.00144094797029008 0 0.00130760657938477 0.00130456805702909 0.00129141281291727 0.00126521484051621
"Il34" 0 0 0 0 0 0 0.00143984951511494 0.0011260871120193 0.00115920665723513 0 0 0 0 0 0 0 0 0.00116538306599723 0 0 0 0 0.00272185253372532 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnc" 0 0.00123029000325847 0 0 0 0 0.00164164008714949 0.00120293430632741 0.00119812636326757 0 0 0 0 0 0 0 0 0.00118045399455545 0 0 0 0 0 0 0 0 0.00121055143329788 0 0 0 0 0 0.0011420607771407 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema3c" 0 0 0 0 0 0 0.00152429062339887 0.00115386316733806 0.00118304495782838 0 0 0.00112324474661806 0 0 0 0 0 0 0 0 0 0.00112959513747534 0 0 0 0 0.00121016986316894 0 0 0 0 0 0.00112724034507413 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sell" 0 0.00123878517755522 0 0 0 0 0.00161010851206998 0.00117697668944554 0.00115262108038711 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vtn" 0 0.00128280839050747 0 0 0 0 0.0017769906296124 0.00137587621021646 0.00133963474455936 0 0 0.00130825600203067 0 0.00215972048840517 0 0 0 0 0 0 0 0.00114210107040591 0 0 0 0 0.00118081148411833 0 0.00118535265845761 0 0 0.00123366922500115 0.00114770941969711 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cfh" 0 0.00137994380990873 0 0 0 0 0.00194343775657172 0.00162778077951793 0.00135727008778065 0 0 0.00129069573991873 0 0 0 0.00112292735403489 0 0.00120102711329416 0 0 0 0 0 0 0 0 0.00130833932877228 0 0.00116969582807171 0.00128796800098475 0 0.00159682225928058 0.00130913182943407 0 0.00123476847959258 0.00112082669716442 0 0.00127697841519663 0 0 0 0.0013335213353098 0 0 0 0 0 0 0 0.00113527987170788 0 0 0.00129247584199305 0.00142099888923972 0
"Ceacam1" 0 0 0 0 0 0 0.00172468411490827 0.0012732095769301 0.00128110579869455 0 0 0.00117507688431814 0 0 0 0 0 0.00113284159829495 0 0 0 0.0013258102304738 0 0 0 0 0.00143237483913489 0 0 0 0 0 0.00114549955834806 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gas6" 0 0 0 0 0 0 0.00146331534233639 0.00135708813793205 0.00124932580041872 0 0 0.00116555880380966 0 0 0 0 0 0 0 0 0 0.00113349857917654 0 0 0 0 0.00116342209244635 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
