"Abca1" "C1qb" "C1qc" "C3ar1" "Igf1" "Spp1" "Timp2" "Basp1" "Cd14" "Fn1" "Hif1a" "Itgb5" "Acp5" "Adam9" "Id2" "Klf9" "Msr1" "Adam15" "Cd72" "Ldha" "Pdpn" "Fam129b" "Gsn" "Mmp14" "Pmepa1" "Arg1" "Slc3a2" "Fkbp5" "Rnf128" "Ctsb" "Nrp2" "Cd300lf" "Slc48a1" "Emp1" "Fth1" "Fcgr3"
"Ceacam1" 0 0 0 0 0 0 0 0 0 0.00113284159829495 0 0 0 0 0.00143237483913489 0 0 0 0 0 0 0 0.00114549955834806 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bdnf" 0 0 0 0 0 0.00197901371317424 0 0 0 0.00131814272332761 0.00222604616587564 0 0 0 0.0014696630004867 0.00132224164614072 0 0 0 0 0 0.0013005799507451 0.00136240765392449 0 0.0011894610267557 0 0.00117301261167958 0.00118493145179269 0 0 0 0 0 0.00108305474756924 0.00116942306038556 0
"Pgf" 0 0 0 0 0.00112828058342489 0 0 0 0 0.00162008829024104 0.00268630549914874 0 0 0 0.0015059591673628 0.00140227233394492 0 0 0 0.00126471674064846 0 0.00132586828551885 0.00137849799309404 0 0.00122212981780172 0 0.00120836607605814 0.00132447180236221 0 0 0 0 0 0 0.00121452343647606 0
"Vegfd" 0 0 0 0 0 0 0 0 0 0.00114840120915973 0.00111276762829078 0 0 0 0.00130432894684616 0.00121064816597265 0 0 0 0 0 0 0.00115526946570187 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114793203760212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gas6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00116342209244635 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pkd1" 0 0 0 0 0 0 0 0 0 0.00121201939533346 0 0 0 0 0.00122959604414436 0.00117826472017253 0 0 0 0 0 0 0.00130035719859155 0.00218694057591152 0 0 0 0.00110482642931167 0 0 0 0 0 0 0 0
"Tnc" 0 0 0 0 0 0 0 0 0 0.00118045399455545 0 0 0 0 0.00121055143329788 0 0 0 0 0 0 0 0.0011420607771407 0 0 0 0 0 0 0 0 0 0 0 0 0
"Agrn" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114346586141273 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119442124099559 0 0
"Cdh5" 0 0 0 0 0 0 0 0 0 0.00117452069253114 0 0 0 0 0.0014434100233285 0.00126983467125485 0 0 0 0 0 0 0.0012432867517842 0 0 0 0 0.00110513785013781 0 0 0 0 0 0 0.00109733516184546 0
"Fbn1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00121031538871529 0 0 0 0 0 0 0.00120561364276297 0.00108801977764373 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0019269174664727
"Sell" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00108335347268444 0.0011310463894901 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119840018974374 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00121728943351561 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Trf" 0 0 0 0 0 0 0 0 0 0.00123741515913932 0.00379232108141822 0 0 0 0.0014127605506377 0.00116077311352248 0 0 0 0 0 0.0012441649387228 0.00134808036314495 0 0 0 0.00114616828612572 0.001278907113207 0 0 0 0 0 0 0.00109610688347122 0
"Pcdh1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00117745343332141 0 0 0 0 0 0 0.00109442602441407 0.00115165723204031 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col4a1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114006658545824 0 0 0 0 0 0 0 0.00115634119955729 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamb2" 0 0 0 0 0 0 0 0 0 0.00108993580043468 0 0 0 0 0.00129274150150402 0.00126437294035723 0 0 0 0 0 0 0.00117379664962302 0 0 0 0 0.00110396252916652 0 0 0 0 0 0 0 0
"Yars" 0 0 0 0 0 0 0 0 0 0.00117306738261956 0 0 0 0 0.0012187363187871 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0 0 0 0 0 0 0 0 0 0.001128916647372 0 0 0 0 0.00117512753191235 0 0 0 0 0 0 0.00112493920512581 0.00113531638783824 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ltf" 0.00687150991037648 0 0 0 0 0 0 0 0 0.00134578290956992 0.00115225203319107 0 0 0 0.00147693167913707 0.00125900906334447 0 0 0 0 0 0.00136823193545434 0.00138883124381469 0 0.00114251305090252 0 0.0012151835406701 0.00126514484270815 0 0 0.00791853548395338 0.0106159538823016 0.0082409130699163 0 0.00118906582235814 0
"Vegfc" 0 0 0 0 0 0 0 0 0 0.00121493178321917 0.00141610094117883 0 0 0 0.00132969738435618 0.00110541502891075 0 0 0 0 0 0.00120271605847513 0.00123394273481675 0 0 0 0 0.00111996443219644 0 0 0.00229929431217204 0 0 0.00108874896612151 0.00111350673640197 0
"Angpt2" 0.00115645052141167 0 0 0 0.00275816006889406 0 0 0 0.00110650316174476 0.00132296024591051 0.00134673366897332 0 0 0 0.00155366222604731 0.00161544663111359 0 0 0 0 0 0.00135536435650387 0.00155468924800222 0 0.00112709493658926 0 0.00130462759412336 0.00134375682076803 0 0.00259491672564111 0 0 0 0.0013860572863501 0.00133139496128946 0
"Lgals3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115800936063059 0 0 0 0 0 0 0 0 0 0 0 0.00402165860077069 0 0 0 0 0 0 0 0 0
"Fgf2" 0 0 0 0 0.00236694655946615 0.00213698915373628 0.00222098631620354 0 0 0.0014337325430763 0.00495312976158389 0.00214873896277155 0 0 0.00159674290226252 0.00144515752256054 0 0 0 0.00110235189829532 0 0.00129258483736188 0.00141316354573379 0 0 0 0.00118022834151838 0.00132397506182081 0 0 0 0 0 0 0.00123130163907247 0
"Col5a3" 0 0 0 0 0 0 0 0 0 0.00115700867749609 0 0 0 0 0.00134769607918783 0 0 0 0 0 0 0 0.00119786374854643 0 0.0011587087191155 0 0 0 0 0 0 0 0 0 0 0
"Calm1" 0 0 0 0 0 0 0 0 0 0.00110436595243795 0 0 0 0 0.00127637003633434 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00496318180627517 0 0 0 0 0 0 0
"Ntn1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00497405194522533 0 0 0 0 0 0 0 0 0 0
"Cdh1" 0 0 0 0 0 0 0 0 0 0.00122745417984163 0 0 0 0 0.00133094417319863 0 0 0 0 0 0 0.00111598118424574 0.00119124915105893 0 0 0.00515533296214714 0 0 0 0 0 0 0 0 0 0
