"Abca1" "C1qb" "C1qc" "C3ar1" "Cd86" "Hmgcs1" "Igf1" "Mfge8" "Nek6" "Spp1" "Timp2" "Basp1" "Cd14" "Fabp4" "Fn1" "Hif1a" "Itgb5" "Acp5" "Msr1" "Ptgs1" "B4galt1" "Ccr5" "Slc3a2" "Tbxas1" "Apoe" "Cd72" "Pdpn" "Pmepa1" "Tgm2" "Rnf128" "Fkbp5" "Nrp2" "Ctsb" "Cpeb4" "Mmp14" "Il21r"
"Cd2" 0 0 0 0 0 0 0 0 0.00124560856965286 0 0.00228328061033969 0 0 0 0.00127538173601901 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00113479495772317 0 0
"Col18a1" 0 0 0 0 0 0 0 0 0.00115018497470466 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Trf" 0 0 0 0 0 0 0 0 0.0013975257735112 0 0 0 0 0 0.00123741515913932 0.00379232108141822 0 0 0 0 0 0 0.00114616828612572 0 0 0 0 0 0 0 0.001278907113207 0 0 0.00124480174464682 0 0
"Fgf7" 0 0 0 0 0 0 0 0 0.0011123966960038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00206926318512956 0
"Vegfd" 0 0 0 0 0 0 0 0 0.00122334509225132 0 0 0 0 0 0.00114840120915973 0.00111276762829078 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nampt" 0.00129995434942519 0 0 0 0.00114286999908075 0 0.00116202527993788 0 0.00168475724708442 0 0 0 0.00117161492736991 0.00492993552203335 0.0015836944212677 0.0014639722037824 0 0 0 0 0.0014554184797482 0 0.00142104329326603 0.001420233250992 0 0 0 0.00131676506942781 0.001412287761434 0 0.00156883478380891 0.00121044917275163 0 0.00159341061968546 0 0.00130630775612749
"Pcdh1" 0 0 0 0 0 0 0 0 0.0011980170792334 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Selp" 0 0 0 0 0 0 0 0 0.00111628562828507 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gas6" 0 0 0 0 0 0 0 0 0.00116555880380966 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pkd1" 0 0 0 0 0 0 0 0 0.00126964773882859 0 0 0 0 0 0.00121201939533346 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00110482642931167 0 0 0 0.00218694057591152 0
"Il34" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00116538306599723 0 0 0.00272185253372532 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vtn" 0 0 0 0 0 0 0 0 0.00130825600203067 0 0.00215972048840517 0 0 0 0 0.00114420476477154 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119740781992082 0 0
"Itgam" 0 0 0 0 0 0 0 0 0.0012089409520911 0 0 0 0 0 0.001128916647372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00402165860077069 0 0 0 0 0 0 0 0 0 0 0 0 0
"Angpt2" 0.00115645052141167 0 0 0 0 0 0.00275816006889406 0 0.00153150769027882 0 0 0 0.00110650316174476 0 0.00132296024591051 0.00134673366897332 0 0 0 0 0.00117983952154002 0 0.00130462759412336 0 0 0 0 0.00112709493658926 0.00127059612461341 0 0.00134375682076803 0 0.00259491672564111 0.00123159257829479 0 0
"Vegfc" 0 0 0 0 0.00112755429992528 0 0 0 0.00142397638507753 0 0 0 0 0 0.00121493178321917 0.00141610094117883 0 0 0 0 0.00111905508366077 0 0 0 0 0 0 0 0 0 0.00111996443219644 0.00229929431217204 0 0.00113621351973385 0 0
"Pik3cb" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00200046767083967 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ocln" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115565551388437 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00111867036300691 0 0 0 0 0
"Col5a3" 0 0 0 0 0 0 0 0 0.00113795040469671 0 0 0 0 0 0.00115700867749609 0 0 0 0 0 0 0 0 0 0 0 0 0.0011587087191155 0.00117696396555646 0 0 0 0 0 0 0
"Calm1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00110436595243795 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00496318180627517 0 0 0 0 0 0
"Tgfb3" 0 0 0 0 0 0 0 0 0.00152638043216141 0.00219667614821806 0 0 0 0 0.00446920500700439 0.00116391145876509 0 0 0 0 0 0 0.00131962936212562 0 0 0 0 0.00144443019006582 0.00136292263355952 0 0.00111162962357845 0 0 0.00115524937466783 0 0.00118478236460234
