"Ccl7" "Cd14" "Cd86" "Cflar" "Csf1r" "Cxcl16" "Icam1" "Irf1" "Irf7" "Nampt" "Nfkb2" "Ptafr" "Socs3" "Stat1" "Xaf1" "Basp1" "Bax" "Cdkn1a" "Hif1a" "Ifit3" "Il1b" "Itgb5" "Lpcat2" "Mdm2" "B2m" "Fam129b" "Gadd45b" "Ly86" "Psmb9" "Tap1" "Tapbp" "Cd68" "Msr1" "Aif1" "Ccl2" "Cd72" "Sema4d" "Ccr5" "C1qb" "C1qc" "C3ar1" "Arl4c" "Ceacam1" "Mmp14" "Cd274" "H2.T23" "Il21r" "Ifih1" "Ctsb" "Slc3a2" "Cfb" "Dhx58" "Gbp3" "Anxa3" "Lgals1" "Spint1" "Emp1"
"Lamb2" 0 0 0 0 0 0 0 0.00143293889050966 0 0 0 0 0.00125857834349797 0 0 0 0 0.00186433102548193 0 0 0 0 0 0 0 0 0.00132835353799395 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Timp1" 0 0 0 0.00230966202929937 0 0 0 0 0 0 0 0 0 0 0 0 0.00192343441083086 0.00176512062962605 0 0 0 0 0 0 0 0 0.00141847454190763 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0 0 0 0 0 0 0 0.00123842623100794 0 0 0 0 0 0 0 0 0.00364748249297431 0.00177374486570155 0 0 0 0 0 0 0 0 0.00142764362254368 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vwf" 0 0 0 0 0 0 0.00212062193515749 0 0 0 0 0 0 0 0 0 0 0.001610812123258 0 0 0 0 0 0 0 0 0.00125203759588526 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema4d" 0 0 0.00213358241811655 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00156234603485159 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00162758304250463 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00146900484079388 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0 0 0 0 0 0 0 0 0 0 0 0 0.00207635953436987 0 0 0 0 0.00152125277648955 0 0 0 0 0 0 0 0 0.00235597249778768 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00402165860077069 0 0 0 0 0 0 0
"Ceacam1" 0 0 0 0 0 0 0.00123725628701199 0.00147338799825594 0 0 0 0 0.0013258102304738 0 0 0 0 0.00172468411490827 0 0 0 0 0 0 0 0 0.0012732095769301 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0 0 0 0 0 0 0.00124723211845029 0 0 0 0 0 0 0 0 0 0 0.00166340261824615 0 0 0 0 0 0 0 0 0.00142862833365383 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
