"Bhlhe40" "C1qc" "Cxcr4" "Hist1h1c" "Hmgcs1" "Igf1" "Mfge8" "Spp1" "Timp2" "Cd300lf" "Nrp2" "Trem2" "Bax" "Itgb5" "Ctsb" "Jund" "Lpl" "Adam15" "Acp5" "Cd68" "Clic1" "Fn1" "Msr1" "Actn1" "Cebpa" "Lat2" "Hist1h2bc" "Tmem256" "Tmem259" "Cd74" "Mmp12"
"App" 0.00411325458802371 0 0 0 0 0 0 0 0 0 0 0.00903548484531286 0.00453421164247564 0 0 0 0 0 0 0 0 0 0.00664361245058503 0 0 0.00440173376530123 0 0 0 0.00452267569578051 0
"Calr" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00474621761376163 0 0 0 0 0 0 0 0 0 0.00535031174456976
"Hgf" 0.00156689064027861 0 0.00225618584116214 0 0 0 0 0 0 0 0 0 0 0 0 0.00251520957684058 0 0 0 0 0.00140439520914955 0.00133088127579871 0 0 0 0 0 0 0 0 0
"Cfh" 0.00160571543477694 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00174446326863227 0 0 0 0 0.00122300391336249 0 0 0 0 0 0 0 0 0 0
"Sema3c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00139223960192855 0 0 0 0 0 0 0 0 0 0
"Cxcl14" 0.00137540485714723 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122697659003922 0 0 0 0 0 0 0 0 0.00173261983351821 0
"Ocln" 0.00124677430644355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgal" 0.00128861640611329 0 0.00401634729587222 0 0 0 0 0 0 0 0 0 0.00360875209846123 0 0 0 0 0 0 0 0.00123249763383793 0 0 0 0 0 0 0.00429839541842237 0.00421075494159307 0 0
"Col4a1" 0.00128868388073533 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamc2" 0.00121646482671947 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00123280355229482 0 0 0 0 0 0.00125889310958328 0 0 0 0
"Vegfc" 0.00128437372672471 0 0 0 0 0 0 0 0 0 0.00229929431217204 0 0 0 0 0.00123189346098633 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Grn" 0.00142155834374261 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00128541025058924 0 0 0 0 0.00125302259519297 0 0 0.00124228720232841 0 0 0 0 0 0 0
"Hc" 0 0 0.00189264097626837 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
