"Bgn" "Ccnd1" "Fmod" "Hes1" "Ier3" "Msln" "Trf" "Timp1" "Irf1" "Lmna" "Src" "Tnfrsf1a" "Timp3" "C3" "Cfb" "Sulf2" "Lbp" "Col4a1" "Krt18" "Fads1" "Ppp3ca" "Sfrp2" "Fth1"
"Itga4" 0 0.00117521952264516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb7" 0 0.00137562694571343 0 0.00120172239880934 0 0 0 0 0 0.00112436239239381 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nectin1" 0 0.00156986577337499 0 0.0013869697190072 0.00142345166114901 0 0 0 0.00121955984504203 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Yars" 0 0.00139265318762368 0 0.00120218420912888 0.00144648496867395 0 0 0 0 0.00118747027906698 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0.00156572415511307 0 0.0012087312925059 0.00137982727773468 0 0 0 0.00137930124197411 0.00120144145401988 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp5" 0 0.00181748975500293 0.00116127830558028 0.00210787739834405 0.00192664670296883 0 0 0 0.00132148403745396 0.00187137843000809 0.00156972152359442 0.00125362862731449 0 0.00138752256186312 0.00115798855033236 0.00167393560042099 0.00113429253244444 0.00136662232336151 0.00133026828714248 0 0.00120601953260711 0.00125053000377053 0.00142532594946077
"Tnfsf13b" 0 0.00158421183865339 0 0.00134119447690488 0.00151866047246203 0 0 0 0.0013355706406263 0.00133827636679014 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl2" 0 0.00137119867459868 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sfrp2" 0 0.00208891783386218 0.00118870539870535 0.00173022059024208 0.00186160591153128 0 0 0 0.00114482138173773 0.00154689191372207 0 0 0 0 0 0.00118969191346111 0 0 0 0 0.00152861385334519 0.00165563972638091 0
"Tfpi" 0 0.00156866116757603 0 0.00127650527149087 0.00139429377415847 0 0 0 0.00135664877186347 0.00153777385587905 0 0.00114099696107164 0 0 0 0 0 0 0 0 0 0 0
"C3" 0 0.00130640296869222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apoe" 0 0.00147857872071867 0 0.00130569341953242 0.00128461570807211 0 0 0.00368591735096147 0 0.00122962815617496 0 0 0 0 0 0.00467287513042895 0 0 0 0.00388300860170743 0 0 0
"Fgf7" 0 0.00243961924686273 0 0.00127576482220048 0.00130741887800563 0 0 0 0.00128198452864704 0.00119508064183115 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plxnb2" 0 0.00121401005760754 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
