"Ier3" "Junb" "Socs3" "Tle1" "Tnfrsf1a" "Maf" "Tspan3" "C3" "Cfb" "Sulf2" "Timp1" "Col1a1" "Col1a2" "Lox" "Ldha" "Hmgcs2" "Lgals1" "Fth1" "Tnfrsf12a" "Gjb5" "Plekhg3"
"Ntn4" 0.001152179450738 0.00123860731450699 0 0 0.001015350370104 0.00104713374597349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00106408648470122
"Pros1" 0.00173011415414281 0.00196200935733886 0.00151509269512285 0.00128996257153776 0.00134496383462436 0.00122923221548057 0 0.00117491798260177 0 0.00114613371647886 0 0.00105002300498014 0 0 0.00106271103996772 0 0 0.0012793841595511 0.00123172057618832 0 0.00129780579330395
"Lama1" 0.00102953463141044 0.00112172158597861 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nectin1" 0.00142345166114901 0.0013030556613697 0.00106215063710386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Igf1" 0.00169908400695433 0.00166703759613002 0.00133940300151342 0.00131549580552216 0.00121099207649208 0.00126342974973299 0 0.00122762985006193 0 0.0012665792508505 0.00202679194076489 0.0010715395940828 0.0042519285650253 0 0.00107459727549911 0.00553971840101824 0 0.00112646941552197 0.00119320262020943 0.00586221939576924 0.00106495376972802
"Cxcl12" 0.00137982727773468 0.00129011155014208 0.00132478426710201 0.00100003876034104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pcdh1" 0.00127197955683965 0.00142831805895691 0.00101527313567093 0.00104593473671571 0 0 0 0 0 0.00100997379919094 0 0 0 0 0 0 0 0 0.00108977746843222 0 0
"Il18" 0.00256105204642575 0.00243441505370028 0.00401991171789496 0.00134893582091699 0.00184634361788407 0.0017407848014836 0 0.00169185374918075 0.00181256836010335 0.00121956284637724 0.00252170245620645 0.00148290762305152 0.00130425951048235 0.00113801268041133 0.00116185335801958 0 0 0.00197306727479522 0.00239321808936035 0.00109711541320717 0.00151890130074276
"Fgf1" 0.00146725544984714 0.00137970310019102 0.001193556247153 0 0.00101269287208169 0.00100644022679861 0 0 0 0 0.00185060820883847 0 0 0 0 0 0 0.00101393896695288 0 0 0
"Plat" 0.0013966920440855 0.00160720783970492 0.00137479101661546 0.0011923593510841 0.00110128651993705 0.0012824570781252 0 0.00109244428784732 0 0.00107145019419348 0.00376305192776554 0.00108487625927281 0 0 0.00106698463415765 0 0 0.00114070386657751 0.0011258649822431 0 0
"Itga4" 0 0.00101172685483554 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema3f" 0 0.00107957396633382 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rps19" 0.00105870505522464 0.00111238596241063 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl2" 0.00105675375354495 0.00109569375891861 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
