"Timp1" "Tsc22d3" "Fmo3" "Angptl4" "Xbp1" "Col4a1" "Lox" "Il18r1" "Birc2" "Fkbp5" "Psmc6" "Cfb" "Fth1" "Vcl"
"Vegfd" 0 0 0 0.00115806087760446 0 0 0 0 0 0 0 0 0 0
"Hmgb1" 0 0.00477568538107306 0 0.00137881059147705 0.00115876871898168 0.0013546673719414 0.00120952648272162 0 0.00160126790180923 0.00186807562542792 0 0.00129315828055798 0.00161534775738233 0.00121174084834272
"Rspo3" 0 0 0 0 0.00116207209454224 0 0 0 0 0 0 0 0.00114662425539132 0.00115048284475447
"Fgf1" 0.00185060820883847 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ptprf" 0 0 0 0 0 0 0 0 0 0.00113944885736706 0 0 0 0
"Vegfa" 0 0.0039990731412746 0 0 0 0 0 0 0 0.00119254421227772 0.00220086392390706 0 0.00115793639763791 0
"Trf" 0 0.00389664162149841 0 0 0 0 0 0 0 0.001278907113207 0 0 0 0
"Mmp9" 0.00379242755032811 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hgf" 0 0 0 0 0 0.00466413216211115 0 0 0.00232318841401452 0.00120418944173977 0 0 0 0
"Osm" 0.00575092635394113 0.00122031095876137 0 0.00139903396550251 0 0 0 0 0 0.00158949086744805 0 0.00131990274921515 0.00163701637857118 0.00139935008244271
"Il18" 0.00252170245620645 0.00130579039882816 0 0.00145994849285333 0.001172088135576 0 0.00113801268041133 0.00362897345485876 0.00156493870524685 0.00175043637797267 0 0.00181256836010335 0.00197306727479522 0.00128936874940164
"Tgfb1" 0.00514659632818426 0.00410998513112657 0 0.00266262670309782 0 0.00485394028475774 0.00465483345413051 0 0 0.00144117895663344 0 0 0.001313046198603 0
"Apoe" 0.00368591735096147 0.00372826406864838 0 0 0.00396342881260557 0 0 0 0 0 0 0 0 0
"Fn1" 0.00355817317440741 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hc" 0 0.00355269481186808 0 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0.00377514477134519 0 0.00595083479533197 0 0 0 0 0 0 0 0 0 0 0
"Plat" 0.00376305192776554 0.00388044491150923 0 0.00114226988083267 0 0 0 0 0 0 0 0 0.00114070386657751 0
