"B2m" "Ier3" "Il18r1" "Timp1" "Vcam1" "Enpp2" "Fth1" "Irf7" "Actb" "Tubb5" "C3" "Gbp3" "Tmem178" "Ldha" "Pdpn" "Cfb" "Tgm2" "Lbp"
"Ccl5" 0 0.00121686663386638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0 0.00124322014947712 0 0 0 0 0 0 0.00116983347447202 0 0 0 0 0 0 0 0 0
"Vwf" 0 0.00120945062995606 0 0 0.00201535482240675 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pcdh1" 0 0.00127197955683965 0 0 0 0 0 0 0.00130990616096732 0.00113651063837519 0 0 0 0 0 0 0 0
"Pros1" 0 0.00173011415414281 0 0 0 0 0.0012793841595511 0 0.00169455534887847 0.00154819401092723 0.00117491798260177 0 0 0 0 0 0.00118611449741568 0.00120904422515377
"Lamb2" 0 0.00130340368556918 0 0 0 0 0 0 0.00122785065043676 0.00115939602038432 0 0 0 0 0 0 0 0.00109128036532116
"C3" 0 0.00110182053095711 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col18a1" 0 0.00119585618620649 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam12" 0 0.00111952236787297 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pecam1" 0 0.00142361661621238 0 0 0 0 0 0 0.00121796562353523 0.00110185657401025 0 0 0 0 0 0 0 0
"Adam17" 0 0.00172829346361237 0 0 0.00219424049236656 0 0.00115337820528522 0 0.00152012849124405 0.00141663374064695 0 0 0 0 0 0 0 0
"Inhba" 0 0.00184805020512057 0 0 0 0 0.00110872669321145 0 0.00186551860441827 0.00145709526708622 0 0 0 0.00117514182051898 0 0 0.00158542163333087 0
"Ocln" 0 0.00118518532438034 0 0 0 0 0 0 0.00111538925347392 0.0010997231181281 0 0 0 0 0 0 0 0
"Itgb2" 0 0.00122445352357404 0 0 0 0 0 0 0.00110373204318215 0 0 0 0 0 0 0 0 0
"Ptprf" 0 0.00140569912016991 0 0 0 0 0 0 0.00126970680747263 0.00111232546847081 0 0 0 0 0 0 0 0
"Nectin1" 0 0.00142345166114901 0 0 0 0 0 0 0.0011018438391654 0 0 0 0 0 0 0 0 0
"Hmgb1" 0.00183596454983768 0.00237430051533597 0 0 0.00590282485316751 0.00140432916250912 0.00161534775738233 0.00121130084614066 0.00224754285905749 0.00210352799194836 0.00173306641021736 0 0 0.00134937039522869 0 0.00129315828055798 0.00167389629819487 0.00144643939278668
"Ptprc" 0 0.00147657537010468 0 0 0 0 0.00110879468142014 0 0.00133314863635044 0.00117092611650389 0 0 0 0 0 0 0 0
"Tnfsf13b" 0 0.00151866047246203 0 0 0 0 0 0 0.00118100036603681 0.00116128244547727 0 0 0 0 0 0 0 0
"Serping1" 0 0.00108304563394432 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfa" 0 0.00160320559239241 0 0 0.00216062517655608 0.00240160295917482 0.00115793639763791 0 0.00136483375622213 0.0012936202448339 0.0011226049964368 0 0 0.0024203298334835 0.00233932018021433 0 0 0
"H2.T23" 0 0.0010992699313326 0 0 0.00188067360555451 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0.00137982727773468 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb2" 0.00143517574865977 0.00185892402942727 0 0.0021985662674196 0.0012024538383243 0 0.00144094797029008 0.00110196710973658 0.00183006461202542 0.00159702134242239 0.00157607112247062 0.00580223344268421 0.00540350366439161 0.00117231517273391 0 0 0.00140911702736446 0.0012766580925056
"Col4a1" 0 0.00118216257804888 0 0 0 0 0 0 0.00115017429167651 0 0 0 0 0 0 0 0 0
"Hc" 0 0 0 0 0 0 0 0 0.00197842523846087 0 0 0 0 0 0 0 0 0
"Fgf1" 0 0.00146725544984714 0 0.00185060820883847 0 0 0 0 0.00126282497199686 0.00116920393796588 0 0 0 0 0 0 0 0
"Plat" 0 0.0013966920440855 0 0.00376305192776554 0 0 0.00114070386657751 0 0.00133851398311272 0.00117253535851988 0.00109244428784732 0 0 0 0 0 0 0
"Pgf" 0 0.0017075441764861 0 0 0.00237080484930433 0.00117610491209786 0.00121452343647606 0 0.00158456810076445 0.00147997949280216 0.00137287386295091 0 0 0.00126471674064846 0 0 0 0
"Mmp9" 0 0.00133525797695098 0 0.00379242755032811 0 0 0 0 0.00136532258067635 0.00119742703413151 0 0 0 0 0 0 0 0
"Fn1" 0 0 0 0.00355817317440741 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Osm" 0.00127930139021912 0.00201189048988944 0 0.00575092635394113 0 0.00140028231585708 0.00163701637857118 0.00113091340831478 0.00184088558226187 0.00173566486730005 0.00132294035370004 0 0 0.00125518200606826 0.0011261641515755 0.00131990274921515 0.00142871373568687 0.00160391294615701
"Tnf" 0.00228237884853954 0.00560899439762451 0.0025675460997241 0.00490065863606195 0.00977502328051443 0.00618897870370219 0.00565825825840402 0.00564060864787526 0.00138049361423276 0.00129797982557706 0.00112402071366132 0 0 0 0 0.00303350193534199 0 0
"Il18" 0.00225024375691026 0.00256105204642575 0.00362897345485876 0.00252170245620645 0.00303958606905823 0.0017041499514787 0.00197306727479522 0.00183003213880082 0.00200876295210093 0.00180273310037446 0.00169185374918075 0.00128995754122597 0 0.00116185335801958 0 0.00181256836010335 0.00148715600667285 0.00182423565213855
