"Col4a1" "Ptma" "Stat3" "Gbp3" "Rplp2" "Gadd45a" "Ncl" "Bgn" "Agpat1" "Cfb"
"Itgb2" 0 0.00130165278979397 0.00114253965829365 0 0 0 0 0 0 0
"Serpine2" 0 0.00112219083471328 0 0 0 0 0 0 0 0
"Grem1" 0 0.00151389305554601 0.00133858528480133 0 0 0 0 0 0 0
"Serpine1" 0 0.00178835222472145 0.00159509761710865 0 0.00111057773333738 0.00122184484083539 0.00107487399677267 0 0.00124788864138312 0
"Ptprc" 0 0.00159539098358998 0.00150068011439806 0 0 0 0 0 0 0
"C3" 0 0.00105356691912431 0 0 0 0 0 0 0 0
"Plat" 0 0.00146822762389687 0.00145874006662057 0 0 0.00117322659930244 0 0 0 0
"Aimp1" 0 0.0011258397645065 0.00104320586775203 0 0 0 0 0 0 0
"Nid1" 0 0.00161954347476478 0.00126256662374142 0 0 0 0 0 0 0
"Serping1" 0 0.00105848590158843 0.00110593573239702 0 0 0 0 0 0 0
"Pdgfb" 0 0.00165923808659297 0.00160807722346649 0 0 0.00106585350100553 0 0 0 0
"Hspg2" 0 0.00141789577318265 0.00110660201188118 0 0 0 0 0 0 0
"Psap" 0.00104755970686035 0.00162158046050577 0.00160774110993664 0 0.0011131419233372 0.00162862869543822 0 0 0.00150625703395825 0
"Mmp9" 0 0.00142654651157777 0.00125381424028079 0 0 0.00104263616878834 0 0 0 0
"Vegfc" 0 0.00144842647897812 0.00140295627112055 0 0 0 0 0 0 0.00109679629558747
"Efnb1" 0 0.00103946233538315 0 0 0 0 0 0 0 0
"Ptprf" 0 0.00150182546947154 0.00126875853487382 0 0 0 0 0 0 0
"Fgf2" 0 0.00172565439231082 0.00155513619687575 0 0 0.00124942830240968 0 0.00244344294139355 0.00104743029665508 0
"Fn1" 0 0.00112946048134842 0 0 0 0 0 0 0 0
"Col4a1" 0 0.00129264568940487 0.00105933909167131 0 0 0 0 0 0 0
"Rps19" 0 0.00108582072200858 0 0 0 0 0 0 0 0
"Fgf1" 0 0.00138021989232682 0.00124490633779163 0 0 0 0 0 0 0
"Agrn" 0 0.00138919413076888 0 0 0 0 0 0 0 0
"Manf" 0 0.00147760049674388 0.0011140049605244 0 0 0 0.00114228969622703 0 0 0
"Ntn1" 0 0.00114639639276936 0 0 0 0 0 0 0 0
"Dusp18" 0 0.00135387173822363 0.00142128884420372 0 0 0.0018897277839458 0 0 0 0
"Ltb" 0.00121197718650406 0.00164913010967114 0.00137925772592104 0 0.00144991015248966 0 0 0 0 0
"Tgfb2" 0.00119178659875394 0.0018499032289045 0.00189450938318816 0.00580223344268421 0.00120011906794733 0.00150012401055219 0.00104718535998983 0.00251060727027853 0.00129979515586668 0
"Hgf" 0.00466413216211115 0.00163909352884856 0.00255696455612878 0 0 0.0011553944972481 0 0 0 0
