"Acta2" "Cnn1" "Col1a1" "Col1a2" "Col3a1" "Eln" "Fbn1" "Fn1" "Hspb1" "Loxl1" "Ptpn1" "Serpine1" "Serpine2" "Tagln" "Thbs1" "Timp1" "Vim" "Actb" "Adamts2" "Ccnd2" "Fam129b" "Id3" "Pfn1" "Sept9" "Stat3" "Tnc" "Tubb5" "Adamts1" "Adamts4" "Bgn" "C1ra" "Col8a1" "Mmp14" "Sdc4" "Fgf18" "P4hb" "Tgfb2" "Adamts9" "Il6st" "Tubb3" "Eif4ebp1" "Eef1a1" "Cavin3" "Col18a1" "Rgs2" "Rcan1" "Tnfrsf12a" "Tagln2" "Tgfb3"
"Plau" 0.00409108704787506 0 0.00129092114277536 0.00450608085517301 0.00518332917048412 0 0 0.00220155418138859 0.00115026430549251 0 0.00137977217332108 0.00201731996265764 0 0 0.00129931585123495 0 0.00153356217232183 0.001713731925587 0 0.00158595495337436 0.00161062106768345 0.00179817044339678 0.00161368535321471 0.00186216280525512 0.00214584828483434 0 0.00176779015785938 0 0 0 0 0 0 0.00146467397940956 0 0 0.0011878665869129 0 0 0.00122123725862716 0 0.00139663811796756 0 0.00132869359411264 0 0.00185091098859637 0.0016055433699286 0.00138478863960312 0
"Cxcl12" 0 0 0 0 0 0 0 0 0 0 0 0.00239768186755723 0 0 0 0 0 0 0 0 0 0.00125994899055875 0 0.0011601522073437 0.00123961910305868 0 0 0 0 0 0 0 0.00206926318512956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plat" 0 0 0 0 0 0 0 0.00135938890027968 0 0 0 0.0016873298328899 0 0 0 0.00376305192776554 0 0.00133851398311272 0 0.00137187945835533 0.00118321810716416 0.00148462046055328 0.00130243540425315 0.00132800761722797 0.00145874006662057 0 0.00117253535851988 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119455385018028 0
"Fgf7" 0 0 0 0 0 0.00228038570568765 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0012159483525626 0 0.00137098179705884 0 0 0.00119302430308092 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pgf" 0 0 0.00124554231609147 0 0 0 0 0.00162008829024104 0 0 0.00118301492678738 0.00298476130021424 0 0 0.00118249421152667 0 0.00129305591381798 0.00158456810076445 0 0.00158261528462413 0.00132586828551885 0.00157292839406298 0.00126203699620948 0.00149788077948466 0.00165746310983866 0 0.00147997949280216 0 0 0 0 0 0 0.00128692593152622 0 0 0.00123442754740235 0 0 0 0 0 0 0.0012653313147253 0 0 0.00121742381247097 0 0
"Itgb7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00126248559824723 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gas6" 0 0 0 0 0 0 0 0 0 0 0 0.00118647136625684 0 0 0 0 0 0.00118582420122749 0 0.00118968747540761 0 0.00126816267266571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnc" 0 0 0 0 0 0 0 0.00118045399455545 0 0 0 0.00123119974798745 0 0 0 0 0 0 0 0 0 0.00129575832932872 0 0.00115109290302307 0.0011947186376415 0 0 0 0.00215980689639087 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp4" 0.00413856235093631 0 0.00121880167980661 0 0 0 0 0.00163746098150271 0.00117002692956243 0 0.00126445786091884 0.00195808310737064 0 0 0.00126015879274672 0 0.00141076215863066 0.00167989700560281 0 0.00155066769729061 0.00146956587216526 0.0031134178316229 0.00143300676592414 0.00165073318849144 0.00162014508547404 0.00116055854158314 0.00153711971467272 0 0 0 0 0 0 0.0012936804397207 0 0 0.00129035136807453 0 0 0 0 0.00136342920536041 0 0.00141224794239243 0 0 0.00138586600501744 0.00135165136015141 0
"Inhba" 0 0 0.00123346019800764 0 0.00118150903970432 0.0011940241331696 0 0.00162679185350827 0.00115625835808672 0 0 0.00495713341653815 0 0 0.00124686314048462 0 0.00141502016057162 0.00186551860441827 0 0.00131327675866397 0.0013823997309896 0.00240448006957137 0.00142253078270862 0.00148875700115543 0.00146236816878032 0.00175388027239287 0.00145709526708622 0 0 0 0 0 0 0 0 0 0.00154414613935277 0 0 0 0 0.00124112736192723 0 0.0016276134561876 0 0 0.00135021350313777 0.00155349826565457 0.00122452645181964
"Col5a3" 0 0 0 0 0 0 0 0.00115700867749609 0 0 0 0.00149563868857533 0 0 0 0 0 0.00116270260705026 0 0 0 0.00152580908663418 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0.00369334273006367 0 0 0 0 0 0 0 0 0 0 0.00117724145813248 0 0 0 0 0 0 0 0 0 0.00116505245618983 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ccl5" 0 0 0 0 0 0 0 0 0 0 0 0.00130513854165756 0 0 0 0 0 0 0 0 0 0.0012281465197525 0 0 0.00399474385449417 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gmfb" 0 0 0 0 0 0 0 0.00130616209103307 0.00115034892481608 0 0 0.00166968055547085 0 0 0 0 0.00128875988543163 0.00146436565661762 0 0.0013897080667851 0.0012590183157614 0.00149349716164946 0.00132626750936323 0.00145263552012441 0.0014204297335978 0 0.00142819368202294 0 0 0 0 0 0 0.00116879947981559 0 0 0 0 0 0 0 0 0 0.00118815372716528 0 0 0.00117495971312081 0.0011755126647806 0
"Pecam1" 0 0 0 0 0 0 0 0.00131195359400342 0 0 0 0.00128482273166305 0 0 0 0 0 0.00121796562353523 0 0.00146902044363966 0 0.00134376116413128 0 0.00128203033587303 0.00136907262708369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00205230637978658 0 0 0 0 0 0.00208057750040458 0 0 0
"Col1a1" 0 0 0.00121792438641781 0 0 0 0 0.00126103812414002 0 0 0 0.00163313611661382 0 0 0 0 0.00118511499633115 0.00150260770807709 0 0.00132058208626764 0.00161247648963833 0.00175139390541851 0.0014147910999898 0.00161602272528746 0.00143435569017924 0 0.00124647641827163 0 0 0 0 0 0 0.00156369744464397 0 0 0 0 0 0 0 0 0 0.00131242326317063 0 0 0 0.00142931651634521 0.00222977363881853
"Dll4" 0.00136356646032595 0 0.00151651609004675 0.0011644873402714 0.00124343351068 0.00120201100803563 0 0.00269630698677478 0 0.0011990123001011 0.001185202885672 0.00192998991652903 0 0 0.00159146843268634 0 0.0017665762779185 0.00185625641413516 0 0.00153991429545007 0.00174999296331799 0.00186698453958195 0.00137749901709754 0.0019189909469028 0.00161369190326361 0.00126860578117885 0.00218455968345461 0 0 0 0 0 0 0.00128214874985569 0.00127484197413096 0 0.00155703267830529 0 0 0 0.00122029356988488 0.00125897370426649 0 0.0013602375603735 0 0 0.00185610981999254 0.00154348887308327 0.00127511892957142
"Fn1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00355817317440741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tfpi" 0 0 0 0 0 0 0 0.00124170609696535 0 0 0.00115512346338076 0.0017577801539414 0 0 0 0 0 0.00117336021905381 0 0.00138520675914234 0 0.0014788268531397 0.00124833822055593 0.00132707590588713 0.00139376860251568 0 0.00117184889209247 0 0 0 0 0 0 0.00120645447726766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00197842523846087 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00175817396763475 0 0 0 0
"Rtn4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00365410918089921 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp5" 0 0 0.00130880900456383 0 0.00128247069133391 0 0 0.00173927493694213 0 0 0 0.0021444234285971 0 0 0.00132469264528377 0 0.00148929278169747 0.00185652795516258 0 0.00147560985021357 0.00157497733933868 0.00222982228286429 0.00142784217792205 0.00153997590500088 0.00140774409926349 0.00168013882351154 0.00126177239442707 0 0 0 0 0 0 0.00130951089562654 0 0 0.00164098487142929 0.00124753550802837 0.00116282366739539 0 0 0.00137928448598854 0.00201806875611834 0.00177474943881919 0 0.00139040818500106 0.00151887425486147 0.00167560968229711 0
"Hmgb1" 0.00446418320189581 0 0.00156865800988409 0.00475573633823363 0.0051460437121562 0.00125569858199799 0 0.00195162346494514 0.00157444452961575 0.00117067048172906 0.0017377269476138 0.00224497051032758 0 0 0.00178296987942701 0 0.00180066031488312 0.00224754285905749 0.0013123319917165 0.002045893604553 0.00204858606060569 0.00243710231296217 0.00202998881384803 0.00204325486772582 0.00210359138283426 0.0013653832452144 0.00210352799194836 0 0.00156235298826288 0 0 0 0.00140953025422483 0.00165823063278291 0 0 0.00150320191209134 0 0.00121697786839294 0 0 0.00172126792539754 0 0.0016833063062463 0 0.00159633277520012 0.00165626645284002 0.00162298188378865 0.00157044032667368
"Timp1" 0 0 0 0 0 0.00234889399957674 0.00219551364437295 0 0 0 0 0.00141850176658058 0 0 0 0 0 0.0012025586558728 0 0.00123085114254304 0 0.00150295758249535 0.00118860312839794 0.00121392884924285 0.00126656028393218 0 0.00115012204897536 0 0 0 0 0 0 0 0 0.00192681678723294 0 0 0 0 0 0 0 0 0 0 0 0 0
