"Col1a1" "Col4a1" "Eln" "Fbn1" "Fn1" "Itgb1" "Nme1" "Ptpn1" "Serpine2" "Socs3" "Actb" "Adamts2" "Ccnd2" "Tnc" "Ssbp4" "Lgals1" "Adamts4" "Bgn" "Sdc4" "Fkbp5" "Col18a1" "Wnt5a" "Mmp14" "Calm1" "Ncl"
"Manf" 0 0 0 0 0.00108881098928279 0 0.00108082428115221 0 0 0 0.00100631839929851 0 0.00112574415807352 0 0.00100609072373593 0 0 0 0 0.00110624564770368 0.000973133099199429 0 0 0 0.00114228969622703
"Hspg2" 0 0 0 0 0.000970091050159378 0 0 0 0 0.00109900392966455 0.00116983347447202 0 0.00102408728016418 0 0.000974483207551391 0 0 0 0.000960840741812412 0.000954667615591923 0.000982167834995706 0.000952721269712098 0 0.000999324980931607 0
"Hc" 0 0 0 0 0 0 0 0 0 0 0.00197842523846087 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfc" 0.000982828745677993 0 0 0 0.00121493178321917 0 0 0.0010022715842683 0 0.00135497115349177 0.00138739237908813 0 0.00134697247328816 0 0.0010505205768538 0 0 0 0.00132452636502321 0.00111996443219644 0.00122920169099925 0.000993462697934626 0 0 0
"Calm1" 0 0 0 0 0.00110436595243795 0 0 0 0 0.00102751974966269 0.0012041471253463 0 0.00105030753539939 0 0 0 0 0 0.000978179421789482 0.000953336478607939 0.00102361111935515 0 0 0.00110077236343652 0
"Tnc" 0 0 0 0 0.00118045399455545 0 0 0 0 0.00105152707435781 0.00113302069762406 0 0.00111634611618441 0 0 0 0.00215980689639087 0 0.000976340107505816 0.00100638573934569 0.000957992858045647 0.000942128527940553 0 0 0
"Gmfb" 0.00114054163702413 0 0 0 0.00130616209103307 0.000983658233119012 0.00100444221131406 0.0011446851073119 0 0.00131696037980448 0.00146436565661762 0 0.0013897080667851 0.000999534339465711 0.00107882662573508 0 0 0 0.00116879947981559 0.00121146112026451 0.00118815372716528 0.00114331289961175 0 0.000991478896743246 0.000937432736785952
"Yars" 0 0 0 0 0.00117306738261956 0 0 0.000998267110266484 0 0.00103032214014789 0.00103185817592897 0 0.00100584603491239 0 0 0 0 0 0.000940306068835347 0 0 0 0 0 0
"Itgb7" 0 0 0 0 0.000974142211389435 0 0 0 0 0 0.00100823625689274 0 0.00105448025634764 0 0 0 0 0 0 0 0 0.000948051972660736 0 0 0
"Pkd1" 0.000951126714635703 0 0 0 0.00121201939533346 0 0 0.000961731832741131 0 0.00129874555356641 0.00129830543141427 0 0.00134747940212657 0 0.000999491569218828 0 0 0 0.000987452342995159 0.00110482642931167 0.000982470147006891 0.000949075070154772 0.00218694057591152 0 0
"Gas6" 0 0 0 0 0.00104929271815995 0 0 0 0 0.00113349857917654 0.00118582420122749 0 0.00118968747540761 0 0 0 0 0 0.000946905283057498 0.0010181952291517 0 0 0 0 0
"Vwf" 0.00384617150905376 0 0 0 0.00109901751747858 0 0 0 0 0.00107546893625698 0.00105613922150055 0 0.00118071999362242 0 0 0 0 0 0 0.00096309844131786 0 0 0 0 0
"C3" 0 0 0 0 0 0 0 0 0 0 0.000942043220681499 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema3a" 0.00103349184753335 0 0 0 0.00116723223747363 0.00105364566467196 0 0.000993311974021084 0 0.00114100840032303 0.00134774374240879 0 0.00121886500523468 0 0.00110490070163518 0 0.000938069333328417 0 0.00111750795434691 0.00102455491941729 0.00114733498355341 0.000941232869234195 0 0.000961387085036809 0
"Lama1" 0 0 0 0 0 0 0 0 0 0 0.00102313525332182 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Celsr1" 0 0 0 0 0.0010674504256568 0.00102000342129621 0 0.00100115120429034 0 0.00116624102048181 0.00116897170075957 0 0.000947561831716774 0 0.000940913773671113 0 0 0 0.00103760485465828 0 0.00102658363423245 0.000935910843047158 0 0.000959595391809081 0
