"Adamts2" "Eln" "Thbs1" "Tnc" "Fbn1" "Itgb1" "Serpine2" "Tagln" "Tpm4" "Skil" "Adamts4" "Pdzrn3" "Sdc4" "Adora1" "B4galt1" "Lgals1" "Fkbp5" "Col18a1" "Col6a3" "Ncl"
"Manf" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114228969622703
"Adam17" 0 0 0 0.00241628545664076 0 0 0 0 0 0.00115598404570372 0 0 0.00128205347269757 0 0 0 0.0012549805402332 0 0 0
"Bmp5" 0 0 0.00132469264528377 0.00168013882351154 0 0.00116897782576468 0 0 0.00153337825011172 0.0018716901137809 0 0.00138021103502768 0.00130951089562654 0.00135904333034892 0.0013329319574764 0 0.00145815354990321 0.00177474943881919 0.00112828341876444 0
"Col5a3" 0 0 0 0 0 0 0 0 0 0.00132449583379009 0 0 0 0 0 0 0 0 0 0
"Tnfsf14" 0 0 0 0.00130375027282551 0 0.00118743643412836 0 0 0 0 0 0 0.00153882902262933 0 0 0 0 0.00124352699612026 0.00144549019804579 0
"Ltb" 0 0 0 0.00126563825816297 0 0 0 0 0 0 0 0 0.00158488473764397 0 0 0 0.0011314921955262 0 0.00125848316366148 0
"Tnfsf13b" 0 0 0 0 0 0 0 0 0 0 0 0 0.00119208799522564 0 0 0 0 0 0 0
"Col1a1" 0 0 0 0 0 0.00114204937378028 0 0 0.0012549554948656 0.00125720020325004 0 0 0.00156369744464397 0 0.00134436650058469 0 0.00114071815932327 0.00131242326317063 0 0
"Fgf7" 0 0.00228038570568765 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tfpi" 0 0 0 0 0 0 0 0 0 0 0 0 0.00120645447726766 0 0 0 0 0 0 0
"Hgf" 0 0 0 0 0 0.00238400100279629 0 0 0.00119258699237414 0.00230190992977005 0 0 0 0 0.00113290966825664 0.00212741736301797 0.00120418944173977 0 0 0
"Celsr1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114914258046782 0 0 0 0 0
"Tnc" 0 0 0 0 0 0 0 0 0 0 0.00215980689639087 0 0 0 0 0 0 0 0 0
"Fgf2" 0 0 0.00246573601933631 0.00245508572184439 0 0 0 0 0.0012500830165794 0.00118482744502503 0.00238793670167162 0 0.00256339895730747 0.0011417777859971 0.00126516424472822 0 0.00132397506182081 0.00117025777011331 0 0
"Tgfb2" 0 0.00116495667700662 0.00135638336781128 0.00273951091521325 0.00500298343691173 0.00261203029811569 0 0 0.00141125997817519 0.00168242469702775 0 0.00542100205528733 0.00134645886362412 0.00138939173086353 0.00130377694480264 0 0.001254124168963 0.00129190673912139 0 0
"Osm" 0 0.0012065758378941 0.00131440585765175 0 0 0.00126888219415445 0 0 0.00152490400810612 0.00143187588506804 0.00645637997940221 0.00125722818493488 0.00163406003522205 0.001467179036611 0.00156922009032482 0 0.00158949086744805 0.00137966965858044 0 0.00114659823671637
"Pik3cb" 0 0 0 0 0 0 0 0.00212176890392307 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb3" 0 0 0 0.00642598074252033 0 0 0 0 0 0.00168499079927536 0 0 0 0.0011774079826238 0 0 0 0.00129165322023693 0 0
"Timp1" 0 0.00234889399957674 0 0 0.00219551364437295 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0 0.00698701226936435 0.00592596870735485 0.00263948532009254 0.00494533872999235 0.00465805927993809 0.00452512600179892 0.00666074381041192 0.00510760544386226 0.00153157148853381 0.00246276587944742 0 0.00128919601651315 0.00135538653550552 0.00135054142200582 0 0.00144117895663344 0.00138206816395869 0 0
"Spp1" 0.00507234073704876 0.0049989028848838 0.00424683178350971 0.00447159030759513 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
