"Actb" "Adamts4" "Adamts9" "Cdkn1a" "Egr1" "Id3" "P4hb" "S100a4" "Stat1" "Tubb5" "Vim" "Aldh7a1" "Calr" "Fbn1" "Ifit3" "Tpm4" "Mmp14" "Cyp7b1" "Fads1" "Hspa8" "Wnt5a" "Tgfb2" "Calm1" "Tnfrsf12a" "Trip10" "Ifih1" "Bgn" "Ifitm3" "Btg2" "Pdia3" "Col18a1" "Tspan4" "Hacd1" "H2.T23"
"Itgb2" 0 0 0 0.00167196176542722 0 0.00131470084209061 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tfpi" 0 0 0 0.00180542265932171 0.0013549254349839 0.0014788268531397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0.00152012849124405 0 0 0.00206911530949821 0.00138610253148874 0.00154618566031741 0 0 0.00126044164459815 0.00141663374064695 0.00126344713866316 0 0 0 0 0 0 0 0 0 0.00118679709279627 0 0 0.00119530599656651 0.00123364615042607 0 0 0 0.00124032981018802 0 0 0 0 0.00206317307479586
"Gpi1" 0 0 0 0.0017677010676815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pcdh1" 0.00130990616096732 0 0 0.00171059303509075 0 0.0012965677340796 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Angpt2" 0.00149273164062777 0 0 0.00480643361495988 0.00147633036671812 0.00182628611387754 0 0 0.00258822823634056 0.00148615819329907 0.00122047264939459 0 0 0 0 0 0 0 0 0 0 0 0.00123845670923768 0 0.00123439131570207 0 0 0 0.00121966855451139 0 0.0011829892173376 0 0 0
"Serpine1" 0.00161865814375591 0 0 0.00415527258509336 0.0014590129337398 0.00162764577262881 0 0 0 0.00135086298395659 0.00132142193719273 0 0.00118377481307692 0 0 0.00127033646248353 0 0 0 0 0 0.00121131377404524 0 0.00139583327780701 0.00127863800663934 0 0 0 0.00120906978237779 0 0.00131369966331646 0 0 0
"Nectin1" 0 0 0 0.00150300544457211 0 0.0012707348263701 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lrpap1" 0.00119368533438377 0 0 0.00157956256806241 0 0.00133868184031027 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Selplg" 0 0 0 0.00133041601505317 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pros1" 0.00169455534887847 0 0 0.00296467644517818 0.00160382518913497 0.0017063752987496 0 0 0.00136190844759238 0.00154819401092723 0.00134853246228343 0 0 0 0 0.0013660939486623 0 0 0 0 0.00120596062069839 0 0 0.00123172057618832 0.00130329335455884 0 0 0 0.00135715710110835 0 0.00118367436715122 0 0 0
"Tnfsf13b" 0.00118100036603681 0 0 0.00171852712084425 0 0.00133349852281733 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pgf" 0.00158456810076445 0 0 0.00218818771600824 0.00144306828613792 0.00157292839406298 0 0 0.00130934025805324 0.00147997949280216 0.00129305591381798 0 0 0 0 0 0 0 0 0 0.00117870580864848 0.00123442754740235 0 0.00121742381247097 0.00133051998562834 0 0 0 0.0012542123295169 0 0.0012653313147253 0 0 0
"Itgb1" 0 0 0 0.0023583641063619 0 0.00121492222494429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb3" 0.00171215492557961 0 0 0.00225560517487711 0.00119955702150403 0.00202957344950618 0.00205980992087896 0 0 0.00136146995552084 0.00132242544024724 0 0 0 0 0 0 0 0 0 0 0.0013767278673098 0 0.00118897882277208 0 0 0 0 0.00146542887808945 0 0.00129165322023693 0 0 0
"Col4a1" 0 0 0 0.00152308824586791 0 0.00147693163390325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp5" 0.00185652795516258 0 0.00124753550802837 0.00243775803578108 0.00145112981348152 0.00222982228286429 0 0 0.00133891106136126 0.00126177239442707 0.00148929278169747 0 0 0 0.00129710013644704 0.00153337825011172 0 0 0 0 0.0014627962488918 0.00164098487142929 0 0.00151887425486147 0 0 0 0 0.00173784674980314 0 0.00177474943881919 0 0.0025579514966613 0
"Reln" 0 0 0 0.00162542581271636 0.00210734264840531 0.00121139254165675 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gmfb" 0.00146436565661762 0 0 0.00209926887534938 0.00141361760565566 0.00149349716164946 0 0 0 0.00142819368202294 0.00128875988543163 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00123232701656601 0 0 0 0.00119883610984212 0 0.00118815372716528 0 0 0
"Hc" 0.00197842523846087 0 0 0.00121904808611797 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnf" 0.00138049361423276 0 0.00253622027001527 0.00481058644128366 0.00483274766088375 0.00148800100120581 0.00195380226741641 0 0.00534756966893018 0.00129797982557706 0 0.00433582341445852 0 0 0 0 0 0 0 0 0.00252371677542843 0 0.00225492401749375 0.00233846507704146 0 0 0 0 0 0 0.00119709110351885 0 0 0
"Efemp1" 0.00143048166594582 0 0 0.00203886270522064 0.00122366151291908 0.00194652209054313 0 0 0 0.0012768675721551 0.00142576954031485 0 0.00122317167349929 0 0 0.00138772201482457 0 0 0 0 0.00119199590072176 0 0.00156590264559261 0.00139391181366608 0.00147892163233971 0 0 0.00126566649078375 0 0 0.00145835090287314 0.00147061163883699 0 0
"Jag2" 0 0 0 0.00143959503171508 0 0.00119950726459959 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
