"Cebpb" "Adamtsl1" "Pkm" "Ptpn1" "Aff1"
"Reln" 0.00122584620790858 0 0 0 0
"Bmp4" 0.00174087172220654 0 0.00124834876585614 0.00126445786091884 0.00122508726787627
"Dll1" 0.00155092652218072 0.00115940702268467 0.00120120726968297 0 0.00113273253204706
"Pdgfa" 0.00145212747736793 0 0 0 0
"Calm2" 0.00116502418276091 0 0 0 0
"Bmp3" 0.0012102170480003 0 0.00118603292355775 0 0.00128765632957072
"Lamb2" 0.00118342523598463 0 0 0.00110128363837398 0
"Pgf" 0.00161046278169084 0 0.0011349566432881 0.00118301492678738 0
"Pros1" 0.00153356085526775 0 0 0.00124083431483418 0.00118305226423303
"Hspg2" 0.00116865440719796 0 0 0 0
"Hsp90b1" 0.00135965338541937 0 0 0 0
"Gas6" 0.0012335706875513 0 0 0 0
"Wnt5a" 0.00121675287801561 0 0 0 0
"Agrn" 0.0011642988549326 0 0 0 0
"Bmp6" 0.00192678042672434 0 0.00122666064457264 0.00142556275047663 0.00128242337726802
"Dusp18" 0.00136559335455513 0 0 0.00116300917420385 0
"Clstn1" 0.00140735794687182 0 0 0 0
"Sema3c" 0.00113370008192682 0 0 0 0
"Lamb1" 0.00134461548551368 0 0 0 0
"Adam15" 0.00122252665164397 0 0 0 0
"Dll4" 0.00191258598856659 0.00109273357558177 0.0014091315517251 0.001185202885672 0.00113311527416143
"Sfrp2" 0.00146583914844688 0.00170709492676713 0.00111479365167278 0.00118939779679045 0.00114552716342683
"Ocln" 0.00124743123455501 0 0 0 0
"Cxcl12" 0.00411863755831926 0 0 0 0
"Itgb1" 0.00412477620277136 0 0 0 0
