"Col1a2" "Col3a1" "Eln" "Fbn1" "Fkbp1a" "Fn1" "Ifit3" "Lox" "Postn" "Timp1" "Tpm4" "Vim" "Zyx" "Adamts2" "Clic1" "Gsn" "Sod3" "Bgn" "Cxcl12" "Gbp2" "Vegfd" "Ccnd3" "Sparc" "Actr1a" "Cdk6" "Tfpi" "Sema3b" "Capn2" "Ntf3" "Rtn2" "Irf9" "Ifitm3" "Col18a1" "Selenow" "Gnas" "Rpl13a" "Calm1" "Txn1" "Acadvl" "Eef1a1" "Clu" "Ldha" "Plpp3" "Ifih1" "Aldoa" "Gnai2" "Col4a2" "Adam10"
"Fbn1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00118618362425712 0 0 0 0 0 0 0 0 0 0 0 0.00117753710846186 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Grn" 0 0 0 0 0 0.00119208824634968 0 0 0 0 0 0 0 0 0.00125302259519297 0.00116730278548686 0 0 0 0 0 0 0 0 0 0 0.00120341846124088 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Areg" 0 0 0 0 0 0.00132625011258291 0 0 0 0 0.00128278201052593 0 0 0 0.00151015140402405 0.00146688015036365 0 0 0 0 0 0.00229907627818057 0 0 0.00124514648525608 0 0.00131487490024381 0.00125462839000346 0 0 0 0 0.00138017578087077 0 0 0 0.0013034832364935 0 0.00128151256017285 0.00125998691182582 0 0 0 0 0.00117013754198042 0 0 0.00203081166482276
"Nid1" 0 0 0 0 0 0.00128306260991774 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00128505502483982 0 0 0 0 0 0 0 0 0 0 0.00124289887545935 0
"Thbs1" 0 0 0 0 0 0.00141910159484223 0 0 0 0 0.00133505861149947 0.00141690885774176 0 0 0.00182345396889502 0.00144604146062644 0 0 0 0 0 0.0013763660374234 0 0 0.00138771202710747 0 0.00143290704199589 0.00134420029593843 0 0.00143002410622863 0.00119740723295747 0 0.0013219223561561 0 0.00133459037709554 0.0014105813710796 0.00129679672598832 0 0.00136908043871673 0.00137894099360452 0 0 0 0 0.00143965510866076 0.0015030072002434 0 0
"Lamb1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119537386418107 0 0 0 0 0 0 0 0 0 0 0 0.00127338452771187 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf18" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122637235477498 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dll1" 0 0 0 0 0 0.00162161267721719 0 0 0 0 0 0.00146070062214552 0 0 0.00151926816379809 0.00144282621393935 0 0 0 0 0 0 0 0 0.00172272226110071 0 0.00161398723351063 0.00122430751474775 0.00146678538773012 0.00168647992082083 0 0.00126891285851985 0.00118395736710442 0 0.00159728530778475 0.00152665098202092 0.00135475017594528 0.00117233930324085 0.00123969628252412 0 0 0 0 0 0.00124446387229204 0.001368683056848 0 0.00128112800824053
"Pdgfa" 0 0 0 0 0 0.00123296085545922 0 0 0 0 0 0 0 0 0.00124228921160892 0.00121514959095903 0 0 0 0 0 0.00140181862712103 0 0.00219079836117463 0 0 0 0 0 0 0.00124411594350186 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120700424025391 0 0 0
"Ptprc" 0 0 0 0 0 0.00119866651376141 0 0 0 0 0 0 0 0 0.00133052415678482 0.00122172968473194 0 0 0 0 0 0.00138998895899727 0 0 0 0 0 0 0 0 0.00125457246721014 0 0 0 0 0 0 0 0 0 0 0 0 0.0022782943652454 0 0 0 0
"Vegfa" 0 0 0 0 0 0.00138374225895684 0 0 0 0 0 0.0011883629896787 0 0 0.00130843253079308 0.00126679382879855 0 0 0 0 0 0.00120044997756414 0.00237301976242974 0 0 0 0.00123721883563742 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00217643341410883 0.0024203298334835 0.00475691902178917 0 0.00122503156799166 0 0 0
