"Clu" "Fgf2" "Plpp3" "Fads2" "Ccnd3" "Isyna1" "Mmp14" "Irak1bp1" "Ddit3" "Rgs2" "Sod3" "Aldoa" "Fosl2" "Fth1" "Ctsb" "Eef1g" "Sesn3" "Aldh1a2" "Calm2" "Fcf1"
"Pros1" 0 0 0 0 0.0013742975211579 0 0 0 0.00126316866740155 0 0 0.00121703993002482 0.00137488469027486 0.0012793841595511 0 0 0 0 0 0
"Pecam1" 0 0 0 0 0.00117463805185294 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp4" 0 0 0 0 0.00146895047544671 0 0 0 0.00132328074073511 0 0 0.00136989997605083 0.0014954796022255 0.00132428579111218 0 0 0 0.00239685250007111 0 0
"Vegfc" 0 0 0 0 0.00129825614010543 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Jam2" 0 0 0 0 0.00150145728653271 0 0 0 0 0 0 0 0.00130688048570754 0 0 0 0.00140021436594343 0 0 0
"Tgfb1" 0.00239610071735005 0.00557571414769134 0 0 0.00146818803267612 0.00244096580435543 0 0 0.0024490548408257 0 0 0.00131030416960445 0.00149883174314009 0.001313046198603 0 0 0 0 0 0
"Ptprc" 0 0 0 0 0.00138998895899727 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Flrt2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0012483880319022 0 0 0 0
"Pkd1" 0 0 0 0 0 0 0.00218694057591152 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ptn" 0 0.00189022633320388 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0 0 0 0 0.00425854402963477 0 0 0 0.00122362161305785 0 0 0.00123526067489422 0.00132778143295326 0.00123130163907247 0 0 0 0 0 0
"Angpt2" 0 0 0 0 0.00147492741960072 0 0 0 0.0014156323960709 0 0 0.00149119568498676 0.00137620726766813 0.00133139496128946 0.00259491672564111 0 0 0 0.00123502192598806 0
"Crlf1" 0.00216357861726932 0 0 0.00137279295291657 0.00237241827789095 0.00118038183522964 0.00122480676943824 0 0.00123770976767488 0 0 0.00145766913927708 0.00207389859251434 0.00222189700790961 0.00154072110515724 0.0012425021214626 0.00121108042748133 0 0 0.00127212550309027
"Areg" 0 0 0 0 0.00229907627818057 0 0 0 0.00130822853951713 0 0 0.00117013754198042 0.00145910006124271 0 0 0 0 0 0 0
"Ltf" 0 0 0 0 0.00160844379466504 0 0 0 0.00127699015334562 0 0.00921462014874502 0.00179111449493899 0.00122871103793842 0.00118906582235814 0 0 0 0 0 0
"Pdgfa" 0 0 0 0 0.00140181862712103 0 0 0 0 0 0 0.00120700424025391 0 0 0 0 0 0 0 0
"Edn1" 0 0 0 0 0 0.00210794094243877 0 0 0 0 0.00226081437859102 0 0 0 0 0 0 0 0 0
"Vwf" 0 0 0 0 0 0.00204088956950176 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hc" 0 0 0 0 0 0 0 0 0 0.00175817396763475 0 0 0 0 0 0 0 0 0 0
"Fgf18" 0 0 0 0 0.00122637235477498 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pdgfb" 0 0 0 0 0.00435528125167755 0 0 0 0 0 0 0 0.00118940889586454 0 0 0 0 0 0 0
"Adam17" 0 0.00204508819960471 0 0 0.00119691697368809 0 0 0.00214040767481555 0.00122083111167828 0 0 0 0 0 0 0 0 0 0 0
"Nampt" 0 0 0 0.00450316996128958 0.00146098779203549 0 0 0 0.00151073511039136 0 0 0.00156432309333544 0.00148759982833115 0.00143302419248472 0 0.00127709190968178 0 0 0 0
"Cxcl12" 0 0 0 0 0 0 0.00206926318512956 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hgf" 0 0.00211409795350206 0 0 0.00132793640851456 0.00224321017773921 0 0 0.00123623163343898 0 0 0.0012275773965861 0.00117720073698827 0 0 0 0 0 0 0
"Apoe" 0 0.0039188902912783 0 0.00418740822700997 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfa" 0.00217643341410883 0.00412467791233172 0.00475691902178917 0 0.00120044997756414 0 0 0 0 0 0 0.00122503156799166 0.00120184483015943 0 0 0 0 0 0 0
