"A4galt" "Adamts1" "Gbp2" "Hspa1a" "Igfbp5" "Dclk1" "Gatad2a" "Grb10" "Nr4a3" "S1pr3" "Stat3" "Plxdc2" "Spock2" "Mtus1" "Notch3" "Grem2" "Tpm4" "Ddx5" "Angptl4" "Adamtsl1"
"Sema3a" 0 0 0 0 0 0 0 0 0 0 0.00125682032524585 0 0 0 0 0 0 0 0 0
"Sfrp2" 0 0 0 0 0 0 0 0 0.00114974825634326 0 0.00135539126028341 0 0 0.00127075463717508 0 0 0 0 0 0.00170709492676713
"Hmgb2" 0 0 0 0.00122263029087968 0 0 0 0 0 0 0.00156569664545789 0 0 0.00160780958617683 0 0 0 0 0 0.00114677282711378
"Itgam" 0 0 0 0 0 0 0 0 0 0 0.00115110869620677 0 0 0 0 0 0 0 0 0
"Ghrl" 0 0 0 0 0 0 0 0 0 0 0.00125373209948541 0 0 0 0 0 0 0 0.00241104831689305 0
"Pecam1" 0 0 0 0 0 0 0 0 0 0 0.00136907262708369 0 0 0 0 0 0 0 0 0
"Lamc2" 0 0 0 0.00113832676985598 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bdnf" 0 0 0 0.00137874819923533 0 0 0 0 0 0 0.00144007863171766 0 0 0.00118723092811237 0 0 0.00114250973154286 0 0.00116803360864771 0
"Hgf" 0 0 0 0.00123117335843035 0 0 0 0 0 0 0.00255696455612878 0 0 0 0 0 0.00119258699237414 0 0 0
"Dll4" 0 0 0 0.00132621621791582 0.00130145586550706 0 0 0 0 0 0.00161369190326361 0 0 0.00160089413718599 0.0024439690097359 0 0 0.00128468349808974 0.0012026207484359 0
"Pik3cb" 0 0 0 0 0 0 0 0 0 0 0.00119472694297545 0 0 0 0 0 0 0 0 0
"Inhba" 0 0 0 0 0 0.00116019153528153 0 0 0 0 0.00146236816878032 0 0 0.00147644600101454 0 0 0.00128423156655429 0.0015389580375567 0.00131050839403632 0.00117605656167664
"Angpt2" 0 0 0 0.00132616796024568 0 0.00119259465972934 0 0 0 0 0.0018033674531214 0 0 0.00131619658243988 0 0 0 0 0.0012006106780477 0
"Cxcl12" 0 0 0 0 0 0 0 0 0 0 0.00123961910305868 0 0 0 0 0 0 0 0 0
"Adam17" 0 0 0 0.00266441523851194 0 0 0 0 0 0 0.00143404551837469 0 0 0.001204903850797 0 0 0 0 0 0
"Tgfb1" 0 0 0 0.00270235702690094 0.00232453912340927 0.00118166960833495 0 0 0.00122031509590861 0 0.00273917272899772 0 0 0.00138394494777402 0 0 0.00510760544386226 0.00138346449774193 0.00266262670309782 0
"Tgfb2" 0 0 0 0.00127137421535757 0 0.00127700450189237 0 0 0.0012974183607741 0 0.00189450938318816 0 0 0.00151563999750733 0 0.00574375921899668 0.00141125997817519 0.00135644277298121 0.00118800585049223 0
"Dll1" 0 0 0 0.0012372277329345 0 0 0 0 0 0 0.00148933497276767 0 0 0.001929571932632 0.00157227301908253 0 0 0.0011518606278327 0 0.00115940702268467
"Cadm1" 0 0 0 0 0 0 0 0 0 0 0 0 0.00550965335607348 0 0 0 0 0 0 0
"Npnt" 0 0 0 0 0.00183768332152257 0 0 0 0 0 0 0 0 0 0 0 0.00148486188516819 0 0 0
"Apoe" 0 0 0 0.00436192403535443 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ltf" 0 0 0 0.00126385611504555 0 0 0 0 0 0 0.00143244950094399 0.00797560838596151 0 0.00116045020384423 0.00135768226682719 0 0 0 0 0
"Ccl5" 0 0 0 0 0 0 0 0 0 0 0.00399474385449417 0 0 0 0 0 0 0 0 0
"Vegfa" 0 0.00212347510472588 0 0.00121527500653536 0 0 0 0.00233517363590454 0.00226797129723528 0.00238381225156894 0.00150215565723096 0 0 0 0 0 0 0 0 0
"Ltb" 0 0 0 0.00121974955594589 0 0.00144410627788329 0.0014782668908435 0.00123194479158321 0 0.00116161118878353 0.00137925772592104 0 0 0 0 0 0 0.0013496127766501 0 0.00123772344743258
"Il1b" 0.00520330842371695 0.00610819585501071 0.00487909206664164 0.00506350508394306 0.00462666346579045 0.0011790506827128 0 0 0.00124253086941748 0 0.00456753520907281 0 0 0.00137034776897469 0 0 0.00145221716898225 0.00122489735916927 0.00144785826508979 0
