"Cxcl12" "Ier3" "Ldlr" "S100a4" "Timp1" "Tubb5" "Bgn" "Col3a1" "Igfbp5" "Calr" "Ifit3" "Sod3" "Rab34" "Tubb3" "Notch3" "Sparc" "Gbp3" "Mustn1" "Eml1" "Col6a3" "Dclk1" "Ctsb" "Tagln2" "B4galt1"
"Col18a1" 0 0.00119585618620649 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gas6" 0 0.00124932580041872 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp5" 0 0.00192664670296883 0.00117180773728333 0 0 0.00126177239442707 0 0.00128247069133391 0 0 0.00129710013644704 0 0.00125063977431335 0 0 0 0 0 0 0 0.00128198446882259 0.00137602189765616 0.00167560968229711 0.0013329319574764
"Dll1" 0 0.0016324055789768 0 0 0 0.00162313855129753 0 0 0 0.00115942426698703 0 0 0.0014938136816968 0 0.00157227301908253 0 0 0 0 0 0 0 0.00143885320562796 0.00123546255956474
"Fgf7" 0 0.00130741887800563 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col1a1" 0 0.00154697020220672 0 0 0 0.00124647641827163 0 0 0 0 0 0 0.00126009819003176 0 0 0 0 0 0 0 0 0 0.00142931651634521 0.00134436650058469
"Nectin1" 0 0.00142345166114901 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf18" 0 0.00131563866872482 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ocln" 0 0.00118518532438034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0 0.00151866047246203 0 0 0 0.00116128244547727 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Angpt2" 0 0.00187209972299205 0 0 0 0.00148615819329907 0 0 0 0 0 0 0.00139329814473882 0 0 0 0 0 0 0 0.00119259465972934 0.00259491672564111 0 0.00117983952154002
"Pecam1" 0 0.00142361661621238 0 0 0 0 0 0 0 0 0 0 0 0.00205230637978658 0 0 0 0 0 0 0 0 0 0
"Ccl5" 0 0.00121686663386638 0.0019820965371257 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0 0.00124322014947712 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Thbs1" 0 0.00162438509329562 0 0 0 0.00154900137828481 0 0 0 0.00130522413686115 0 0 0.00162220452906422 0 0 0 0 0 0 0 0 0.00116867339824289 0.00139612629552571 0.00127211392979718
"Ltb" 0.00140344305001728 0.00147263678509523 0.00118789425785636 0 0 0.00132812022344578 0 0.00121763834466782 0 0 0.00132127218960461 0 0.00125689395873174 0 0 0 0 0 0 0.00125848316366148 0.00144410627788329 0 0 0
"Sema3a" 0 0.00148046659562569 0 0 0 0.00124072333390752 0 0 0 0 0 0 0.00120770209021445 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf14" 0.00119637417705085 0.00177805647409082 0 0 0 0.00146594450732494 0 0 0 0.00121502561850665 0 0 0.00120969135072244 0 0 0 0 0 0 0.00144549019804579 0.00142850756795388 0 0.00133916176949723 0
"Plat" 0 0.0013966920440855 0 0 0.00376305192776554 0.00117253535851988 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119455385018028 0
"Col4a1" 0 0.00118216257804888 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ltf" 0 0.00692590913497138 0.0015131024496392 0 0 0.00142871563298954 0 0 0 0 0.00141011811935499 0.00921462014874502 0.00135788366035792 0 0.00135768226682719 0 0 0 0.00869901012838657 0 0 0 0.00125448810276825 0.00116425395610747
"Tgfb2" 0 0.00185892402942727 0.00118941808526565 0 0.0021985662674196 0.00159702134242239 0.00251060727027853 0 0 0.00470447536163282 0.00125224016507581 0 0.0016001396779733 0 0 0.00246844269781697 0.00580223344268421 0.00644025126790894 0 0 0.00127700450189237 0.00132999121532327 0.0014083566203029 0.00130377694480264
"Fgf1" 0 0.00146725544984714 0 0 0.00185060820883847 0.00116920393796588 0 0 0 0 0 0 0 0 0 0.00224052357432998 0 0 0 0 0 0 0 0
"Dll4" 0.00116884399873296 0.00195067239704965 0 0 0 0.00218455968345461 0 0.00124343351068 0.00130145586550706 0.00141471978259281 0 0 0.00152331680560191 0 0.0024439690097359 0 0 0 0 0.00124310333643988 0 0 0.00154348887308327 0.00140351752298516
"Fn1" 0 0 0 0 0.00355817317440741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0.00241942277429492 0.00175304959895765 0 0 0.00209778431201249 0.00145246228974306 0.00244344294139355 0 0 0 0 0 0.00134266712633732 0.00421537475789787 0 0 0 0 0 0 0 0 0.00124360771361438 0.00126516424472822
"Apoe" 0.00439515923364999 0.00128461570807211 0.00393178383156664 0 0.00368591735096147 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0 0.00133525797695098 0 0 0.00379242755032811 0.00119742703413151 0 0 0 0 0 0 0.00117159547223598 0 0 0 0 0 0 0 0 0 0 0
"Edn1" 0 0.00144341020441212 0 0 0.00195713366293793 0.00125963308360365 0 0.00507425261027675 0 0 0 0.00226081437859102 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0 0.00188015714086075 0 0.00233966507029221 0.00514659632818426 0.00163917850063023 0.00255800440815857 0.00527727585757168 0.00232453912340927 0.00451960883601798 0.00466566099947073 0 0.00157192444202058 0 0 0.002517570023229 0 0 0 0 0.00118166960833495 0 0.0014048054064054 0.00135054142200582
"Il1b" 0.00473051781521624 0.00193742800508225 0.002454173946798 0 0.00519880978995069 0.00158594809031943 0.00556725311719056 0.00516287095521492 0.00462666346579045 0.00125234522172557 0.00120954074822048 0 0.00154493163686205 0 0 0.00250634830949764 0 0 0 0 0.0011790506827128 0.00117290907023896 0.00135759262380025 0.00146743375583962
"Osm" 0.00260714131790059 0.00201189048988944 0.00580676574801314 0.00236101899467379 0.00575092635394113 0.00173566486730005 0 0 0 0.00133867432300744 0.00141450046515593 0 0.00165839890551377 0 0 0 0 0 0 0 0.00121891687189832 0.00120194614358467 0.0014918933348859 0.00156922009032482
