"Cebpb" "Clic1" "Prmt1" "Ptma" "Rgs2" "Smad7" "Tsc22d3" "Mmp14" "Myh9" "Tnc" "Fosl2" "Tpm4" "Nr1h3" "Apbb3" "Plekhg2" "Selenow"
"Bmp4" 0.00174087172220654 0.0015725296573374 0.00148982754261048 0.00198675235358929 0 0.00200449234084368 0 0 0.00152267215616941 0 0.0014954796022255 0.00133449626877576 0 0 0.00146434662530616 0
"F7" 0.00128752132416471 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf7" 0 0 0 0.00140224021907017 0 0.00119233249139435 0 0 0 0 0 0 0 0 0 0
"Nampt" 0.00197957165197222 0.00184236362877953 0.00161530057397867 0.00203546694764643 0 0.00181443951407781 0.00128680004449149 0 0.00162613480887036 0 0.00148759982833115 0.00133533328345466 0.00150484212598898 0 0.00162460862625467 0
"Bmp5" 0.00167398848580254 0.0013756172737077 0.00140807505242034 0.0017665034342188 0 0.0029000483065662 0 0 0.00158714214340449 0.00168013882351154 0.00158196418316317 0.00153337825011172 0 0 0.00136652558665606 0.00208829414476828
"Sema3c" 0 0.00139223960192855 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp6" 0.00192678042672434 0.00173124667536169 0.00158803521855752 0.00213794438597033 0 0.00208742700466368 0 0 0.00161913864077672 0.00120846480174034 0.00154021351648124 0.00137522394254261 0.00127055737362479 0 0.00164649146716192 0
"Mmp9" 0.00136394278263057 0.00143850333762942 0 0.00142654651157777 0 0.00143603394454852 0 0 0 0 0 0 0 0 0.00118971979013694 0
"Adam17" 0.00147845306649809 0.00134863235874304 0.00125135762357861 0.00168750786821563 0 0.00153432581693083 0 0 0.00133758499639306 0.00241628545664076 0 0 0 0 0.00127892504850878 0
"Pgf" 0.00161046278169084 0.00135654474903529 0.00153115810318471 0.00171890247721199 0 0.00163832458045677 0 0 0.00137792234125744 0 0.00130886877177111 0 0 0 0.00133791741758037 0
"Angpt2" 0.00182082402078934 0.00131285206862673 0.00136676951365994 0.00178072038773543 0 0.00160932542819399 0 0 0.001453242382684 0 0.00137620726766813 0 0 0 0.00139194788055082 0
"Pecam1" 0.00131751122802977 0.00123388280103664 0 0.00136939252119525 0 0.00150232461854556 0 0 0.00122331004441365 0 0 0 0 0 0 0
"Areg" 0.00156332891375656 0.00151015140402405 0.00131450958215875 0.00159549106287538 0 0.00159048393014287 0.00123508416542775 0 0.00125858937924953 0 0.00145910006124271 0.00128278201052593 0 0 0.00141152006271395 0
"Edn1" 0.00139931153213885 0.00124945330731138 0 0.00136186376870311 0 0.00133994436253399 0.00392076301972738 0 0 0 0 0 0 0 0 0
"Pros1" 0.00153356085526775 0.00166519308200162 0.00142218298943858 0.00177102776021661 0 0.00160955573732808 0 0 0.0015607816818557 0 0.00137488469027486 0.0013660939486623 0 0 0.00143163425242381 0
"Col4a1" 0 0 0 0.00129264568940487 0 0.00143066620550979 0 0 0 0 0 0 0 0 0 0
"Ptprc" 0.00133977776104607 0.00133052415678482 0.00119895975577745 0.00159539098358998 0 0.0013991453360518 0 0 0.00132385020330943 0 0 0 0 0 0 0
"Jam2" 0.00155857152468628 0.00154304011486572 0 0.00165545939764495 0 0.00157540754752841 0 0 0.00141365980870676 0 0.00130688048570754 0.0014700464561192 0 0 0.00128779406162622 0
"Thbs1" 0.00169910528349293 0.00182345396889502 0.00147030262948002 0.00187755407752183 0 0.00169759724886856 0 0 0.00154235022685268 0 0.00135533768780719 0.00133505861149947 0 0 0.0013663881548914 0
"Apoe" 0.00121982094786889 0 0 0.00127863319695122 0 0.00122470768478638 0.00372826406864838 0 0 0 0 0 0.00397297146806381 0 0 0
"Pkd1" 0.00126675790286317 0 0 0.0015133850766588 0 0.00142041878620285 0 0.00218694057591152 0.00119268319896436 0 0 0 0 0 0 0
"Ltb" 0.00170731210451917 0.00128508125663504 0.00122600763859564 0.00164913010967114 0 0.00175197392599188 0.00133957038528786 0 0 0.00126563825816297 0.0014459544678841 0 0 0 0.00122183697453531 0
"Gmfb" 0.00158981289595062 0.00142324624452076 0.00127422027007589 0.00167409204337163 0 0.00154180588626334 0 0 0.00129952860585796 0 0.00128242755384225 0 0 0 0.00126749878851024 0
"Spp1" 0.00147532636381718 0.00129706631785776 0 0.00162520374487465 0 0.00142354302507267 0 0 0 0.00447159030759513 0 0 0 0 0.00121222720362656 0
"Icam2" 0 0 0 0.00127797278949835 0 0 0 0 0 0 0 0 0 0 0 0
"Col18a1" 0 0 0 0.00129506638718467 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0 0 0 0.00141789577318265 0 0.00131165548814187 0 0 0 0 0 0 0 0 0 0
"Fbn1" 0.00127055759300585 0 0 0.00149321214965977 0 0.00132876559739682 0 0 0 0 0 0 0 0 0 0
"Lamb1" 0.00134461548551368 0.00119537386418107 0 0.00149482982069807 0 0.00128861237549554 0 0 0 0 0 0 0 0 0 0
"Gas6" 0.0012335706875513 0 0 0.00127695255172798 0 0.00132674938187812 0 0 0 0 0 0 0 0.00199897684650578 0 0
"Col1a1" 0.00154254740081433 0.00134421200209492 0 0.00185954793602832 0 0.0017652099991023 0 0 0.00127585516052212 0 0.00133549405051468 0.0012549554948656 0.00131416894222269 0 0 0
"Agrn" 0 0 0 0.00138919413076888 0 0.00129610191739622 0 0 0 0 0 0 0 0 0 0
