"Actb" "Bhlhe40" "Ddit4" "Dll1" "Hes1" "Ier3" "Junb" "Midn" "Pxn" "Sema7a" "Socs3" "Tubb5" "Bax" "Fkbp5" "Flot1" "Ier5" "Pfn1" "Ptgs2" "Sh2b3" "Stat3" "Synpo" "Tnfrsf1a" "Aldoa" "Fam129b" "Nos3" "Slc3a2" "Tle1" "Ccnd3" "Cdk4" "Cxcl12" "Ecscr" "Hif1a" "P4hb" "Plat" "Skp1a" "Sox17" "Tfpi" "Upp1" "Ctnnb1" "Ndst1" "Tgfbr2" "Vasp" "Akt1" "Sparc" "Aqp1" "Atf4" "Selp" "Xbp1" "Nras" "Smad1" "Ntn1" "Gadd45g" "Tagln2" "Cd38" "Col4a1" "Lpl" "Ptpn1" "Rpl27" "Adamts9" "Il6st" "Nrp2" "Sbno2" "Actn1" "Emp1" "Flnb" "Ldha" "Col18a1" "Ltbr" "Dpagt1" "Rps2" "Cd34"
"Fat1" 0.00112512760546508 0.00128464518981499 0.00115003709082034 0 0.00127938334344521 0.00115866376838423 0.00124156557740943 0.00120018082152907 0 0 0 0 0 0.00103583825618783 0 0.00106691451607504 0 0 0 0.00103597481058402 0 0 0 0 0.00103257190839016 0 0 0 0 0 0 0 0 0 0 0.00112981208879579 0 0 0 0 0.00107167405577136 0 0 0 0 0 0 0 0 0 0 0.00102443751991232 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb1" 0 0 0 0 0 0 0.00104657810762986 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema3f" 0 0 0 0 0.00101662453327525 0 0.00107957396633382 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00101786762392816 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0.00152012849124405 0.00154248234840864 0.00176024111956494 0.00114640213522065 0.00197603053817831 0.00172829346361237 0.00178396294315882 0.00156960969913611 0 0 0.00143038606989501 0.00141663374064695 0.00115993367388151 0.0012549805402332 0.00137746827114527 0.0014235664566575 0.0013662293519631 0.00140792375990599 0.00123463421057937 0.00143404551837469 0.00139699201939423 0.00124626000143875 0.00114981150815589 0.00128666271153234 0.00143508973467786 0.00131174750016102 0.0010648504173981 0.00119691697368809 0.00108428873228252 0 0 0.00119943326858578 0 0.00232859358236786 0 0 0 0 0.00129716753907201 0.00109929193334453 0.0012657835373621 0.00133463353805551 0.00116118491600655 0 0 0.00116927363024105 0 0 0.00107694799493673 0 0.00103287932416042 0.00109938512602467 0.00121212877268694 0.00246667142085579 0 0.00231280472344531 0.00117792183252033 0 0 0 0.00101751850235473 0.00112144481408201 0 0.00102240686251414 0 0 0.00107690827139091 0.00102562691992407 0.00107828121228057 0 0.0025782194792716
"Manf" 0 0.00127507820990402 0.00113424568314177 0 0.00119884323011958 0.00108260972569971 0.00126600857464039 0.00116762823581485 0 0 0 0.0011251219272539 0.00106821911280552 0.00110624564770368 0 0.00102555795182964 0.00122199253411193 0 0 0.0011140049605244 0 0 0 0.00116964760390352 0.00105778158415921 0.00103141064457297 0 0 0.00103619657468621 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00109881825052394 0 0 0.00102519626609013 0 0 0 0.00104258195196587 0 0 0 0 0 0 0 0 0 0 0 0 0.00110041747062286 0 0 0.00114952336822964 0.00107664980865046 0
"Icam1" 0.00118513435505379 0.00129345089814636 0.001325194891996 0 0.00138530638012792 0.00141859594051234 0.00141247481108491 0.00117591225199636 0 0 0.00120807737808542 0.00110481861262787 0 0.0010358136467394 0.00114480765485801 0.00109600325737871 0.00121038777288525 0.00113827350753695 0.00107324247516997 0.00129022766795055 0.00119212559369386 0 0 0.00108321993521124 0.00107637206610987 0 0 0.00103934012442807 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il7" 0.00199903538308277 0.00247985891322958 0.0022987559164811 0.00125520686895909 0.00207704879447615 0.0024951078517255 0.00228953869096603 0.00214128385521001 0.00115836076077422 0.00124537547013114 0.00356529966371426 0.00199383075282086 0.00176917634427187 0.00175270037607405 0.00218059625116964 0.00166403474376773 0.00177800725119744 0.00152115465570134 0.00185792396997047 0.00281345857123592 0.00227306141448117 0.0017587712139727 0.00160582547345827 0.00173036733376896 0.00210031914055335 0.00180796876798485 0.00130440499315438 0.00277152176178827 0.00254190615930912 0.00125563937280231 0 0.00159921451806614 0.00227922617588376 0 0 0.00103182508937488 0 0.0011623085684101 0.00151379716585536 0.00177162801924845 0.00189964227914433 0.00170319001112777 0.00191635540931198 0.00107482080110244 0 0.00195073996124401 0 0.00117403035840166 0.00194696247047263 0 0.0011413217140705 0.00184821237554192 0.00154690840907985 0.00119126369894922 0 0.00175118842624291 0.00211758488792009 0.00105758804985789 0.0014193946403754 0.00160218388265586 0.00136170644316184 0.00220331855602668 0.00144124825902594 0.00174539732945291 0.00154240713314869 0.00131253601282976 0.00138131181858876 0.00299746780507811 0.00171025569605251 0.00163665507693295 0
"Dll1" 0.00179543481333771 0.0018167305577623 0.00180256525463579 0.00228213174768482 0.00388672808996868 0.0016324055789768 0.00203013336282492 0.00187357590013225 0.00127069248248379 0.00154231496883586 0.00148315538576776 0.00162313855129753 0.00125293170506189 0.0014611671673979 0.00137998339654831 0.0014122440813008 0.00130590349484466 0.00115697341332105 0.00121773366328515 0.00148933497276767 0.0014482660231602 0.00129633828182705 0.00124446387229204 0.00135373731973406 0.00139168216593332 0.00146287940298477 0.00136137473516813 0.00113661164829119 0.00122265156778201 0 0 0.00134202141568859 0 0 0 0 0 0 0.00151305228737028 0.0011868607422997 0.00135513370986 0.00151129731560591 0.00113475104510413 0 0 0.00131543074216698 0 0.00105242235878349 0.00123716831411794 0.00103651496346407 0.00108519374543161 0.0015643619109394 0.00143885320562796 0 0 0.00108731583140014 0.00104777247838281 0 0 0 0.00141452824817632 0.00114810140252644 0 0.00102244253639839 0.00143226632535657 0.00105984292157507 0.00118395736710442 0 0.00117198127457392 0.00115097293757836 0
"Sema3e" 0.00102028307311591 0.00103478058754252 0.00113633665053215 0 0.00147505173628004 0.0010767912816448 0.00111834182752199 0.00101952421243175 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115652544778068 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfc" 0.00138739237908813 0.00128437372672471 0.00140098652217172 0 0.00145138560666509 0.00156565053306996 0.00151473600820196 0.00142082094770575 0 0 0.00135497115349177 0.0011689189394581 0 0.00111996443219644 0.00120351962340331 0 0.00111873538085813 0.00375718990525428 0.00111395787613893 0.00140295627112055 0.00127527313792027 0.00109053226971891 0.00107675419360986 0.00120271605847513 0.00119438145580936 0 0.00113440983140465 0.00129825614010543 0 0 0 0.00141610094117883 0 0 0 0 0 0 0.00122926179847818 0.0011991438195346 0.0011082829449654 0.0012001464617429 0.00118289120605146 0 0 0 0 0 0 0 0 0 0.00109717758790858 0 0 0 0 0 0 0 0.00229929431217204 0 0 0.00108874896612151 0 0 0.00122920169099925 0 0 0 0
