"Aqp1" "Bhlhe40" "Cdkn1a" "Clic1" "Cmip" "Ddit4" "Ets1" "Fkbp5" "Flot1" "Git1" "Hes1" "Hif1a" "Ier3" "Ier5" "Midn" "Nos3" "Nr2f2" "Per1" "Synpo" "Tsc22d3" "Ackr3" "Adamts1" "Cd34" "Clu" "Ldha" "Plpp3" "S1pr1" "Sparc" "Ndst1" "Sgk1" "Socs3" "Tle1" "Plat" "Akap13" "Nrp2" "Pcdh7" "Prkch" "Rin2" "Sub1" "Tmcc3" "Pim3" "Ppp1r9b" "Fli1" "Sema7a" "Fas" "Cd38" "Lpl" "Selp" "B4galt1" "Inhbb" "Sin3a" "Actn1" "Ltbr" "Gadd45g" "Picalm" "Tnfrsf1a" "Ndrg1"
"Il1rn" 0 0.0016741537739437 0.00197102569365138 0.00135003928862995 0.00117078821323957 0.00162743971878496 0.00143599132499961 0.00147121974325394 0.00139091769224663 0.000974602182516507 0.00168552331024416 0.00130563674955787 0.00182630634617351 0.0013787304782195 0.0013968118519489 0.0013289578379797 0.00134929432488032 0.00163553629527948 0.00161502761937042 0.00120318190240436 0 0 0 0 0.00100754047309543 0 0 0 0.00117003442026724 0.00123997119453548 0.00154112690518722 0.00120847935569555 0 0.000973691377478847 0.000977810687070454 0 0 0.00105255488672715 0.00107770192710964 0 0.00112856520303216 0.00114050792789661 0.0010088439738418 0 0.00147065925181035 0.001123942647945 0.000979266539270772 0 0.00124923307747795 0 0.00111568915302256 0 0.0010418313797102 0.00113370916560653 0.000989939262581548 0.00170077525032638 0.0010438781514383
"Dsg2" 0 0 0.0010775286945399 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf7" 0 0.00116715706423476 0.00162696765585824 0.00103216356546811 0.00100639576307908 0.00128524232057812 0.00115763885590979 0.00101659273803326 0.000986342388866093 0 0.00127576482220048 0.000983559505980519 0.00130741887800563 0 0.00110629383518881 0.0010540194482996 0.00110007591467461 0.00110278259678659 0.00113254344306767 0 0 0 0 0 0 0 0 0 0 0 0.00112568485193921 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00519764221138315 0 0 0 0 0 0 0 0 0 0 0 0
"Itga4" 0 0 0.0013082501693038 0 0 0 0 0 0 0 0.000986786093563087 0 0.000987407534430331 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Reln" 0 0.00115324833407561 0.00162542581271636 0.00101315581337596 0 0.00114557382920775 0.000994452937676626 0 0 0 0.0011563395483281 0 0.00112598867068756 0 0.00102859717109997 0.00106407894575868 0.00102277506987487 0.0010803006336428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Copa" 0 0 0.00119846050664446 0 0 0 0 0 0 0 0.00103251642451314 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema3f" 0 0.000986396165116234 0.00118473381219655 0 0 0.000983784773833812 0 0 0 0 0.00101662453327525 0 0 0 0 0 0 0.00101035794006544 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Areg" 0 0.00169050697468389 0.00235419473033395 0.00151015140402405 0.00137707132856025 0.00168851345734765 0.00170601141301648 0.00126426003137679 0.001408128018745 0.0012577772882059 0.00160504100548931 0.00115732817066169 0.00169293170709881 0.00129109908680676 0.00175507526610225 0.0013192757614417 0.00153894611677536 0.00166247871982338 0.00140782550577551 0.00123508416542775 0 0 0 0 0.0010025423702306 0 0 0 0.00117343030532996 0.00138354563989327 0.00137942132135837 0.00132663411145812 0 0.00100195781871882 0 0.00122225854612977 0.000980112313057514 0.00100996670104724 0 0 0.00135722211366531 0.00128800143844309 0.00127783021099351 0 0.00112352656838387 0 0.00098755058911926 0 0.00132167051596585 0.00103170738659143 0.00109526198248976 0.00115177598370462 0.000971610611352744 0.00129675834709417 0.00122859377799902 0.00141069293718963 0.0013415825148856
"Vegfc" 0 0.00128437372672471 0.00175765021772766 0.00118427352499106 0.00128049057453841 0.00140098652217172 0.00122924451462965 0.00111996443219644 0.00120351962340331 0 0.00145138560666509 0.00141610094117883 0.00156565053306996 0.000996379338764769 0.00142082094770575 0.00119438145580936 0.00128580947623464 0.00124582767360918 0.00127527313792027 0 0 0 0 0 0 0 0 0 0.0011991438195346 0.00118793815597075 0.00135497115349177 0.00113440983140465 0 0.000981621625261105 0.00229929431217204 0 0 0.0011399144583671 0 0 0.00101348325232532 0.00105599449664472 0.00102177677795024 0 0.00107926739500071 0 0 0 0.00111905508366077 0 0 0 0.000989845414132976 0.00101450538742178 0.00101206493126596 0.00109053226971891 0
"Lgals3" 0 0.00116308123280775 0.00152125277648955 0.00101371019557758 0.000971926038974133 0.0012137764609276 0.00101150609211724 0 0 0 0.00120281762825719 0 0.00116760726142911 0 0.00108128030933513 0.000975710229476413 0.00109895210722227 0.00110129178594362 0 0 0 0 0 0 0 0 0 0 0 0 0.00207635953436987 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0041169125117841 0
