"Actb" "Cdkn1a" "Ddit4" "Ier3" "Mcl1" "Myh9" "Selp" "Synpo" "Fkbp5" "Ncor2" "Pim3" "Fas" "Gadd45g" "Picalm" "S1pr1" "Capn2" "Cltc" "Sbno2" "Smg7" "Hif1a" "Tagln2" "Atp1a1" "Ch25h" "Grrp1" "Gpr182" "Tspan2" "Lrrfip1" "Ldha" "Flnb" "Inafm2" "Jmjd1c" "Susd6" "Tcim" "Col4a1" "Inhbb" "Adamts9"
"Osm" 0.00184088558226187 0.00248001209218667 0.00210403567606266 0.00201189048988944 0.00199346159761992 0.0018957146713256 0 0.00188455021034445 0.00158949086744805 0.00129815584142308 0.00124473775822451 0.00173445814957043 0.00166412188727665 0.00127391081243318 0.0011143320196803 0.00166865976094348 0.00136255030034649 0.00188687406724925 0.00155546793897889 0.00249617331596988 0.0014918933348859 0.00109929871434568 0 0 0 0 0.00121506612815236 0.00125518200606826 0.00144165065519177 0 0.00129664699485621 0 0 0 0.0010277820250293 0.0028912166649987
"Trf" 0.00140718378024421 0.00189333676174759 0.00144940946874807 0.00153028712903923 0.00123662720435778 0.00125016956577398 0 0.00124912553627246 0.001278907113207 0.00102443392562214 0 0.000980009746113315 0.00110775910678111 0.00109118911953192 0 0.00111696825952103 0.00106605233700846 0.00101885194466263 0.00096106850736193 0.00379232108141822 0.00122380914411356 0 0 0 0 0 0.00109557097124997 0.00104451534945397 0.0010470033567884 0 0.00102881888018641 0 0 0 0 0
"Ntn1" 0.0010058150558532 0.00130085892686475 0.00103475089289383 0.00108915639692191 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Wnt4" 0.00147917445796823 0.00189606743532997 0.00188546961557161 0.00174788098222967 0.00130893799275423 0.00119482182413759 0 0.00123238668692183 0.00125179426759569 0.00119966488766239 0.00144257471481377 0.00100081000467852 0.00113623881393065 0.000983548259227355 0 0.00121978982504801 0.0012137447216612 0.00100324166958226 0.000968214358662599 0.00113164822840234 0.00125443769965013 0 0 0 0 0 0.000981040202510204 0 0.00107195423158736 0 0.00117793952720976 0 0 0 0 0
"Itgam" 0.00115234982413562 0.00166340261824615 0.0012890493648742 0.00128710215959032 0.00112066620251466 0.00107240406286459 0 0.00121011541602748 0.00101583288835441 0 0 0.000989583014928849 0.00100430731014693 0 0 0.000984376353009685 0 0 0 0 0.000970900777017894 0 0 0 0 0 0.000967966404909967 0 0 0 0 0 0 0 0 0
"Celsr1" 0.00116897170075957 0.00158334674085987 0.00130298764969844 0.0016512166756348 0.000974652771331724 0.00113894929144281 0 0.0011468795928139 0 0.00106999429638356 0 0 0 0.000995863912866498 0 0.00111575099883826 0 0 0 0 0 0 0 0 0 0 0 0 0.00101697961881944 0 0 0 0 0 0.00114492202676393 0
"Efna1" 0.00102265707669694 0.0015095279291241 0.00111338267770668 0.00108892135936537 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Wnt5a" 0.00112272444746442 0.00157387631446763 0.00130864618364539 0.0012835506280478 0.00104114670696938 0.00104953267291779 0 0.00103734664673774 0.00105179447152351 0 0 0 0 0 0 0.00104755904861395 0 0 0 0 0.000965019658561164 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpi1" 0 0.0017677010676815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col1a1" 0.00150260770807709 0.00205156612943967 0.00174718468208684 0.00154697020220672 0.0013171274871054 0.00127585516052212 0 0.00138155603525327 0.00114071815932327 0.00127333579034548 0.00132754963775339 0.00111804035406983 0.00120490897322715 0.00129028686531741 0 0.00129993998403701 0.00105809075345512 0.00109683068324806 0.00118919928226628 0.00114965533500126 0.00142931651634521 0 0 0 0 0 0.00131625400256107 0.000978598894529991 0.00124593578244914 0 0.00119162844092763 0 0 0 0.00100348015571815 0
"Hgf" 0.00134835715116902 0.00199003703539692 0.0015963198371996 0.00152173838182139 0.00254599209435178 0.00121069804375481 0 0.00130070209824309 0.00120418944173977 0.00105721653993207 0.00102029849038591 0.00235802665943484 0.00115056805644858 0.000997680369293374 0 0.00111771811777873 0.00108708067446079 0.00101773492639786 0.00104068748588405 0.00117093206118782 0.00110408446567662 0 0 0 0 0 0.000985953080838795 0.0010717228319416 0 0 0.0010874008251715 0 0 0.00466413216211115 0 0
"Bmp5" 0.00185652795516258 0.00243775803578108 0.00200162481544074 0.00192664670296883 0.00145950561061858 0.00158714214340449 0 0.00168451624693657 0.00145815354990321 0.00125032543464915 0 0.00128998099045659 0.00158710233152191 0.00150547884757393 0 0.00137822364557786 0.00130496183194775 0 0.00127480296521977 0.00118484323316278 0.00167560968229711 0.00119689015866252 0 0 0 0 0.0016779099626114 0.00132086141429189 0.00148108094776808 0.0025579514966613 0.00176317688589287 0.00326083274138628 0.00201583692211044 0.00136662232336151 0 0.00124753550802837
"Hebp1" 0 0.00109830591430202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0.00136532258067635 0.00177374486570155 0.00141412881462259 0.00133525797695098 0.0042324033320783 0.00114688291389529 0 0.00120711844938187 0.00109612075075737 0.000977272031464984 0 0.00100328568024478 0.0010230241727797 0.00103548205187268 0 0.00116157806797452 0 0 0 0.000964672704351194 0.00106017316969769 0 0 0 0 0 0.00101513742020319 0 0 0 0 0 0 0 0 0
"Cxcl16" 0 0.00103272200773857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
