"Col15a1" "Gbp2" "Ier3" "Jund" "Selp" "Socs3" "Stat1" "Stat3" "Upp1" "Bax" "Cdkn1a" "Hif1a" "Ifit3" "Junb" "Lpl" "Tnfsf10" "Actb" "Ccnd3" "Irf9" "Tubb5" "Adamts9" "Il6st" "Nrp2" "Sbno2" "Actn1" "Emp1" "Serpinb9" "Rcan1" "Txn1" "Cltc"
"Fat1" 0 0 0 0 0 0 0 0 0 0 0.00152927955383989 0 0 0.00124156557740943 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Icam1" 0 0 0.00141859594051234 0 0 0.00120807737808542 0 0.00129022766795055 0 0 0.00161961166893847 0 0 0.00141247481108491 0 0 0.00118513435505379 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamb2" 0 0 0.00130340368556918 0 0 0.00125857834349797 0 0.00127675091034285 0 0 0.00186433102548193 0 0 0.00138548954284502 0 0 0.00122785065043676 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mapt" 0 0 0.00139203123595424 0 0 0 0 0.00128943843992869 0 0 0.0018573933398029 0 0 0.00144414228784458 0 0 0.00123212111036657 0 0 0 0 0 0 0 0 0 0 0 0.00431627938629702 0
"Pkd1" 0 0 0.00140221731548483 0 0 0.00129874555356641 0 0.00134275409039108 0 0 0.00377401514156348 0 0 0.00136233938564256 0 0 0.00129830543141427 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pgf" 0 0 0.0017075441764861 0.00139450911148078 0 0.00143833709680886 0.00130934025805324 0.00165746310983866 0 0.00145697604379791 0.00218818771600824 0.00268630549914874 0 0.00181391731920439 0 0 0.00158456810076445 0.00136034321606466 0.00116756157886911 0.00147997949280216 0 0 0 0 0 0 0 0 0 0
"Kitl" 0 0 0.00171980509252378 0.00136062372642687 0 0.00161859582044891 0.00145442117818969 0.00171133215462439 0 0.00125861717266791 0.0021533584138042 0.00123946027931586 0 0.00167140613270612 0 0 0.00147384301592842 0.00270576471662753 0.00139708467159164 0.00144087087533524 0 0 0 0.0012408465924972 0 0 0 0 0 0.0011870450591272
"Cadm4" 0 0 0.00134687180179003 0 0 0 0 0.0013255511082245 0 0 0.0015695968695332 0 0 0.00145447018212341 0 0 0.00128745549135386 0 0 0.00116134534072805 0 0 0 0 0 0 0 0 0 0
"Fgf18" 0 0 0.00131563866872482 0 0 0 0 0.00118933129772575 0 0 0.00159098731198391 0 0 0.00121342637994869 0 0 0 0.00122637235477498 0 0 0 0 0 0 0 0 0 0 0 0
"Ccl5" 0 0 0.00121686663386638 0 0 0 0 0.00399474385449417 0 0 0.00166378829096133 0 0 0.00127540248597192 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfd" 0 0 0.00158322425384147 0 0 0.0012461150561939 0 0.00135789115175684 0 0 0.00176118675042989 0 0 0.0013716705728421 0 0 0.00122379582036767 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb1" 0 0 0 0 0 0 0 0 0 0 0.00136241977901401 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpi1" 0 0 0 0 0 0 0 0 0 0 0.0017677010676815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il1rn" 0 0 0.00182630634617351 0.00116357686544616 0 0.00154112690518722 0.00148958311223904 0.0016406342873967 0 0.00382231298171974 0.00197102569365138 0.00130563674955787 0 0.00176112139975003 0 0 0.00142414506818491 0.00117984760690547 0 0.00122993202471693 0 0 0 0 0 0 0 0 0 0
"Efnb2" 0 0 0 0 0 0 0 0 0 0 0.00119974845135982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efna1" 0 0 0 0 0 0 0 0.00116021490104944 0 0 0.0015095279291241 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0 0 0.00146725544984714 0 0 0.001193556247153 0 0.00124490633779163 0 0.00361100199031988 0.00172438615322352 0 0 0.00137970310019102 0 0 0.00126282497199686 0 0 0.00116920393796588 0 0 0 0 0 0 0 0 0 0
"Itgb7" 0 0 0 0 0 0 0 0 0 0 0.00149768513569796 0 0 0.00120963060967044 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Serping1" 0 0 0 0 0 0 0 0 0 0 0.00146632850772889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pecam1" 0 0 0.00142361661621238 0 0 0.00127793938704284 0 0.00136907262708369 0 0 0.00188044658787928 0 0 0.0014938737255012 0 0 0.00121796562353523 0.00117463805185294 0 0 0 0 0 0 0 0 0 0.00208057750040458 0 0
"Nectin1" 0 0 0.00142345166114901 0 0 0 0 0.00121743329406105 0 0 0.00150300544457211 0 0 0.0013030556613697 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il1b" 0 0.00487909206664164 0.00193742800508225 0.00286116361822077 0.00255368933198285 0.00585863121138335 0.00150990251685971 0.00456753520907281 0 0.00511122867865246 0.00457889077460727 0.00518861535750679 0.00120954074822048 0.00463219356255691 0.00124120563646759 0 0.00174793447157904 0.00159917277814047 0.00145874428623768 0.00158594809031943 0 0 0 0.00134942614793914 0.00116090556400328 0 0.0063523928756292 0.00128859572181452 0 0.001324674209382
"Mmp9" 0 0 0.00133525797695098 0.00126406267504702 0 0.00119176949545885 0 0.00125381424028079 0 0.00364748249297431 0.00177374486570155 0 0 0.00153535523983338 0 0 0.00136532258067635 0 0 0.00119742703413151 0 0 0 0 0 0 0 0 0 0
"Celsr1" 0 0 0.0016512166756348 0.00117253996052777 0 0.00116624102048181 0 0.00122411919474162 0 0 0.00158334674085987 0 0 0.00141635551963938 0 0 0.00116897170075957 0 0 0.00122938581107527 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0 0 0.00124322014947712 0.00123991487003135 0 0 0 0 0 0 0.00162758304250463 0 0 0.00130467250691669 0 0 0.00116983347447202 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb1" 0 0 0 0 0 0 0 0 0 0 0.0023583641063619 0 0 0.00122855595140877 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ceacam1" 0 0 0.00128110579869455 0 0 0.0013258102304738 0 0.00130496693775776 0 0 0.00172468411490827 0 0 0.00138415355214555 0 0 0.0012398742593733 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col4a1" 0 0 0.00118216257804888 0 0 0 0 0 0 0 0.00152308824586791 0 0 0.00124070784102932 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0 0 0.00175304959895765 0.00137490775586645 0 0.00148323621566164 0.00128622952732095 0.00155513619687575 0.00211232064551137 0.00378760245227831 0.00301269652847111 0.00495312976158389 0 0.00276959852510983 0 0 0.0014694956705675 0.00425854402963477 0 0.00145246228974306 0 0 0 0 0 0 0 0 0 0.00116033538376895
"Il7" 0 0.00139913507226461 0.0024951078517255 0.00167620211411127 0 0.00356529966371426 0.00246797701227526 0.00281345857123592 0.0011623085684101 0.00176917634427187 0.00275513204790105 0.00159921451806614 0.00151458880673169 0.00228953869096603 0.00175118842624291 0.00136754943736285 0.00199903538308277 0.00277152176178827 0.00302293203079481 0.00199383075282086 0.0014193946403754 0.00160218388265586 0.00136170644316184 0.00220331855602668 0.00144124825902594 0.00174539732945291 0 0.00162261331368314 0.00121259585056724 0.00154790773008259
"Vegfc" 0 0 0.00156565053306996 0.00123189346098633 0 0.00135497115349177 0 0.00140295627112055 0 0 0.00175765021772766 0.00141610094117883 0 0.00151473600820196 0 0 0.00138739237908813 0.00129825614010543 0 0.0011689189394581 0 0 0.00229929431217204 0 0 0 0 0 0 0
"Cxcl12" 0 0 0.00137982727773468 0 0 0.00132478426710201 0 0.00123961910305868 0 0 0.00367438744373611 0 0 0.00129011155014208 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Osm" 0 0 0.00201189048988944 0.00158778890579657 0 0.0024828024604493 0.0018282662926577 0.00220862111318908 0.00118882968828721 0.00134010258998936 0.00248001209218667 0.00249617331596988 0.00141450046515593 0.00210570755294114 0.00126935607160057 0 0.00184088558226187 0.00183799139268792 0.00189308147609707 0.00173566486730005 0.0028912166649987 0.00266824514701185 0.00280749374384305 0.00188687406724925 0.00128800336702379 0.00133310862764348 0 0.00133822839747805 0.00118680979863261 0.00136255030034649
"Rtn4" 0 0 0 0 0 0 0 0.00365410918089921 0 0 0.00127594647776936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Selplg" 0 0 0 0 0.00261856202650119 0 0 0 0 0 0.00133041601505317 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Angpt2" 0 0 0.00187209972299205 0.00258576705549872 0 0.00178349189911576 0.00258822823634056 0.0018033674531214 0 0.00141702622743424 0.00480643361495988 0.00134673366897332 0 0.00190276744965023 0.00142767211281848 0 0.00149273164062777 0.00147492741960072 0.00147426173279776 0.00148615819329907 0 0 0 0.00125393128508731 0 0.0013860572863501 0 0.00129951596964302 0 0.00125755456687546
"Pdgfb" 0 0 0.00160091792808307 0.0013233204057474 0 0.00154618258854575 0.00129837499679077 0.00160807722346649 0 0.00377692683710619 0.00419351935735484 0.00382549008940774 0 0.00160960924334738 0 0 0.00134724812981761 0.00435528125167755 0.00134093976176412 0.00135624863183566 0 0 0 0.00119655490812188 0 0 0 0 0 0
"Tgfb1" 0.00266294798879552 0 0.00188015714086075 0.00167436345712904 0 0.00567161006627657 0.00134403542332266 0.00273917272899772 0 0.00501298582846888 0.00548303347996596 0.00512547950130937 0.00466566099947073 0.00573523263611306 0.0044763744617301 0.00618399465003779 0.00296597953804268 0.00146818803267612 0.00123834167437694 0.00163917850063023 0 0 0.00120073449129398 0.00124976652639615 0.0011643799370814 0 0 0.00120977130048633 0 0.00135407218888989
"Tnf" 0.00519757212018063 0.00633011600771697 0.00560899439762451 0.00563505417550544 0.00750141672667161 0.00540665823199831 0.00534756966893018 0.00518510543171692 0.00519016474775638 0.00469445581613238 0.00481058644128366 0.00487567746376481 0 0.00260850249215809 0.00433188659539219 0 0.00138049361423276 0 0 0.00129797982557706 0.00253622027001527 0 0 0 0 0 0.00225306392449738 0 0 0
