"Ahnak" "Aqp1" "Cirbp" "Ddit4" "Myh9" "Tsc22d3" "Cyp26b1" "Mustn1" "Ccnl2" "Ncl" "Nrp2" "Klf10"
"Col18a1" 0.00115772775710992 0 0 0.0013208549733134 0 0 0 0 0 0 0 0
"F11r" 0.00114601672333112 0 0 0.00122506471618906 0.00106150265021024 0 0 0 0 0 0 0
"Tgfb3" 0.00153851464613024 0 0.00137549246683259 0.00176072408712966 0.00145915110208982 0 0 0 0 0 0 0.00137712066707598
"Hsp90b1" 0.00132738074208751 0 0.00110624591616556 0.00136208751589568 0.00111637484351452 0 0 0 0 0 0 0
"Ptprf" 0.00124649171749055 0 0.00117496267975942 0.00130075708066729 0.00109682106156111 0 0 0 0 0 0 0
"Tnfsf14" 0.00193255239876027 0 0.00116756372380235 0.00197498288473286 0.00124991636040348 0.00114266352890321 0 0 0 0 0 0
"Rps19" 0.0010961330719689 0 0 0 0 0 0 0 0 0 0 0
"Mapt" 0.00132562713576934 0 0.00118792418192198 0.00148729344097453 0.00107983501165635 0 0 0 0 0 0 0
"Aimp1" 0.00106132617919555 0 0 0.00106709121418156 0 0 0 0 0 0 0 0
"H2.T23" 0 0 0 0.00111201758760456 0 0 0 0 0 0 0 0
"Gmfb" 0.00143835242818774 0 0.001434447736707 0.00167501260302955 0.00129952860585796 0 0 0 0 0 0 0
"Dusp18" 0.00130749492982339 0 0.00131301839907899 0.0013415177122274 0.00114812007316828 0 0 0 0 0 0 0
"Calm2" 0.00116560353876158 0 0 0.00133759837752373 0 0 0 0 0 0 0 0
"Calm1" 0.00117043152499261 0 0.00105681208735052 0.00133083826204739 0 0 0 0 0 0 0 0
"Osm" 0.00190784301692979 0 0.00151119810911105 0.00210403567606266 0.0018957146713256 0.00122031095876137 0 0 0 0.00114659823671637 0.00280749374384305 0.0012710135789951
"Mmp9" 0.00131705432545645 0 0.00136204455984733 0.00141412881462259 0.00114688291389529 0 0 0 0 0 0 0
"Vegfc" 0.00135335614719117 0 0.00111564701038362 0.00140098652217172 0.00119533008351952 0 0 0 0 0 0.00229929431217204 0
"Ltb" 0.00187523386225688 0 0.00130609391707466 0.00180950361878394 0.00114753741559277 0.00133957038528786 0 0 0 0 0 0
"Lamb1" 0.00118242712874221 0 0.00115985562347134 0.00135234171579583 0 0 0 0 0 0 0 0
"Npnt" 0.00110593480893551 0.00133109671288373 0 0.0012023621690513 0.00108140375863495 0 0 0 0 0 0.00209512405061531 0
"Dll4" 0.00192428854303728 0 0.00201460505488406 0.00211709920737251 0.00158627144142742 0.0013500241197559 0 0 0.00132874570984658 0.00124732263249002 0.00149093473611077 0.00160678197827474
"Grem1" 0.00121330088862673 0 0.00118088645357349 0.00139949426329484 0.00115414041247358 0 0 0 0 0 0 0.00108799067759206
"Jam2" 0.00145047309325571 0 0.00148862087006116 0.0016991798408572 0.00141365980870676 0.00111188737961366 0 0 0 0.00112124999493462 0 0.00111257932451196
"Adam15" 0.00111633898910217 0 0.00124093016802074 0.00135729153859825 0 0 0 0 0 0 0 0
"Hmgb1" 0.00229718206526458 0 0.00209947957000782 0.00244927097518979 0.00199640735340816 0.00477568538107306 0.00110599988761213 0 0.00120978837038065 0.00148116152763584 0.00163510813298608 0.00140910624836796
"Manf" 0.00119490125338881 0 0.00117029163656046 0.00113424568314177 0 0 0 0 0 0.00114228969622703 0 0
"Sema6d" 0.00140081544097123 0 0.00126472765962679 0.00171120173034472 0 0 0 0 0.00140025692113271 0 0.00113603794399381 0.00114366923909849
"Apoe" 0.00117514479892138 0.0046838898082105 0.00111596233034372 0.0013732684912629 0 0.00372826406864838 0 0 0 0 0 0
"Hc" 0 0 0 0 0 0.00355269481186808 0 0 0 0 0 0
"Tgfb2" 0.00173507673151189 0 0.00166932691121134 0.00474956060083624 0.0017211211321104 0 0.00696006450174547 0.00644025126790894 0 0 0.00129287721465366 0.00137217481874949
"Trf" 0.00150449191624229 0.00226900441572564 0.00138010316414693 0.00144940946874807 0.00125016956577398 0.00389664162149841 0 0 0 0 0 0.00106488700975502
